last-path-return_agent_1,total-samples,mean-episode_cost_agent_0,mean-path-return_agent_1,episodes,max-path-return_agent_1,last-path-return_agent_0,mean-episode_cost_agent_1,max-path-return_agent_0,episode_reward,mean-path-return_agent_0
50.0,3,0.0,16.666666666666668,1,50.0,10.0,0.0,10.0,1,3.3333333333333335
-5.0,5,25.0,-2.5,2,50.0,-5.0,25.0,10.0,2,-2.5
-5.0,8,16.666666666666668,-1.6666666666666667,3,50.0,-5.0,16.666666666666668,10.0,3,-1.6666666666666667
-5.0,11,16.666666666666668,-1.6666666666666667,4,50.0,-5.0,16.666666666666668,10.0,4,-1.6666666666666667
-5.0,14,16.666666666666668,-1.6666666666666667,5,50.0,-5.0,16.666666666666668,10.0,5,-1.6666666666666667
50.0,17,0.0,16.666666666666668,6,50.0,10.0,0.0,10.0,6,3.3333333333333335
10.0,20,0.0,3.3333333333333335,7,50.0,50.0,0.0,50.0,7,16.666666666666668
10.0,23,0.0,3.3333333333333335,8,50.0,50.0,0.0,50.0,8,16.666666666666668
50.0,26,3.3333333333333335,16.666666666666668,9,50.0,10.0,0.0,50.0,9,3.3333333333333335
10.0,28,0.0,5.0,10,50.0,50.0,0.0,50.0,10,25.0
50.0,31,3.3333333333333335,16.666666666666668,11,50.0,10.0,0.0,50.0,11,3.3333333333333335
50.0,34,3.3333333333333335,16.666666666666668,12,50.0,10.0,0.0,50.0,12,3.3333333333333335
50.0,37,0.0,16.666666666666668,13,50.0,10.0,0.0,50.0,13,3.3333333333333335
50.0,40,0.0,16.666666666666668,14,50.0,10.0,0.0,50.0,14,3.3333333333333335
10.0,43,0.0,3.3333333333333335,15,50.0,50.0,6.666666666666667,50.0,15,16.666666666666668
50.0,46,0.0,16.666666666666668,16,50.0,10.0,0.0,50.0,16,3.3333333333333335
10.0,49,0.0,3.3333333333333335,17,50.0,50.0,0.0,50.0,17,16.666666666666668
50.0,52,0.0,16.666666666666668,18,50.0,10.0,0.0,50.0,18,3.3333333333333335
50.0,54,0.0,25.0,19,50.0,10.0,0.0,50.0,19,5.0
10.0,57,0.0,3.3333333333333335,20,50.0,50.0,0.0,50.0,20,16.666666666666668
10.0,60,0.0,3.3333333333333335,21,50.0,50.0,0.0,50.0,21,16.666666666666668
50.0,63,0.0,16.666666666666668,22,50.0,10.0,0.0,50.0,22,3.3333333333333335
10.0,66,0.0,3.3333333333333335,23,50.0,50.0,0.0,50.0,23,16.666666666666668
