mean-episode_cost_agent_1,max-path-return_agent_0,mean-episode_cost_agent_0,max-path-return_agent_1,mean-path-return_agent_1,total-samples,episodes,last-path-return_agent_0,last-path-return_agent_1,episode_reward,mean-path-return_agent_0
0.0,50.0,0.0,50.0,3.3333333333333335,289,102,50.0,10.0,102,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,292,103,-5.0,-5.0,103,-1.6666666666666667
0.0,50.0,0.0,50.0,3.3333333333333335,295,104,50.0,10.0,104,16.666666666666668
25.0,50.0,25.0,50.0,-5.0,297,105,-10.0,-10.0,105,-5.0
0.0,50.0,0.0,50.0,3.3333333333333335,300,106,50.0,10.0,106,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,303,107,-5.0,-5.0,107,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,306,108,-5.0,-5.0,108,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,309,109,-5.0,-5.0,109,-1.6666666666666667
0.0,50.0,0.0,50.0,3.3333333333333335,312,110,50.0,10.0,110,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,315,111,-5.0,-5.0,111,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,318,112,10.0,50.0,112,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,321,113,10.0,50.0,113,3.3333333333333335
3.3333333333333335,50.0,0.0,50.0,3.3333333333333335,324,114,50.0,10.0,114,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,327,115,50.0,10.0,115,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,330,116,10.0,50.0,116,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,333,117,10.0,50.0,117,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,336,118,50.0,10.0,118,16.666666666666668
6.666666666666667,50.0,0.0,50.0,3.3333333333333335,339,119,50.0,10.0,119,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,342,120,10.0,50.0,120,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,345,121,-5.0,-5.0,121,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,348,122,-5.0,-5.0,122,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,351,123,10.0,50.0,123,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,354,124,10.0,50.0,124,3.3333333333333335
0.0,50.0,0.0,50.0,25.0,356,125,10.0,50.0,125,5.0
0.0,50.0,0.0,50.0,3.3333333333333335,359,126,50.0,10.0,126,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,362,127,50.0,10.0,127,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,365,128,-5.0,-5.0,128,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,368,129,10.0,50.0,129,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,371,130,50.0,10.0,130,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,374,131,10.0,50.0,131,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,377,132,-5.0,-5.0,132,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,380,133,10.0,50.0,133,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,383,134,50.0,10.0,134,16.666666666666668
0.0,50.0,0.0,50.0,5.0,385,135,50.0,10.0,135,25.0
0.0,50.0,0.0,50.0,16.666666666666668,388,136,10.0,50.0,136,3.3333333333333335
20.0,50.0,20.0,50.0,-1.6666666666666667,391,137,-5.0,-5.0,137,-1.6666666666666667
0.0,50.0,6.666666666666667,50.0,16.666666666666668,394,138,10.0,50.0,138,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,397,139,50.0,10.0,139,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,400,140,50.0,10.0,140,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,403,141,50.0,10.0,141,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,406,142,10.0,50.0,142,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,409,143,50.0,10.0,143,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,412,144,10.0,50.0,144,3.3333333333333335
25.0,50.0,25.0,50.0,-2.5,414,145,-5.0,-5.0,145,-2.5
0.0,50.0,0.0,50.0,16.666666666666668,417,146,10.0,50.0,146,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,420,147,-5.0,-5.0,147,-1.6666666666666667
0.0,50.0,0.0,50.0,3.3333333333333335,423,148,50.0,10.0,148,16.666666666666668
25.0,50.0,25.0,50.0,-5.0,425,149,-10.0,-10.0,149,-5.0
0.0,50.0,0.0,50.0,16.666666666666668,428,150,10.0,50.0,150,3.3333333333333335
0.0,50.0,0.0,50.0,5.0,430,151,50.0,10.0,151,25.0
0.0,50.0,0.0,50.0,16.666666666666668,433,152,10.0,50.0,152,3.3333333333333335
0.0,50.0,6.666666666666667,50.0,16.666666666666668,436,153,10.0,50.0,153,3.3333333333333335
25.0,50.0,25.0,50.0,-2.5,438,154,-5.0,-5.0,154,-2.5
25.0,50.0,25.0,50.0,-2.5,440,155,-5.0,-5.0,155,-2.5
0.0,50.0,0.0,50.0,16.666666666666668,443,156,10.0,50.0,156,3.3333333333333335
3.3333333333333335,50.0,0.0,50.0,3.3333333333333335,446,157,50.0,10.0,157,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,449,158,50.0,10.0,158,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,452,159,10.0,50.0,159,3.3333333333333335
25.0,50.0,25.0,50.0,-2.5,454,160,-5.0,-5.0,160,-2.5
0.0,50.0,0.0,50.0,3.3333333333333335,457,161,50.0,10.0,161,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,460,162,10.0,50.0,162,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,463,163,10.0,50.0,163,3.3333333333333335
