episodes,max-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,episode_reward,max-path-return_agent_0,mean-path-return_agent_0,total-samples,mean-path-return_agent_1
82,50.0,50.0,10.0,82,50.0,25.0,227,5.0
83,50.0,50.0,10.0,83,50.0,16.666666666666668,230,3.3333333333333335
84,50.0,-5.0,-5.0,84,50.0,-1.6666666666666667,233,-1.6666666666666667
85,50.0,50.0,10.0,85,50.0,16.666666666666668,236,3.3333333333333335
86,50.0,50.0,10.0,86,50.0,16.666666666666668,239,3.3333333333333335
87,50.0,10.0,50.0,87,50.0,3.3333333333333335,242,16.666666666666668
88,50.0,-5.0,-5.0,88,50.0,-2.5,244,-2.5
89,50.0,50.0,10.0,89,50.0,16.666666666666668,247,3.3333333333333335
90,50.0,-10.0,-10.0,90,50.0,-5.0,249,-5.0
91,50.0,-5.0,-5.0,91,50.0,-2.5,251,-2.5
92,50.0,50.0,10.0,92,50.0,25.0,253,5.0
93,50.0,50.0,10.0,93,50.0,16.666666666666668,256,3.3333333333333335
94,50.0,10.0,50.0,94,50.0,5.0,258,25.0
95,50.0,50.0,10.0,95,50.0,16.666666666666668,261,3.3333333333333335
96,50.0,-5.0,-5.0,96,50.0,-1.6666666666666667,264,-1.6666666666666667
97,50.0,50.0,10.0,97,50.0,16.666666666666668,267,3.3333333333333335
98,50.0,50.0,10.0,98,50.0,16.666666666666668,270,3.3333333333333335
99,50.0,10.0,50.0,99,50.0,3.3333333333333335,273,16.666666666666668
100,50.0,50.0,10.0,100,50.0,16.666666666666668,276,3.3333333333333335
101,50.0,10.0,50.0,101,50.0,3.3333333333333335,279,16.666666666666668
102,50.0,50.0,10.0,102,50.0,16.666666666666668,282,3.3333333333333335
103,50.0,10.0,50.0,103,50.0,3.3333333333333335,285,16.666666666666668
104,50.0,10.0,50.0,104,50.0,3.3333333333333335,288,16.666666666666668
105,50.0,10.0,50.0,105,50.0,3.3333333333333335,291,16.666666666666668
106,50.0,50.0,10.0,106,50.0,16.666666666666668,294,3.3333333333333335
107,50.0,-5.0,-5.0,107,50.0,-1.6666666666666667,297,-1.6666666666666667
108,50.0,10.0,50.0,108,50.0,3.3333333333333335,300,16.666666666666668
109,50.0,10.0,50.0,109,50.0,3.3333333333333335,303,16.666666666666668
110,50.0,50.0,10.0,110,50.0,16.666666666666668,306,3.3333333333333335
111,50.0,10.0,50.0,111,50.0,3.3333333333333335,309,16.666666666666668
112,50.0,-5.0,-5.0,112,50.0,-1.6666666666666667,312,-1.6666666666666667
113,50.0,50.0,10.0,113,50.0,16.666666666666668,315,3.3333333333333335
114,50.0,10.0,50.0,114,50.0,3.3333333333333335,318,16.666666666666668
115,50.0,-5.0,-5.0,115,50.0,-1.6666666666666667,321,-1.6666666666666667
116,50.0,50.0,10.0,116,50.0,16.666666666666668,324,3.3333333333333335
117,50.0,50.0,10.0,117,50.0,16.666666666666668,327,3.3333333333333335
118,50.0,10.0,50.0,118,50.0,3.3333333333333335,330,16.666666666666668
119,50.0,10.0,50.0,119,50.0,3.3333333333333335,333,16.666666666666668
120,50.0,10.0,50.0,120,50.0,3.3333333333333335,336,16.666666666666668
121,50.0,10.0,50.0,121,50.0,3.3333333333333335,339,16.666666666666668
122,50.0,-5.0,-5.0,122,50.0,-1.6666666666666667,342,-1.6666666666666667
123,50.0,-5.0,-5.0,123,50.0,-1.6666666666666667,345,-1.6666666666666667
124,50.0,-10.0,-10.0,124,50.0,-5.0,347,-5.0
125,50.0,50.0,10.0,125,50.0,16.666666666666668,350,3.3333333333333335
126,50.0,-5.0,-5.0,126,50.0,-1.6666666666666667,353,-1.6666666666666667
127,50.0,10.0,50.0,127,50.0,3.3333333333333335,356,16.666666666666668
128,50.0,10.0,50.0,128,50.0,3.3333333333333335,359,16.666666666666668
129,50.0,50.0,10.0,129,50.0,16.666666666666668,362,3.3333333333333335
130,50.0,10.0,50.0,130,50.0,3.3333333333333335,365,16.666666666666668
131,50.0,50.0,10.0,131,50.0,16.666666666666668,368,3.3333333333333335
132,50.0,10.0,50.0,132,50.0,3.3333333333333335,371,16.666666666666668
133,50.0,10.0,50.0,133,50.0,3.3333333333333335,374,16.666666666666668
134,50.0,50.0,10.0,134,50.0,16.666666666666668,377,3.3333333333333335
135,50.0,10.0,50.0,135,50.0,3.3333333333333335,380,16.666666666666668
136,50.0,50.0,10.0,136,50.0,16.666666666666668,383,3.3333333333333335
137,50.0,50.0,10.0,137,50.0,16.666666666666668,386,3.3333333333333335
138,50.0,50.0,10.0,138,50.0,16.666666666666668,389,3.3333333333333335
139,50.0,50.0,10.0,139,50.0,16.666666666666668,392,3.3333333333333335
140,50.0,-5.0,-5.0,140,50.0,-2.5,394,-2.5
141,50.0,50.0,10.0,141,50.0,16.666666666666668,397,3.3333333333333335
142,50.0,50.0,10.0,142,50.0,16.666666666666668,400,3.3333333333333335
143,50.0,-5.0,-5.0,143,50.0,-2.5,402,-2.5
144,50.0,10.0,50.0,144,50.0,3.3333333333333335,405,16.666666666666668
145,50.0,50.0,10.0,145,50.0,16.666666666666668,408,3.3333333333333335
146,50.0,50.0,10.0,146,50.0,25.0,410,5.0
147,50.0,10.0,50.0,147,50.0,3.3333333333333335,413,16.666666666666668
148,50.0,10.0,50.0,148,50.0,3.3333333333333335,416,16.666666666666668
149,50.0,-5.0,-5.0,149,50.0,-2.5,418,-2.5
150,50.0,50.0,10.0,150,50.0,16.666666666666668,421,3.3333333333333335
151,50.0,10.0,50.0,151,50.0,3.3333333333333335,424,16.666666666666668
152,50.0,-5.0,-5.0,152,50.0,-1.6666666666666667,427,-1.6666666666666667
153,50.0,10.0,50.0,153,50.0,2.5,431,12.5
154,50.0,50.0,10.0,154,50.0,16.666666666666668,434,3.3333333333333335
155,50.0,50.0,10.0,155,50.0,16.666666666666668,437,3.3333333333333335
156,50.0,10.0,50.0,156,50.0,3.3333333333333335,440,16.666666666666668
157,50.0,50.0,10.0,157,50.0,16.666666666666668,443,3.3333333333333335
158,50.0,10.0,50.0,158,50.0,3.3333333333333335,446,16.666666666666668
159,50.0,50.0,10.0,159,50.0,16.666666666666668,449,3.3333333333333335
160,50.0,50.0,10.0,160,50.0,25.0,451,5.0
161,50.0,50.0,10.0,161,50.0,16.666666666666668,454,3.3333333333333335
162,50.0,10.0,50.0,162,50.0,3.3333333333333335,457,16.666666666666668
163,50.0,10.0,50.0,163,50.0,3.3333333333333335,460,16.666666666666668
164,50.0,50.0,10.0,164,50.0,16.666666666666668,463,3.3333333333333335
165,50.0,50.0,10.0,165,50.0,16.666666666666668,466,3.3333333333333335
166,50.0,-5.0,-5.0,166,50.0,-2.5,468,-2.5
167,50.0,50.0,10.0,167,50.0,16.666666666666668,471,3.3333333333333335
168,50.0,-5.0,-5.0,168,50.0,-2.5,473,-2.5
169,50.0,10.0,50.0,169,50.0,3.3333333333333335,476,16.666666666666668
170,50.0,-10.0,-10.0,170,50.0,-5.0,478,-5.0
171,50.0,50.0,10.0,171,50.0,16.666666666666668,481,3.3333333333333335
172,50.0,10.0,50.0,172,50.0,3.3333333333333335,484,16.666666666666668
173,50.0,10.0,50.0,173,50.0,3.3333333333333335,487,16.666666666666668
174,50.0,50.0,10.0,174,50.0,16.666666666666668,490,3.3333333333333335
175,50.0,50.0,10.0,175,50.0,16.666666666666668,493,3.3333333333333335
176,50.0,10.0,50.0,176,50.0,3.3333333333333335,496,16.666666666666668
177,50.0,-5.0,-5.0,177,50.0,-1.6666666666666667,499,-1.6666666666666667
178,50.0,-5.0,-5.0,178,50.0,-1.6666666666666667,502,-1.6666666666666667
179,50.0,-5.0,-5.0,179,50.0,-2.5,504,-2.5
180,50.0,10.0,50.0,180,50.0,3.3333333333333335,507,16.666666666666668
181,50.0,10.0,50.0,181,50.0,3.3333333333333335,510,16.666666666666668
182,50.0,10.0,50.0,182,50.0,3.3333333333333335,513,16.666666666666668
183,50.0,10.0,50.0,183,50.0,3.3333333333333335,516,16.666666666666668
184,50.0,10.0,50.0,184,50.0,5.0,518,25.0
185,50.0,10.0,50.0,185,50.0,3.3333333333333335,521,16.666666666666668
186,50.0,10.0,50.0,186,50.0,3.3333333333333335,524,16.666666666666668
187,50.0,10.0,50.0,187,50.0,5.0,526,25.0
188,50.0,10.0,50.0,188,50.0,5.0,528,25.0
189,50.0,-5.0,-5.0,189,50.0,-1.6666666666666667,531,-1.6666666666666667
190,50.0,50.0,10.0,190,50.0,25.0,533,5.0
191,50.0,-5.0,-5.0,191,50.0,-2.5,535,-2.5
192,50.0,-5.0,-5.0,192,50.0,-2.5,537,-2.5
193,50.0,-5.0,-5.0,193,50.0,-2.5,539,-2.5
194,50.0,-5.0,-5.0,194,50.0,-2.5,541,-2.5
195,50.0,50.0,10.0,195,50.0,25.0,543,5.0
196,50.0,-5.0,-5.0,196,50.0,-2.5,545,-2.5
197,50.0,-5.0,-5.0,197,50.0,-2.5,547,-2.5
198,50.0,-5.0,-5.0,198,50.0,-2.5,549,-2.5
199,50.0,-5.0,-5.0,199,50.0,-1.6666666666666667,552,-1.6666666666666667
200,50.0,-5.0,-5.0,200,50.0,-2.5,554,-2.5
201,50.0,-5.0,-5.0,201,50.0,-2.5,556,-2.5
202,50.0,-5.0,-5.0,202,50.0,-2.5,558,-2.5
203,50.0,-5.0,-5.0,203,50.0,-2.5,560,-2.5
204,50.0,-5.0,-5.0,204,50.0,-2.5,562,-2.5
205,50.0,-5.0,-5.0,205,50.0,-2.5,564,-2.5
206,50.0,-5.0,-5.0,206,50.0,-2.5,566,-2.5
207,50.0,-10.0,-10.0,207,50.0,-5.0,568,-5.0
208,50.0,-5.0,-5.0,208,50.0,-2.5,570,-2.5
209,50.0,-5.0,-5.0,209,50.0,-2.5,572,-2.5
210,50.0,-5.0,-5.0,210,50.0,-1.6666666666666667,575,-1.6666666666666667
211,50.0,10.0,50.0,211,50.0,5.0,577,25.0
212,50.0,-5.0,-5.0,212,50.0,-2.5,579,-2.5
213,50.0,-5.0,-5.0,213,50.0,-2.5,581,-2.5
214,50.0,-5.0,-5.0,214,50.0,-2.5,583,-2.5
215,50.0,-5.0,-5.0,215,50.0,-1.6666666666666667,586,-1.6666666666666667
216,50.0,-5.0,-5.0,216,50.0,-2.5,588,-2.5
217,50.0,-5.0,-5.0,217,50.0,-1.6666666666666667,591,-1.6666666666666667
218,50.0,-5.0,-5.0,218,50.0,-2.5,593,-2.5
219,50.0,-5.0,-5.0,219,50.0,-2.5,595,-2.5
220,50.0,-5.0,-5.0,220,50.0,-2.5,597,-2.5
221,50.0,-5.0,-5.0,221,50.0,-2.5,599,-2.5
222,50.0,-5.0,-5.0,222,50.0,-2.5,601,-2.5
223,50.0,-5.0,-5.0,223,50.0,-2.5,603,-2.5
224,50.0,-5.0,-5.0,224,50.0,-1.6666666666666667,606,-1.6666666666666667
225,50.0,-5.0,-5.0,225,50.0,-2.5,608,-2.5
226,50.0,-5.0,-5.0,226,50.0,-2.5,610,-2.5
227,50.0,-5.0,-5.0,227,50.0,-2.5,612,-2.5
228,50.0,-5.0,-5.0,228,50.0,-2.5,614,-2.5
229,50.0,50.0,10.0,229,50.0,25.0,616,5.0
230,50.0,50.0,10.0,230,50.0,16.666666666666668,619,3.3333333333333335
231,50.0,-5.0,-5.0,231,50.0,-2.5,621,-2.5
232,50.0,-5.0,-5.0,232,50.0,-2.5,623,-2.5
233,50.0,50.0,10.0,233,50.0,25.0,625,5.0
234,50.0,-5.0,-5.0,234,50.0,-2.5,627,-2.5
235,50.0,-5.0,-5.0,235,50.0,-2.5,629,-2.5
236,50.0,-5.0,-5.0,236,50.0,-2.5,631,-2.5
237,50.0,-5.0,-5.0,237,50.0,-2.5,633,-2.5
238,50.0,10.0,50.0,238,50.0,5.0,635,25.0
239,50.0,50.0,10.0,239,50.0,16.666666666666668,638,3.3333333333333335
240,50.0,-5.0,-5.0,240,50.0,-2.5,640,-2.5
241,50.0,-5.0,-5.0,241,50.0,-2.5,642,-2.5
242,50.0,10.0,50.0,242,50.0,3.3333333333333335,645,16.666666666666668
243,50.0,-5.0,-5.0,243,50.0,-2.5,647,-2.5
244,50.0,-5.0,-5.0,244,50.0,-2.5,649,-2.5
245,50.0,10.0,50.0,245,50.0,3.3333333333333335,652,16.666666666666668
246,50.0,10.0,50.0,246,50.0,3.3333333333333335,655,16.666666666666668
247,50.0,-5.0,-5.0,247,50.0,-2.5,657,-2.5
248,50.0,-5.0,-5.0,248,50.0,-2.5,659,-2.5
249,50.0,-5.0,-5.0,249,50.0,-2.5,661,-2.5
250,50.0,-5.0,-5.0,250,50.0,-2.5,663,-2.5
251,50.0,-5.0,-5.0,251,50.0,-2.5,665,-2.5
252,50.0,-5.0,-5.0,252,50.0,-2.5,667,-2.5
253,50.0,-5.0,-5.0,253,50.0,-2.5,669,-2.5
254,50.0,-5.0,-5.0,254,50.0,-2.5,671,-2.5
255,50.0,-5.0,-5.0,255,50.0,-2.5,673,-2.5
256,50.0,-5.0,-5.0,256,50.0,-2.5,675,-2.5
257,50.0,-5.0,-5.0,257,50.0,-2.5,677,-2.5
258,50.0,50.0,10.0,258,50.0,25.0,679,5.0
259,50.0,-5.0,-5.0,259,50.0,-2.5,681,-2.5
260,50.0,-5.0,-5.0,260,50.0,-2.5,683,-2.5
261,50.0,-5.0,-5.0,261,50.0,-1.6666666666666667,686,-1.6666666666666667
262,50.0,50.0,10.0,262,50.0,25.0,688,5.0
263,50.0,10.0,50.0,263,50.0,3.3333333333333335,691,16.666666666666668
264,50.0,-5.0,-5.0,264,50.0,-2.5,693,-2.5
265,50.0,-5.0,-5.0,265,50.0,-2.5,695,-2.5
266,50.0,-5.0,-5.0,266,50.0,-2.5,697,-2.5
267,50.0,50.0,10.0,267,50.0,16.666666666666668,700,3.3333333333333335
268,50.0,-5.0,-5.0,268,50.0,-2.5,702,-2.5
269,50.0,-5.0,-5.0,269,50.0,-2.5,704,-2.5
270,50.0,-5.0,-5.0,270,50.0,-1.6666666666666667,707,-1.6666666666666667
271,50.0,-5.0,-5.0,271,50.0,-2.5,709,-2.5
272,50.0,-5.0,-5.0,272,50.0,-1.6666666666666667,712,-1.6666666666666667
273,50.0,-5.0,-5.0,273,50.0,-2.5,714,-2.5
274,50.0,-5.0,-5.0,274,50.0,-2.5,716,-2.5
275,50.0,10.0,50.0,275,50.0,3.3333333333333335,719,16.666666666666668
276,50.0,-5.0,-5.0,276,50.0,-2.5,721,-2.5
277,50.0,-5.0,-5.0,277,50.0,-2.5,723,-2.5
278,50.0,-5.0,-5.0,278,50.0,-2.5,725,-2.5
279,50.0,-5.0,-5.0,279,50.0,-2.5,727,-2.5
280,50.0,-5.0,-5.0,280,50.0,-1.6666666666666667,730,-1.6666666666666667
281,50.0,-5.0,-5.0,281,50.0,-2.5,732,-2.5
282,50.0,-5.0,-5.0,282,50.0,-1.6666666666666667,735,-1.6666666666666667
283,50.0,-5.0,-5.0,283,50.0,-1.6666666666666667,738,-1.6666666666666667
284,50.0,-5.0,-5.0,284,50.0,-2.5,740,-2.5
285,50.0,50.0,10.0,285,50.0,16.666666666666668,743,3.3333333333333335
286,50.0,-5.0,-5.0,286,50.0,-2.5,745,-2.5
287,50.0,-5.0,-5.0,287,50.0,-2.5,747,-2.5
288,50.0,-5.0,-5.0,288,50.0,-2.5,749,-2.5
289,50.0,50.0,10.0,289,50.0,25.0,751,5.0
290,50.0,50.0,10.0,290,50.0,16.666666666666668,754,3.3333333333333335
291,50.0,50.0,10.0,291,50.0,25.0,756,5.0
292,50.0,-5.0,-5.0,292,50.0,-2.5,758,-2.5
293,50.0,50.0,10.0,293,50.0,16.666666666666668,761,3.3333333333333335
294,50.0,50.0,10.0,294,50.0,16.666666666666668,764,3.3333333333333335
295,50.0,50.0,10.0,295,50.0,25.0,766,5.0
296,50.0,50.0,10.0,296,50.0,16.666666666666668,769,3.3333333333333335
297,50.0,50.0,10.0,297,50.0,25.0,771,5.0
298,50.0,50.0,10.0,298,50.0,16.666666666666668,774,3.3333333333333335
299,50.0,50.0,10.0,299,50.0,25.0,776,5.0
300,50.0,50.0,10.0,300,50.0,16.666666666666668,779,3.3333333333333335
301,50.0,50.0,10.0,301,50.0,16.666666666666668,782,3.3333333333333335
302,50.0,50.0,10.0,302,50.0,25.0,784,5.0
303,50.0,50.0,10.0,303,50.0,25.0,786,5.0
304,50.0,50.0,10.0,304,50.0,16.666666666666668,789,3.3333333333333335
305,50.0,50.0,10.0,305,50.0,25.0,791,5.0
306,50.0,50.0,10.0,306,50.0,16.666666666666668,794,3.3333333333333335
307,50.0,50.0,10.0,307,50.0,16.666666666666668,797,3.3333333333333335
308,50.0,50.0,10.0,308,50.0,25.0,799,5.0
309,50.0,50.0,10.0,309,50.0,25.0,801,5.0
310,50.0,50.0,10.0,310,50.0,25.0,803,5.0
311,50.0,10.0,50.0,311,50.0,3.3333333333333335,806,16.666666666666668
312,50.0,50.0,10.0,312,50.0,25.0,808,5.0
313,50.0,50.0,10.0,313,50.0,16.666666666666668,811,3.3333333333333335
314,50.0,50.0,10.0,314,50.0,16.666666666666668,814,3.3333333333333335
315,50.0,50.0,10.0,315,50.0,25.0,816,5.0
316,50.0,50.0,10.0,316,50.0,16.666666666666668,819,3.3333333333333335
317,50.0,50.0,10.0,317,50.0,16.666666666666668,822,3.3333333333333335
318,50.0,50.0,10.0,318,50.0,25.0,824,5.0
319,50.0,50.0,10.0,319,50.0,25.0,826,5.0
320,50.0,50.0,10.0,320,50.0,25.0,828,5.0
321,50.0,50.0,10.0,321,50.0,25.0,830,5.0
322,50.0,50.0,10.0,322,50.0,16.666666666666668,833,3.3333333333333335
323,50.0,50.0,10.0,323,50.0,25.0,835,5.0
324,50.0,50.0,10.0,324,50.0,25.0,837,5.0
325,50.0,50.0,10.0,325,50.0,16.666666666666668,840,3.3333333333333335
326,50.0,50.0,10.0,326,50.0,16.666666666666668,843,3.3333333333333335
327,50.0,50.0,10.0,327,50.0,25.0,845,5.0
328,50.0,50.0,10.0,328,50.0,16.666666666666668,848,3.3333333333333335
329,50.0,50.0,10.0,329,50.0,25.0,850,5.0
330,50.0,50.0,10.0,330,50.0,25.0,852,5.0
331,50.0,50.0,10.0,331,50.0,25.0,854,5.0
332,50.0,50.0,10.0,332,50.0,16.666666666666668,857,3.3333333333333335
333,50.0,50.0,10.0,333,50.0,16.666666666666668,860,3.3333333333333335
334,50.0,50.0,10.0,334,50.0,25.0,862,5.0
335,50.0,50.0,10.0,335,50.0,25.0,864,5.0
336,50.0,50.0,10.0,336,50.0,25.0,866,5.0
337,50.0,50.0,10.0,337,50.0,25.0,868,5.0
338,50.0,50.0,10.0,338,50.0,25.0,870,5.0
339,50.0,50.0,10.0,339,50.0,25.0,872,5.0
340,50.0,50.0,10.0,340,50.0,25.0,874,5.0
341,50.0,50.0,10.0,341,50.0,25.0,876,5.0
342,50.0,50.0,10.0,342,50.0,25.0,878,5.0
343,50.0,10.0,50.0,343,50.0,3.3333333333333335,881,16.666666666666668
344,50.0,50.0,10.0,344,50.0,25.0,883,5.0
345,50.0,10.0,50.0,345,50.0,5.0,885,25.0
346,50.0,50.0,10.0,346,50.0,25.0,887,5.0
347,50.0,50.0,10.0,347,50.0,16.666666666666668,890,3.3333333333333335
348,50.0,50.0,10.0,348,50.0,25.0,892,5.0
349,50.0,50.0,10.0,349,50.0,25.0,894,5.0
350,50.0,50.0,10.0,350,50.0,16.666666666666668,897,3.3333333333333335
351,50.0,50.0,10.0,351,50.0,25.0,899,5.0
352,50.0,50.0,10.0,352,50.0,16.666666666666668,902,3.3333333333333335
353,50.0,10.0,50.0,353,50.0,3.3333333333333335,905,16.666666666666668
354,50.0,50.0,10.0,354,50.0,25.0,907,5.0
355,50.0,50.0,10.0,355,50.0,16.666666666666668,910,3.3333333333333335
356,50.0,50.0,10.0,356,50.0,16.666666666666668,913,3.3333333333333335
357,50.0,50.0,10.0,357,50.0,16.666666666666668,916,3.3333333333333335
358,50.0,50.0,10.0,358,50.0,16.666666666666668,919,3.3333333333333335
359,50.0,50.0,10.0,359,50.0,25.0,921,5.0
360,50.0,50.0,10.0,360,50.0,25.0,923,5.0
361,50.0,50.0,10.0,361,50.0,25.0,925,5.0
362,50.0,50.0,10.0,362,50.0,25.0,927,5.0
363,50.0,10.0,50.0,363,50.0,3.3333333333333335,930,16.666666666666668
364,50.0,50.0,10.0,364,50.0,25.0,932,5.0
365,50.0,50.0,10.0,365,50.0,16.666666666666668,935,3.3333333333333335
366,50.0,10.0,50.0,366,50.0,3.3333333333333335,938,16.666666666666668
367,50.0,50.0,10.0,367,50.0,16.666666666666668,941,3.3333333333333335
368,50.0,50.0,10.0,368,50.0,16.666666666666668,944,3.3333333333333335
369,50.0,50.0,10.0,369,50.0,16.666666666666668,947,3.3333333333333335
370,50.0,50.0,10.0,370,50.0,25.0,949,5.0
371,50.0,50.0,10.0,371,50.0,25.0,951,5.0
372,50.0,50.0,10.0,372,50.0,25.0,953,5.0
373,50.0,50.0,10.0,373,50.0,25.0,955,5.0
374,50.0,50.0,10.0,374,50.0,16.666666666666668,958,3.3333333333333335
375,50.0,50.0,10.0,375,50.0,25.0,960,5.0
376,50.0,50.0,10.0,376,50.0,25.0,962,5.0
