mean-path-return_agent_0,max-path-return_agent_0,max-path-return_agent_1,episodes,last-path-return_agent_1,total-samples,mean-path-return_agent_1,episode_reward,last-path-return_agent_0
3.3333333333333335,10.0,50.0,1,50.0,3,16.666666666666668,1,10.0
3.3333333333333335,10.0,50.0,2,50.0,6,16.666666666666668,2,10.0
3.3333333333333335,10.0,50.0,3,50.0,9,16.666666666666668,3,10.0
16.666666666666668,50.0,50.0,4,10.0,12,3.3333333333333335,4,50.0
5.0,50.0,50.0,5,50.0,14,25.0,5,10.0
-5.0,50.0,50.0,6,-10.0,16,-5.0,6,-10.0
-1.6666666666666667,50.0,50.0,7,-5.0,19,-1.6666666666666667,7,-5.0
16.666666666666668,50.0,50.0,8,10.0,22,3.3333333333333335,8,50.0
3.3333333333333335,50.0,50.0,9,50.0,25,16.666666666666668,9,10.0
-2.5,50.0,50.0,10,-5.0,27,-2.5,10,-5.0
3.3333333333333335,50.0,50.0,11,50.0,30,16.666666666666668,11,10.0
-2.5,50.0,50.0,12,-5.0,32,-2.5,12,-5.0
3.3333333333333335,50.0,50.0,13,50.0,35,16.666666666666668,13,10.0
16.666666666666668,50.0,50.0,14,10.0,38,3.3333333333333335,14,50.0
-5.0,50.0,50.0,15,-10.0,40,-5.0,15,-10.0
-1.6666666666666667,50.0,50.0,16,-5.0,43,-1.6666666666666667,16,-5.0
16.666666666666668,50.0,50.0,17,10.0,46,3.3333333333333335,17,50.0
16.666666666666668,50.0,50.0,18,10.0,49,3.3333333333333335,18,50.0
25.0,50.0,50.0,19,10.0,51,5.0,19,50.0
16.666666666666668,50.0,50.0,20,10.0,54,3.3333333333333335,20,50.0
-2.5,50.0,50.0,21,-5.0,56,-2.5,21,-5.0
16.666666666666668,50.0,50.0,22,10.0,59,3.3333333333333335,22,50.0
16.666666666666668,50.0,50.0,23,10.0,62,3.3333333333333335,23,50.0
16.666666666666668,50.0,50.0,24,10.0,65,3.3333333333333335,24,50.0
3.3333333333333335,50.0,50.0,25,50.0,68,16.666666666666668,25,10.0
-5.0,50.0,50.0,26,-10.0,70,-5.0,26,-10.0
16.666666666666668,50.0,50.0,27,10.0,73,3.3333333333333335,27,50.0
3.3333333333333335,50.0,50.0,28,50.0,76,16.666666666666668,28,10.0
-1.6666666666666667,50.0,50.0,29,-5.0,79,-1.6666666666666667,29,-5.0
3.3333333333333335,50.0,50.0,30,50.0,82,16.666666666666668,30,10.0
-5.0,50.0,50.0,31,-10.0,84,-5.0,31,-10.0
3.3333333333333335,50.0,50.0,32,50.0,87,16.666666666666668,32,10.0
3.3333333333333335,50.0,50.0,33,50.0,90,16.666666666666668,33,10.0
3.3333333333333335,50.0,50.0,34,50.0,93,16.666666666666668,34,10.0
3.3333333333333335,50.0,50.0,35,50.0,96,16.666666666666668,35,10.0
-1.6666666666666667,50.0,50.0,36,-5.0,99,-1.6666666666666667,36,-5.0
5.0,50.0,50.0,37,50.0,101,25.0,37,10.0
3.3333333333333335,50.0,50.0,38,50.0,104,16.666666666666668,38,10.0
16.666666666666668,50.0,50.0,39,10.0,107,3.3333333333333335,39,50.0
3.3333333333333335,50.0,50.0,40,50.0,110,16.666666666666668,40,10.0
3.3333333333333335,50.0,50.0,41,50.0,113,16.666666666666668,41,10.0
5.0,50.0,50.0,42,50.0,115,25.0,42,10.0
-5.0,50.0,50.0,43,-10.0,117,-5.0,43,-10.0
16.666666666666668,50.0,50.0,44,10.0,120,3.3333333333333335,44,50.0
16.666666666666668,50.0,50.0,45,10.0,123,3.3333333333333335,45,50.0
