max-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_0,episodes,mean-path-return_agent_0,last-path-return_agent_0,mean-path-return_agent_1,total-samples,episode_reward
-5.0,-5.0,-5.0,1,-2.5,-5.0,-2.5,2,1
-5.0,-5.0,-5.0,2,-2.5,-5.0,-2.5,4,2
10.0,10.0,50.0,3,16.666666666666668,50.0,3.3333333333333335,7,3
50.0,50.0,50.0,4,3.3333333333333335,10.0,16.666666666666668,10,4
50.0,-5.0,50.0,5,-1.6666666666666667,-5.0,-1.6666666666666667,13,5
50.0,-5.0,50.0,6,-1.6666666666666667,-5.0,-1.6666666666666667,16,6
50.0,10.0,50.0,7,16.666666666666668,50.0,3.3333333333333335,19,7
50.0,10.0,50.0,8,16.666666666666668,50.0,3.3333333333333335,22,8
50.0,-5.0,50.0,9,-1.6666666666666667,-5.0,-1.6666666666666667,25,9
50.0,10.0,50.0,10,16.666666666666668,50.0,3.3333333333333335,28,10
50.0,50.0,50.0,11,3.3333333333333335,10.0,16.666666666666668,31,11
50.0,10.0,50.0,12,16.666666666666668,50.0,3.3333333333333335,34,12
50.0,10.0,50.0,13,16.666666666666668,50.0,3.3333333333333335,37,13
50.0,10.0,50.0,14,16.666666666666668,50.0,3.3333333333333335,40,14
50.0,10.0,50.0,15,16.666666666666668,50.0,3.3333333333333335,43,15
50.0,10.0,50.0,16,16.666666666666668,50.0,3.3333333333333335,46,16
50.0,10.0,50.0,17,16.666666666666668,50.0,3.3333333333333335,49,17
50.0,-5.0,50.0,18,-2.5,-5.0,-2.5,51,18
50.0,10.0,50.0,19,16.666666666666668,50.0,3.3333333333333335,54,19
50.0,-5.0,50.0,20,-1.6666666666666667,-5.0,-1.6666666666666667,57,20
50.0,-5.0,50.0,21,-1.6666666666666667,-5.0,-1.6666666666666667,60,21
50.0,-10.0,50.0,22,-5.0,-10.0,-5.0,62,22
50.0,10.0,50.0,23,16.666666666666668,50.0,3.3333333333333335,65,23
50.0,-5.0,50.0,24,-1.6666666666666667,-5.0,-1.6666666666666667,68,24
50.0,10.0,50.0,25,16.666666666666668,50.0,3.3333333333333335,71,25
50.0,10.0,50.0,26,16.666666666666668,50.0,3.3333333333333335,74,26
50.0,10.0,50.0,27,16.666666666666668,50.0,3.3333333333333335,77,27
50.0,-10.0,50.0,28,-5.0,-10.0,-5.0,79,28
50.0,50.0,50.0,29,3.3333333333333335,10.0,16.666666666666668,82,29
50.0,-5.0,50.0,30,-1.6666666666666667,-5.0,-1.6666666666666667,85,30
50.0,10.0,50.0,31,25.0,50.0,5.0,87,31
50.0,-5.0,50.0,32,-1.6666666666666667,-5.0,-1.6666666666666667,90,32
50.0,-5.0,50.0,33,-2.5,-5.0,-2.5,92,33
50.0,10.0,50.0,34,16.666666666666668,50.0,3.3333333333333335,95,34
50.0,50.0,50.0,35,3.3333333333333335,10.0,16.666666666666668,98,35
50.0,50.0,50.0,36,3.3333333333333335,10.0,16.666666666666668,101,36
50.0,50.0,50.0,37,3.3333333333333335,10.0,16.666666666666668,104,37
50.0,-5.0,50.0,38,-1.6666666666666667,-5.0,-1.6666666666666667,107,38
