episodes,total-samples,mean-path-return_agent_1,episode_reward,last-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0
35,96,-1.6666666666666667,35,-5.0,50.0,-5.0,50.0,-1.6666666666666667
36,98,-2.5,36,-5.0,50.0,-5.0,50.0,-2.5
37,101,3.3333333333333335,37,50.0,50.0,10.0,50.0,16.666666666666668
38,104,16.666666666666668,38,10.0,50.0,50.0,50.0,3.3333333333333335
39,107,3.3333333333333335,39,50.0,50.0,10.0,50.0,16.666666666666668
40,110,16.666666666666668,40,10.0,50.0,50.0,50.0,3.3333333333333335
41,113,16.666666666666668,41,10.0,50.0,50.0,50.0,3.3333333333333335
42,116,16.666666666666668,42,10.0,50.0,50.0,50.0,3.3333333333333335
43,119,16.666666666666668,43,10.0,50.0,50.0,50.0,3.3333333333333335
44,122,16.666666666666668,44,10.0,50.0,50.0,50.0,3.3333333333333335
45,125,16.666666666666668,45,10.0,50.0,50.0,50.0,3.3333333333333335
46,128,-1.6666666666666667,46,-5.0,50.0,-5.0,50.0,-1.6666666666666667
47,131,-1.6666666666666667,47,-5.0,50.0,-5.0,50.0,-1.6666666666666667
48,134,-1.6666666666666667,48,-5.0,50.0,-5.0,50.0,-1.6666666666666667
49,137,3.3333333333333335,49,50.0,50.0,10.0,50.0,16.666666666666668
50,140,16.666666666666668,50,10.0,50.0,50.0,50.0,3.3333333333333335
51,142,-2.5,51,-5.0,50.0,-5.0,50.0,-2.5
52,145,3.3333333333333335,52,50.0,50.0,10.0,50.0,16.666666666666668
53,148,16.666666666666668,53,10.0,50.0,50.0,50.0,3.3333333333333335
54,151,16.666666666666668,54,10.0,50.0,50.0,50.0,3.3333333333333335
55,154,3.3333333333333335,55,50.0,50.0,10.0,50.0,16.666666666666668
56,157,16.666666666666668,56,10.0,50.0,50.0,50.0,3.3333333333333335
57,159,5.0,57,50.0,50.0,10.0,50.0,25.0
58,162,3.3333333333333335,58,50.0,50.0,10.0,50.0,16.666666666666668
59,165,16.666666666666668,59,10.0,50.0,50.0,50.0,3.3333333333333335
60,168,16.666666666666668,60,10.0,50.0,50.0,50.0,3.3333333333333335
61,171,16.666666666666668,61,10.0,50.0,50.0,50.0,3.3333333333333335
62,174,16.666666666666668,62,10.0,50.0,50.0,50.0,3.3333333333333335
63,177,16.666666666666668,63,10.0,50.0,50.0,50.0,3.3333333333333335
64,180,16.666666666666668,64,10.0,50.0,50.0,50.0,3.3333333333333335
65,183,16.666666666666668,65,10.0,50.0,50.0,50.0,3.3333333333333335
66,186,3.3333333333333335,66,50.0,50.0,10.0,50.0,16.666666666666668
67,189,16.666666666666668,67,10.0,50.0,50.0,50.0,3.3333333333333335
68,192,16.666666666666668,68,10.0,50.0,50.0,50.0,3.3333333333333335
69,194,-5.0,69,-10.0,50.0,-10.0,50.0,-5.0
70,197,3.3333333333333335,70,50.0,50.0,10.0,50.0,16.666666666666668
71,200,3.3333333333333335,71,50.0,50.0,10.0,50.0,16.666666666666668
72,203,-1.6666666666666667,72,-5.0,50.0,-5.0,50.0,-1.6666666666666667
73,205,-5.0,73,-10.0,50.0,-10.0,50.0,-5.0
74,208,-1.6666666666666667,74,-5.0,50.0,-5.0,50.0,-1.6666666666666667
75,211,3.3333333333333335,75,50.0,50.0,10.0,50.0,16.666666666666668
76,214,16.666666666666668,76,10.0,50.0,50.0,50.0,3.3333333333333335
77,217,-1.6666666666666667,77,-5.0,50.0,-5.0,50.0,-1.6666666666666667
78,220,-1.6666666666666667,78,-5.0,50.0,-5.0,50.0,-1.6666666666666667
79,223,3.3333333333333335,79,50.0,50.0,10.0,50.0,16.666666666666668
