total-samples,last-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,mean-path-return_agent_1,episode_reward,mean-path-return_agent_0,max-path-return_agent_0,episodes
3,10.0,50.0,50.0,16.666666666666668,1,3.3333333333333335,10.0,1
6,10.0,50.0,50.0,16.666666666666668,2,3.3333333333333335,10.0,2
9,50.0,10.0,50.0,3.3333333333333335,3,16.666666666666668,50.0,3
12,10.0,50.0,50.0,16.666666666666668,4,3.3333333333333335,50.0,4
15,10.0,50.0,50.0,16.666666666666668,5,3.3333333333333335,50.0,5
18,10.0,50.0,50.0,16.666666666666668,6,3.3333333333333335,50.0,6
21,50.0,10.0,50.0,3.3333333333333335,7,16.666666666666668,50.0,7
24,50.0,10.0,50.0,3.3333333333333335,8,16.666666666666668,50.0,8
26,10.0,50.0,50.0,25.0,9,5.0,50.0,9
29,50.0,10.0,50.0,3.3333333333333335,10,16.666666666666668,50.0,10
32,-5.0,-5.0,50.0,-1.6666666666666667,11,-1.6666666666666667,50.0,11
35,10.0,50.0,50.0,16.666666666666668,12,3.3333333333333335,50.0,12
38,10.0,50.0,50.0,16.666666666666668,13,3.3333333333333335,50.0,13
41,50.0,10.0,50.0,3.3333333333333335,14,16.666666666666668,50.0,14
44,10.0,50.0,50.0,16.666666666666668,15,3.3333333333333335,50.0,15
47,50.0,10.0,50.0,3.3333333333333335,16,16.666666666666668,50.0,16
49,50.0,10.0,50.0,5.0,17,25.0,50.0,17
52,10.0,50.0,50.0,16.666666666666668,18,3.3333333333333335,50.0,18
55,10.0,50.0,50.0,16.666666666666668,19,3.3333333333333335,50.0,19
58,50.0,10.0,50.0,3.3333333333333335,20,16.666666666666668,50.0,20
60,-10.0,-10.0,50.0,-5.0,21,-5.0,50.0,21
63,10.0,50.0,50.0,16.666666666666668,22,3.3333333333333335,50.0,22
66,50.0,10.0,50.0,3.3333333333333335,23,16.666666666666668,50.0,23
69,10.0,50.0,50.0,16.666666666666668,24,3.3333333333333335,50.0,24
72,10.0,50.0,50.0,16.666666666666668,25,3.3333333333333335,50.0,25
74,-10.0,-10.0,50.0,-5.0,26,-5.0,50.0,26
77,-5.0,-5.0,50.0,-1.6666666666666667,27,-1.6666666666666667,50.0,27
80,50.0,10.0,50.0,3.3333333333333335,28,16.666666666666668,50.0,28
83,10.0,50.0,50.0,16.666666666666668,29,3.3333333333333335,50.0,29
86,-5.0,-5.0,50.0,-1.6666666666666667,30,-1.6666666666666667,50.0,30
89,50.0,10.0,50.0,3.3333333333333335,31,16.666666666666668,50.0,31
92,10.0,50.0,50.0,16.666666666666668,32,3.3333333333333335,50.0,32
94,50.0,10.0,50.0,5.0,33,25.0,50.0,33
97,10.0,50.0,50.0,16.666666666666668,34,3.3333333333333335,50.0,34
99,10.0,50.0,50.0,25.0,35,5.0,50.0,35
102,10.0,50.0,50.0,16.666666666666668,36,3.3333333333333335,50.0,36
105,50.0,10.0,50.0,3.3333333333333335,37,16.666666666666668,50.0,37
108,10.0,50.0,50.0,16.666666666666668,38,3.3333333333333335,50.0,38
111,10.0,50.0,50.0,16.666666666666668,39,3.3333333333333335,50.0,39
114,50.0,10.0,50.0,3.3333333333333335,40,16.666666666666668,50.0,40
117,10.0,50.0,50.0,16.666666666666668,41,3.3333333333333335,50.0,41
120,10.0,50.0,50.0,16.666666666666668,42,3.3333333333333335,50.0,42
122,10.0,50.0,50.0,25.0,43,5.0,50.0,43
125,10.0,50.0,50.0,16.666666666666668,44,3.3333333333333335,50.0,44
128,50.0,10.0,50.0,3.3333333333333335,45,16.666666666666668,50.0,45
131,50.0,10.0,50.0,3.3333333333333335,46,16.666666666666668,50.0,46
133,10.0,50.0,50.0,25.0,47,5.0,50.0,47
136,10.0,50.0,50.0,16.666666666666668,48,3.3333333333333335,50.0,48
139,50.0,10.0,50.0,3.3333333333333335,49,16.666666666666668,50.0,49
142,-5.0,-5.0,50.0,-1.6666666666666667,50,-1.6666666666666667,50.0,50
145,50.0,10.0,50.0,3.3333333333333335,51,16.666666666666668,50.0,51
148,-5.0,-5.0,50.0,-1.6666666666666667,52,-1.6666666666666667,50.0,52
151,-5.0,-5.0,50.0,-1.6666666666666667,53,-1.6666666666666667,50.0,53
154,-5.0,-5.0,50.0,-1.6666666666666667,54,-1.6666666666666667,50.0,54
157,50.0,10.0,50.0,3.3333333333333335,55,16.666666666666668,50.0,55
160,10.0,50.0,50.0,16.666666666666668,56,3.3333333333333335,50.0,56
163,-5.0,-5.0,50.0,-1.6666666666666667,57,-1.6666666666666667,50.0,57
166,50.0,10.0,50.0,3.3333333333333335,58,16.666666666666668,50.0,58
169,50.0,10.0,50.0,3.3333333333333335,59,16.666666666666668,50.0,59
172,-5.0,-5.0,50.0,-1.6666666666666667,60,-1.6666666666666667,50.0,60
174,-5.0,-5.0,50.0,-2.5,61,-2.5,50.0,61
177,10.0,50.0,50.0,16.666666666666668,62,3.3333333333333335,50.0,62
180,-5.0,-5.0,50.0,-1.6666666666666667,63,-1.6666666666666667,50.0,63
183,50.0,10.0,50.0,3.3333333333333335,64,16.666666666666668,50.0,64
186,50.0,10.0,50.0,3.3333333333333335,65,16.666666666666668,50.0,65
189,10.0,50.0,50.0,16.666666666666668,66,3.3333333333333335,50.0,66
192,50.0,10.0,50.0,3.3333333333333335,67,16.666666666666668,50.0,67
195,50.0,10.0,50.0,3.3333333333333335,68,16.666666666666668,50.0,68
198,50.0,10.0,50.0,3.3333333333333335,69,16.666666666666668,50.0,69
