mean-path-return_agent_1,last-path-return_agent_1,total-samples,mean-episode_cost_agent_0,episodes,max-path-return_agent_1,mean-path-return_agent_0,episode_reward,last-path-return_agent_0,mean-episode_cost_agent_1,max-path-return_agent_0
3.3333333333333335,10.0,3,0.0,1,10.0,16.666666666666668,1,50.0,0.0,50.0
3.3333333333333335,10.0,6,0.0,2,10.0,16.666666666666668,2,50.0,3.3333333333333335,50.0
3.3333333333333335,10.0,9,0.0,3,10.0,16.666666666666668,3,50.0,0.0,50.0
16.666666666666668,50.0,12,6.666666666666667,4,50.0,3.3333333333333335,4,10.0,0.0,50.0
16.666666666666668,50.0,15,0.0,5,50.0,3.3333333333333335,5,10.0,0.0,50.0
-2.5,-5.0,17,25.0,6,50.0,-2.5,6,-5.0,25.0,50.0
2.5,10.0,21,5.0,7,50.0,12.5,7,50.0,7.5,50.0
-5.0,-10.0,23,25.0,8,50.0,-5.0,8,-10.0,25.0,50.0
12.5,50.0,27,7.5,9,50.0,2.5,9,10.0,5.0,50.0
-1.6666666666666667,-5.0,30,16.666666666666668,10,50.0,-1.6666666666666667,10,-5.0,16.666666666666668,50.0
-1.6666666666666667,-5.0,33,16.666666666666668,11,50.0,-1.6666666666666667,11,-5.0,16.666666666666668,50.0
3.3333333333333335,10.0,36,0.0,12,50.0,16.666666666666668,12,50.0,0.0,50.0
16.666666666666668,50.0,39,0.0,13,50.0,3.3333333333333335,13,10.0,0.0,50.0
3.3333333333333335,10.0,42,0.0,14,50.0,16.666666666666668,14,50.0,0.0,50.0
16.666666666666668,50.0,45,0.0,15,50.0,3.3333333333333335,15,10.0,0.0,50.0
3.3333333333333335,10.0,48,0.0,16,50.0,16.666666666666668,16,50.0,0.0,50.0
3.3333333333333335,10.0,51,0.0,17,50.0,16.666666666666668,17,50.0,0.0,50.0
3.3333333333333335,10.0,54,0.0,18,50.0,16.666666666666668,18,50.0,0.0,50.0
16.666666666666668,50.0,57,0.0,19,50.0,3.3333333333333335,19,10.0,0.0,50.0
3.3333333333333335,10.0,60,0.0,20,50.0,16.666666666666668,20,50.0,0.0,50.0
3.3333333333333335,10.0,63,0.0,21,50.0,16.666666666666668,21,50.0,0.0,50.0
16.666666666666668,50.0,66,0.0,22,50.0,3.3333333333333335,22,10.0,0.0,50.0
-1.6666666666666667,-5.0,69,16.666666666666668,23,50.0,-1.6666666666666667,23,-5.0,16.666666666666668,50.0
3.3333333333333335,10.0,72,0.0,24,50.0,16.666666666666668,24,50.0,0.0,50.0
3.3333333333333335,10.0,75,0.0,25,50.0,16.666666666666668,25,50.0,0.0,50.0
-2.5,-5.0,77,25.0,26,50.0,-2.5,26,-5.0,25.0,50.0
3.3333333333333335,10.0,80,0.0,27,50.0,16.666666666666668,27,50.0,6.666666666666667,50.0
16.666666666666668,50.0,83,0.0,28,50.0,3.3333333333333335,28,10.0,0.0,50.0
-2.5,-5.0,85,25.0,29,50.0,-2.5,29,-5.0,25.0,50.0
5.0,10.0,87,0.0,30,50.0,25.0,30,50.0,0.0,50.0
16.666666666666668,50.0,90,0.0,31,50.0,3.3333333333333335,31,10.0,0.0,50.0
3.3333333333333335,10.0,93,0.0,32,50.0,16.666666666666668,32,50.0,0.0,50.0
3.3333333333333335,10.0,96,0.0,33,50.0,16.666666666666668,33,50.0,6.666666666666667,50.0
16.666666666666668,50.0,99,0.0,34,50.0,3.3333333333333335,34,10.0,0.0,50.0
16.666666666666668,50.0,102,3.3333333333333335,35,50.0,3.3333333333333335,35,10.0,0.0,50.0
-1.6666666666666667,-5.0,105,20.0,36,50.0,-1.6666666666666667,36,-5.0,20.0,50.0
-2.5,-5.0,107,25.0,37,50.0,-2.5,37,-5.0,25.0,50.0
5.0,10.0,109,0.0,38,50.0,25.0,38,50.0,0.0,50.0
3.3333333333333335,10.0,112,0.0,39,50.0,16.666666666666668,39,50.0,0.0,50.0
3.3333333333333335,10.0,115,0.0,40,50.0,16.666666666666668,40,50.0,0.0,50.0
16.666666666666668,50.0,118,0.0,41,50.0,3.3333333333333335,41,10.0,0.0,50.0
-2.5,-5.0,120,25.0,42,50.0,-2.5,42,-5.0,25.0,50.0
16.666666666666668,50.0,123,0.0,43,50.0,3.3333333333333335,43,10.0,0.0,50.0
3.3333333333333335,10.0,126,0.0,44,50.0,16.666666666666668,44,50.0,0.0,50.0
3.3333333333333335,10.0,129,0.0,45,50.0,16.666666666666668,45,50.0,3.3333333333333335,50.0
-5.0,-10.0,131,25.0,46,50.0,-5.0,46,-10.0,25.0,50.0
3.3333333333333335,10.0,134,0.0,47,50.0,16.666666666666668,47,50.0,0.0,50.0
-1.6666666666666667,-5.0,137,16.666666666666668,48,50.0,-1.6666666666666667,48,-5.0,16.666666666666668,50.0
16.666666666666668,50.0,140,0.0,49,50.0,3.3333333333333335,49,10.0,0.0,50.0
5.0,10.0,142,0.0,50,50.0,25.0,50,50.0,0.0,50.0
3.3333333333333335,10.0,145,0.0,51,50.0,16.666666666666668,51,50.0,0.0,50.0
16.666666666666668,50.0,148,0.0,52,50.0,3.3333333333333335,52,10.0,0.0,50.0
16.666666666666668,50.0,151,0.0,53,50.0,3.3333333333333335,53,10.0,0.0,50.0
3.3333333333333335,10.0,154,0.0,54,50.0,16.666666666666668,54,50.0,3.3333333333333335,50.0
-1.6666666666666667,-5.0,157,16.666666666666668,55,50.0,-1.6666666666666667,55,-5.0,16.666666666666668,50.0
16.666666666666668,50.0,160,0.0,56,50.0,3.3333333333333335,56,10.0,0.0,50.0
