mean-path-return_agent_1,mean-path-return_agent_0,episode_reward,last-path-return_agent_1,last-path-return_agent_0,total-samples,max-path-return_agent_1,episodes,max-path-return_agent_0
16.666666666666668,3.3333333333333335,1,50.0,10.0,3,50.0,1,10.0
16.666666666666668,3.3333333333333335,2,50.0,10.0,6,50.0,2,10.0
-5.0,-5.0,3,-10.0,-10.0,8,50.0,3,10.0
-5.0,-5.0,4,-10.0,-10.0,10,50.0,4,10.0
-1.6666666666666667,-1.6666666666666667,5,-5.0,-5.0,13,50.0,5,10.0
16.666666666666668,3.3333333333333335,6,50.0,10.0,16,50.0,6,10.0
3.3333333333333335,16.666666666666668,7,10.0,50.0,19,50.0,7,50.0
25.0,5.0,8,50.0,10.0,21,50.0,8,50.0
16.666666666666668,3.3333333333333335,9,50.0,10.0,24,50.0,9,50.0
16.666666666666668,3.3333333333333335,10,50.0,10.0,27,50.0,10,50.0
16.666666666666668,3.3333333333333335,11,50.0,10.0,30,50.0,11,50.0
3.3333333333333335,16.666666666666668,12,10.0,50.0,33,50.0,12,50.0
-1.6666666666666667,-1.6666666666666667,13,-5.0,-5.0,36,50.0,13,50.0
-2.5,-2.5,14,-5.0,-5.0,38,50.0,14,50.0
3.3333333333333335,16.666666666666668,15,10.0,50.0,41,50.0,15,50.0
3.3333333333333335,16.666666666666668,16,10.0,50.0,44,50.0,16,50.0
16.666666666666668,3.3333333333333335,17,50.0,10.0,47,50.0,17,50.0
16.666666666666668,3.3333333333333335,18,50.0,10.0,50,50.0,18,50.0
3.3333333333333335,16.666666666666668,19,10.0,50.0,53,50.0,19,50.0
-5.0,-5.0,20,-10.0,-10.0,55,50.0,20,50.0
-2.5,-2.5,21,-5.0,-5.0,57,50.0,21,50.0
5.0,25.0,22,10.0,50.0,59,50.0,22,50.0
16.666666666666668,3.3333333333333335,23,50.0,10.0,62,50.0,23,50.0
16.666666666666668,3.3333333333333335,24,50.0,10.0,65,50.0,24,50.0
25.0,5.0,25,50.0,10.0,67,50.0,25,50.0
16.666666666666668,3.3333333333333335,26,50.0,10.0,70,50.0,26,50.0
3.3333333333333335,16.666666666666668,27,10.0,50.0,73,50.0,27,50.0
16.666666666666668,3.3333333333333335,28,50.0,10.0,76,50.0,28,50.0
3.3333333333333335,16.666666666666668,29,10.0,50.0,79,50.0,29,50.0
-2.5,-2.5,30,-5.0,-5.0,81,50.0,30,50.0
3.3333333333333335,16.666666666666668,31,10.0,50.0,84,50.0,31,50.0
3.3333333333333335,16.666666666666668,32,10.0,50.0,87,50.0,32,50.0
3.3333333333333335,16.666666666666668,33,10.0,50.0,90,50.0,33,50.0
16.666666666666668,3.3333333333333335,34,50.0,10.0,93,50.0,34,50.0
16.666666666666668,3.3333333333333335,35,50.0,10.0,96,50.0,35,50.0
3.3333333333333335,16.666666666666668,36,10.0,50.0,99,50.0,36,50.0
