total-samples,mean-path-return_agent_0,max-path-return_agent_0,episode_reward,last-path-return_agent_0,mean-path-return_agent_1,episodes,max-path-return_agent_1,last-path-return_agent_1
2,5.0,10.0,1,10.0,25.0,1,50.0,50.0
5,3.3333333333333335,10.0,2,10.0,16.666666666666668,2,50.0,50.0
7,-2.5,10.0,3,-5.0,-2.5,3,50.0,-5.0
10,-1.6666666666666667,10.0,4,-5.0,-1.6666666666666667,4,50.0,-5.0
13,16.666666666666668,50.0,5,50.0,3.3333333333333335,5,50.0,10.0
16,3.3333333333333335,50.0,6,10.0,16.666666666666668,6,50.0,50.0
19,3.3333333333333335,50.0,7,10.0,16.666666666666668,7,50.0,50.0
22,16.666666666666668,50.0,8,50.0,3.3333333333333335,8,50.0,10.0
25,3.3333333333333335,50.0,9,10.0,16.666666666666668,9,50.0,50.0
28,16.666666666666668,50.0,10,50.0,3.3333333333333335,10,50.0,10.0
31,16.666666666666668,50.0,11,50.0,3.3333333333333335,11,50.0,10.0
34,16.666666666666668,50.0,12,50.0,3.3333333333333335,12,50.0,10.0
36,-2.5,50.0,13,-5.0,-2.5,13,50.0,-5.0
39,3.3333333333333335,50.0,14,10.0,16.666666666666668,14,50.0,50.0
42,16.666666666666668,50.0,15,50.0,3.3333333333333335,15,50.0,10.0
45,-1.6666666666666667,50.0,16,-5.0,-1.6666666666666667,16,50.0,-5.0
48,3.3333333333333335,50.0,17,10.0,16.666666666666668,17,50.0,50.0
51,16.666666666666668,50.0,18,50.0,3.3333333333333335,18,50.0,10.0
53,5.0,50.0,19,10.0,25.0,19,50.0,50.0
56,16.666666666666668,50.0,20,50.0,3.3333333333333335,20,50.0,10.0
58,-2.5,50.0,21,-5.0,-2.5,21,50.0,-5.0
61,3.3333333333333335,50.0,22,10.0,16.666666666666668,22,50.0,50.0
63,-5.0,50.0,23,-10.0,-5.0,23,50.0,-10.0
65,-2.5,50.0,24,-5.0,-2.5,24,50.0,-5.0
68,3.3333333333333335,50.0,25,10.0,16.666666666666668,25,50.0,50.0
71,-1.6666666666666667,50.0,26,-5.0,-1.6666666666666667,26,50.0,-5.0
73,25.0,50.0,27,50.0,5.0,27,50.0,10.0
76,-1.6666666666666667,50.0,28,-5.0,-1.6666666666666667,28,50.0,-5.0
79,16.666666666666668,50.0,29,50.0,3.3333333333333335,29,50.0,10.0
82,-1.6666666666666667,50.0,30,-5.0,-1.6666666666666667,30,50.0,-5.0
85,3.3333333333333335,50.0,31,10.0,16.666666666666668,31,50.0,50.0
88,-1.6666666666666667,50.0,32,-5.0,-1.6666666666666667,32,50.0,-5.0
91,3.3333333333333335,50.0,33,10.0,16.666666666666668,33,50.0,50.0
94,3.3333333333333335,50.0,34,10.0,16.666666666666668,34,50.0,50.0
96,-2.5,50.0,35,-5.0,-2.5,35,50.0,-5.0
99,3.3333333333333335,50.0,36,10.0,16.666666666666668,36,50.0,50.0
102,3.3333333333333335,50.0,37,10.0,16.666666666666668,37,50.0,50.0
105,16.666666666666668,50.0,38,50.0,3.3333333333333335,38,50.0,10.0
107,25.0,50.0,39,50.0,5.0,39,50.0,10.0
109,25.0,50.0,40,50.0,5.0,40,50.0,10.0
112,16.666666666666668,50.0,41,50.0,3.3333333333333335,41,50.0,10.0
115,3.3333333333333335,50.0,42,10.0,16.666666666666668,42,50.0,50.0
118,16.666666666666668,50.0,43,50.0,3.3333333333333335,43,50.0,10.0
121,3.3333333333333335,50.0,44,10.0,16.666666666666668,44,50.0,50.0
124,3.3333333333333335,50.0,45,10.0,16.666666666666668,45,50.0,50.0
126,-5.0,50.0,46,-10.0,-5.0,46,50.0,-10.0
128,25.0,50.0,47,50.0,5.0,47,50.0,10.0
131,3.3333333333333335,50.0,48,10.0,16.666666666666668,48,50.0,50.0
133,5.0,50.0,49,10.0,25.0,49,50.0,50.0
136,-1.6666666666666667,50.0,50,-5.0,-1.6666666666666667,50,50.0,-5.0
139,16.666666666666668,50.0,51,50.0,3.3333333333333335,51,50.0,10.0
142,3.3333333333333335,50.0,52,10.0,16.666666666666668,52,50.0,50.0
145,16.666666666666668,50.0,53,50.0,3.3333333333333335,53,50.0,10.0
148,16.666666666666668,50.0,54,50.0,3.3333333333333335,54,50.0,10.0
151,3.3333333333333335,50.0,55,10.0,16.666666666666668,55,50.0,50.0
154,3.3333333333333335,50.0,56,10.0,16.666666666666668,56,50.0,50.0
156,25.0,50.0,57,50.0,5.0,57,50.0,10.0
158,-5.0,50.0,58,-10.0,-5.0,58,50.0,-10.0
161,16.666666666666668,50.0,59,50.0,3.3333333333333335,59,50.0,10.0
163,-2.5,50.0,60,-5.0,-2.5,60,50.0,-5.0
166,16.666666666666668,50.0,61,50.0,3.3333333333333335,61,50.0,10.0
169,3.3333333333333335,50.0,62,10.0,16.666666666666668,62,50.0,50.0
171,-5.0,50.0,63,-10.0,-5.0,63,50.0,-10.0
174,16.666666666666668,50.0,64,50.0,3.3333333333333335,64,50.0,10.0
177,3.3333333333333335,50.0,65,10.0,16.666666666666668,65,50.0,50.0
180,16.666666666666668,50.0,66,50.0,3.3333333333333335,66,50.0,10.0
183,16.666666666666668,50.0,67,50.0,3.3333333333333335,67,50.0,10.0
186,3.3333333333333335,50.0,68,10.0,16.666666666666668,68,50.0,50.0
189,-1.6666666666666667,50.0,69,-5.0,-1.6666666666666667,69,50.0,-5.0
192,3.3333333333333335,50.0,70,10.0,16.666666666666668,70,50.0,50.0
