episodes,max-path-return_agent_1,mean-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,episode_reward,max-path-return_agent_0,total-samples
83,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,83,50.0,229
84,50.0,-5.0,-5.0,-10.0,-10.0,84,50.0,231
85,50.0,5.0,25.0,10.0,50.0,85,50.0,233
86,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,86,50.0,236
87,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,87,50.0,239
88,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,88,50.0,242
89,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,89,50.0,245
90,50.0,-2.5,-2.5,-5.0,-5.0,90,50.0,247
91,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,91,50.0,250
92,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,92,50.0,253
93,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,93,50.0,256
94,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,94,50.0,259
95,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,95,50.0,262
96,50.0,-5.0,-5.0,-10.0,-10.0,96,50.0,264
97,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,97,50.0,267
98,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,98,50.0,270
99,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,99,50.0,273
100,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,100,50.0,276
101,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,101,50.0,279
102,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,102,50.0,282
103,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,103,50.0,285
104,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,104,50.0,288
105,50.0,-5.0,-5.0,-10.0,-10.0,105,50.0,290
106,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,106,50.0,293
107,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,107,50.0,296
108,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,108,50.0,299
109,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,109,50.0,302
110,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,110,50.0,305
111,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,111,50.0,308
112,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,112,50.0,311
113,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,113,50.0,314
114,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,114,50.0,317
115,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,115,50.0,320
116,50.0,-5.0,-5.0,-10.0,-10.0,116,50.0,322
117,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,117,50.0,325
118,50.0,-2.5,-2.5,-5.0,-5.0,118,50.0,327
119,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,119,50.0,330
120,50.0,-5.0,-5.0,-10.0,-10.0,120,50.0,332
121,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,121,50.0,335
122,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,122,50.0,338
123,50.0,5.0,25.0,10.0,50.0,123,50.0,340
124,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,124,50.0,343
125,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,125,50.0,346
126,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,126,50.0,349
127,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,127,50.0,352
128,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,128,50.0,355
129,50.0,5.0,25.0,10.0,50.0,129,50.0,357
130,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,130,50.0,360
131,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,131,50.0,363
132,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,132,50.0,366
133,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,133,50.0,369
134,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,134,50.0,372
135,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,135,50.0,375
136,50.0,-2.5,-2.5,-5.0,-5.0,136,50.0,377
137,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,137,50.0,380
138,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,138,50.0,383
139,50.0,-2.5,-2.5,-5.0,-5.0,139,50.0,385
140,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,140,50.0,388
141,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,141,50.0,391
142,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,142,50.0,394
143,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,143,50.0,397
144,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,144,50.0,400
145,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,145,50.0,403
146,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,146,50.0,406
147,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,147,50.0,409
148,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,148,50.0,412
149,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,149,50.0,415
150,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,150,50.0,418
151,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,151,50.0,421
152,50.0,25.0,5.0,50.0,10.0,152,50.0,423
153,50.0,25.0,5.0,50.0,10.0,153,50.0,425
154,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,154,50.0,428
155,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,155,50.0,431
156,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,156,50.0,434
157,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,157,50.0,437
158,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,158,50.0,440
159,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,159,50.0,443
160,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,160,50.0,446
161,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,161,50.0,449
162,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,162,50.0,452
163,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,163,50.0,455
164,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,164,50.0,458
165,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,165,50.0,461
166,50.0,5.0,25.0,10.0,50.0,166,50.0,463
167,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,167,50.0,466
168,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,168,50.0,469
169,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,169,50.0,472
170,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,170,50.0,475
171,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,171,50.0,478
172,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,172,50.0,481
173,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,173,50.0,484
174,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,174,50.0,487
175,50.0,5.0,25.0,10.0,50.0,175,50.0,489
176,50.0,25.0,5.0,50.0,10.0,176,50.0,491
177,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,177,50.0,494
178,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,178,50.0,497
179,50.0,-2.5,-2.5,-5.0,-5.0,179,50.0,499
