total-samples,last-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,episode_reward,episodes,mean-path-return_agent_1,max-path-return_agent_1
240,-5.0,50.0,-1.6666666666666667,-5.0,84,84,-1.6666666666666667,50.0
243,10.0,50.0,3.3333333333333335,50.0,85,85,16.666666666666668,50.0
246,50.0,50.0,16.666666666666668,10.0,86,86,3.3333333333333335,50.0
249,50.0,50.0,16.666666666666668,10.0,87,87,3.3333333333333335,50.0
252,-5.0,50.0,-1.6666666666666667,-5.0,88,88,-1.6666666666666667,50.0
255,50.0,50.0,16.666666666666668,10.0,89,89,3.3333333333333335,50.0
258,10.0,50.0,3.3333333333333335,50.0,90,90,16.666666666666668,50.0
261,50.0,50.0,16.666666666666668,10.0,91,91,3.3333333333333335,50.0
264,50.0,50.0,16.666666666666668,10.0,92,92,3.3333333333333335,50.0
266,-5.0,50.0,-2.5,-5.0,93,93,-2.5,50.0
269,50.0,50.0,16.666666666666668,10.0,94,94,3.3333333333333335,50.0
271,50.0,50.0,25.0,10.0,95,95,5.0,50.0
274,10.0,50.0,3.3333333333333335,50.0,96,96,16.666666666666668,50.0
276,10.0,50.0,5.0,50.0,97,97,25.0,50.0
279,10.0,50.0,3.3333333333333335,50.0,98,98,16.666666666666668,50.0
281,50.0,50.0,25.0,10.0,99,99,5.0,50.0
284,10.0,50.0,3.3333333333333335,50.0,100,100,16.666666666666668,50.0
287,50.0,50.0,16.666666666666668,10.0,101,101,3.3333333333333335,50.0
290,10.0,50.0,3.3333333333333335,50.0,102,102,16.666666666666668,50.0
293,50.0,50.0,16.666666666666668,10.0,103,103,3.3333333333333335,50.0
295,10.0,50.0,5.0,50.0,104,104,25.0,50.0
298,10.0,50.0,3.3333333333333335,50.0,105,105,16.666666666666668,50.0
301,10.0,50.0,3.3333333333333335,50.0,106,106,16.666666666666668,50.0
304,-5.0,50.0,-1.6666666666666667,-5.0,107,107,-1.6666666666666667,50.0
307,50.0,50.0,16.666666666666668,10.0,108,108,3.3333333333333335,50.0
309,50.0,50.0,25.0,10.0,109,109,5.0,50.0
312,10.0,50.0,3.3333333333333335,50.0,110,110,16.666666666666668,50.0
315,10.0,50.0,3.3333333333333335,50.0,111,111,16.666666666666668,50.0
318,10.0,50.0,3.3333333333333335,50.0,112,112,16.666666666666668,50.0
321,10.0,50.0,3.3333333333333335,50.0,113,113,16.666666666666668,50.0
323,-10.0,50.0,-5.0,-10.0,114,114,-5.0,50.0
326,10.0,50.0,3.3333333333333335,50.0,115,115,16.666666666666668,50.0
328,-10.0,50.0,-5.0,-10.0,116,116,-5.0,50.0
331,50.0,50.0,16.666666666666668,10.0,117,117,3.3333333333333335,50.0
333,10.0,50.0,5.0,50.0,118,118,25.0,50.0
336,50.0,50.0,16.666666666666668,10.0,119,119,3.3333333333333335,50.0
339,10.0,50.0,3.3333333333333335,50.0,120,120,16.666666666666668,50.0
342,-5.0,50.0,-1.6666666666666667,-5.0,121,121,-1.6666666666666667,50.0
345,50.0,50.0,16.666666666666668,10.0,122,122,3.3333333333333335,50.0
348,10.0,50.0,3.3333333333333335,50.0,123,123,16.666666666666668,50.0
351,-5.0,50.0,-1.6666666666666667,-5.0,124,124,-1.6666666666666667,50.0
353,10.0,50.0,5.0,50.0,125,125,25.0,50.0
355,-5.0,50.0,-2.5,-5.0,126,126,-2.5,50.0
358,10.0,50.0,3.3333333333333335,50.0,127,127,16.666666666666668,50.0
360,10.0,50.0,5.0,50.0,128,128,25.0,50.0
363,50.0,50.0,16.666666666666668,10.0,129,129,3.3333333333333335,50.0
366,50.0,50.0,16.666666666666668,10.0,130,130,3.3333333333333335,50.0
368,10.0,50.0,5.0,50.0,131,131,25.0,50.0
370,-5.0,50.0,-2.5,-5.0,132,132,-2.5,50.0
373,50.0,50.0,16.666666666666668,10.0,133,133,3.3333333333333335,50.0
376,10.0,50.0,3.3333333333333335,50.0,134,134,16.666666666666668,50.0
379,50.0,50.0,16.666666666666668,10.0,135,135,3.3333333333333335,50.0
382,10.0,50.0,3.3333333333333335,50.0,136,136,16.666666666666668,50.0
385,50.0,50.0,16.666666666666668,10.0,137,137,3.3333333333333335,50.0
387,-10.0,50.0,-5.0,-10.0,138,138,-5.0,50.0
390,10.0,50.0,3.3333333333333335,50.0,139,139,16.666666666666668,50.0
393,10.0,50.0,3.3333333333333335,50.0,140,140,16.666666666666668,50.0
396,10.0,50.0,3.3333333333333335,50.0,141,141,16.666666666666668,50.0
399,-5.0,50.0,-1.6666666666666667,-5.0,142,142,-1.6666666666666667,50.0
402,10.0,50.0,3.3333333333333335,50.0,143,143,16.666666666666668,50.0
405,50.0,50.0,16.666666666666668,10.0,144,144,3.3333333333333335,50.0
408,10.0,50.0,3.3333333333333335,50.0,145,145,16.666666666666668,50.0
410,50.0,50.0,25.0,10.0,146,146,5.0,50.0
413,10.0,50.0,3.3333333333333335,50.0,147,147,16.666666666666668,50.0
416,50.0,50.0,16.666666666666668,10.0,148,148,3.3333333333333335,50.0
419,10.0,50.0,3.3333333333333335,50.0,149,149,16.666666666666668,50.0
421,50.0,50.0,25.0,10.0,150,150,5.0,50.0
424,-5.0,50.0,-1.6666666666666667,-5.0,151,151,-1.6666666666666667,50.0
426,-10.0,50.0,-5.0,-10.0,152,152,-5.0,50.0
428,10.0,50.0,5.0,50.0,153,153,25.0,50.0
431,50.0,50.0,16.666666666666668,10.0,154,154,3.3333333333333335,50.0
434,10.0,50.0,3.3333333333333335,50.0,155,155,16.666666666666668,50.0
437,50.0,50.0,16.666666666666668,10.0,156,156,3.3333333333333335,50.0
440,10.0,50.0,3.3333333333333335,50.0,157,157,16.666666666666668,50.0
443,50.0,50.0,16.666666666666668,10.0,158,158,3.3333333333333335,50.0
446,50.0,50.0,16.666666666666668,10.0,159,159,3.3333333333333335,50.0
449,-5.0,50.0,-1.6666666666666667,-5.0,160,160,-1.6666666666666667,50.0
452,-5.0,50.0,-1.6666666666666667,-5.0,161,161,-1.6666666666666667,50.0
455,50.0,50.0,16.666666666666668,10.0,162,162,3.3333333333333335,50.0
458,-5.0,50.0,-1.6666666666666667,-5.0,163,163,-1.6666666666666667,50.0
461,10.0,50.0,3.3333333333333335,50.0,164,164,16.666666666666668,50.0
464,50.0,50.0,16.666666666666668,10.0,165,165,3.3333333333333335,50.0
467,50.0,50.0,16.666666666666668,10.0,166,166,3.3333333333333335,50.0
470,50.0,50.0,16.666666666666668,10.0,167,167,3.3333333333333335,50.0
473,10.0,50.0,3.3333333333333335,50.0,168,168,16.666666666666668,50.0
476,50.0,50.0,16.666666666666668,10.0,169,169,3.3333333333333335,50.0
479,-5.0,50.0,-1.6666666666666667,-5.0,170,170,-1.6666666666666667,50.0
481,-5.0,50.0,-2.5,-5.0,171,171,-2.5,50.0
484,50.0,50.0,16.666666666666668,10.0,172,172,3.3333333333333335,50.0
487,50.0,50.0,16.666666666666668,10.0,173,173,3.3333333333333335,50.0
490,50.0,50.0,16.666666666666668,10.0,174,174,3.3333333333333335,50.0
493,50.0,50.0,16.666666666666668,10.0,175,175,3.3333333333333335,50.0
496,10.0,50.0,3.3333333333333335,50.0,176,176,16.666666666666668,50.0
499,-5.0,50.0,-1.6666666666666667,-5.0,177,177,-1.6666666666666667,50.0
