total-samples,max-path-return_agent_0,episodes,mean-path-return_agent_0,episode_reward,last-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_1
168,50.0,58,-1.6666666666666667,58,-5.0,-1.6666666666666667,-5.0,50.0
171,50.0,59,-1.6666666666666667,59,-5.0,-1.6666666666666667,-5.0,50.0
174,50.0,60,-1.6666666666666667,60,-5.0,-1.6666666666666667,-5.0,50.0
177,50.0,61,-1.6666666666666667,61,-5.0,-1.6666666666666667,-5.0,50.0
180,50.0,62,-1.6666666666666667,62,-5.0,-1.6666666666666667,-5.0,50.0
183,50.0,63,3.3333333333333335,63,10.0,16.666666666666668,50.0,50.0
186,50.0,64,16.666666666666668,64,50.0,3.3333333333333335,10.0,50.0
189,50.0,65,16.666666666666668,65,50.0,3.3333333333333335,10.0,50.0
192,50.0,66,-1.6666666666666667,66,-5.0,-1.6666666666666667,-5.0,50.0
195,50.0,67,-1.6666666666666667,67,-5.0,-1.6666666666666667,-5.0,50.0
197,50.0,68,-2.5,68,-5.0,-2.5,-5.0,50.0
200,50.0,69,-1.6666666666666667,69,-5.0,-1.6666666666666667,-5.0,50.0
203,50.0,70,-1.6666666666666667,70,-5.0,-1.6666666666666667,-5.0,50.0
206,50.0,71,3.3333333333333335,71,10.0,16.666666666666668,50.0,50.0
209,50.0,72,-1.6666666666666667,72,-5.0,-1.6666666666666667,-5.0,50.0
212,50.0,73,-1.6666666666666667,73,-5.0,-1.6666666666666667,-5.0,50.0
215,50.0,74,16.666666666666668,74,50.0,3.3333333333333335,10.0,50.0
218,50.0,75,-1.6666666666666667,75,-5.0,-1.6666666666666667,-5.0,50.0
221,50.0,76,-1.6666666666666667,76,-5.0,-1.6666666666666667,-5.0,50.0
224,50.0,77,-1.6666666666666667,77,-5.0,-1.6666666666666667,-5.0,50.0
227,50.0,78,-1.6666666666666667,78,-5.0,-1.6666666666666667,-5.0,50.0
230,50.0,79,3.3333333333333335,79,10.0,16.666666666666668,50.0,50.0
233,50.0,80,3.3333333333333335,80,10.0,16.666666666666668,50.0,50.0
236,50.0,81,3.3333333333333335,81,10.0,16.666666666666668,50.0,50.0
238,50.0,82,-2.5,82,-5.0,-2.5,-5.0,50.0
241,50.0,83,-1.6666666666666667,83,-5.0,-1.6666666666666667,-5.0,50.0
244,50.0,84,-1.6666666666666667,84,-5.0,-1.6666666666666667,-5.0,50.0
247,50.0,85,-1.6666666666666667,85,-5.0,-1.6666666666666667,-5.0,50.0
250,50.0,86,-1.6666666666666667,86,-5.0,-1.6666666666666667,-5.0,50.0
253,50.0,87,3.3333333333333335,87,10.0,16.666666666666668,50.0,50.0
256,50.0,88,-1.6666666666666667,88,-5.0,-1.6666666666666667,-5.0,50.0
259,50.0,89,3.3333333333333335,89,10.0,16.666666666666668,50.0,50.0
262,50.0,90,-1.6666666666666667,90,-5.0,-1.6666666666666667,-5.0,50.0
265,50.0,91,-1.6666666666666667,91,-5.0,-1.6666666666666667,-5.0,50.0
268,50.0,92,-1.6666666666666667,92,-5.0,-1.6666666666666667,-5.0,50.0
271,50.0,93,16.666666666666668,93,50.0,3.3333333333333335,10.0,50.0
274,50.0,94,16.666666666666668,94,50.0,3.3333333333333335,10.0,50.0
276,50.0,95,-5.0,95,-10.0,-5.0,-10.0,50.0
279,50.0,96,-1.6666666666666667,96,-5.0,-1.6666666666666667,-5.0,50.0
281,50.0,97,25.0,97,50.0,5.0,10.0,50.0
284,50.0,98,-1.6666666666666667,98,-5.0,-1.6666666666666667,-5.0,50.0
287,50.0,99,3.3333333333333335,99,10.0,16.666666666666668,50.0,50.0
290,50.0,100,16.666666666666668,100,50.0,3.3333333333333335,10.0,50.0
293,50.0,101,-1.6666666666666667,101,-5.0,-1.6666666666666667,-5.0,50.0
296,50.0,102,-1.6666666666666667,102,-5.0,-1.6666666666666667,-5.0,50.0
299,50.0,103,-1.6666666666666667,103,-5.0,-1.6666666666666667,-5.0,50.0
302,50.0,104,-1.6666666666666667,104,-5.0,-1.6666666666666667,-5.0,50.0
305,50.0,105,-1.6666666666666667,105,-5.0,-1.6666666666666667,-5.0,50.0
308,50.0,106,16.666666666666668,106,50.0,3.3333333333333335,10.0,50.0
311,50.0,107,-1.6666666666666667,107,-5.0,-1.6666666666666667,-5.0,50.0
314,50.0,108,-1.6666666666666667,108,-5.0,-1.6666666666666667,-5.0,50.0
317,50.0,109,-1.6666666666666667,109,-5.0,-1.6666666666666667,-5.0,50.0
320,50.0,110,-1.6666666666666667,110,-5.0,-1.6666666666666667,-5.0,50.0
323,50.0,111,-1.6666666666666667,111,-5.0,-1.6666666666666667,-5.0,50.0
326,50.0,112,-1.6666666666666667,112,-5.0,-1.6666666666666667,-5.0,50.0
329,50.0,113,3.3333333333333335,113,10.0,16.666666666666668,50.0,50.0
332,50.0,114,-1.6666666666666667,114,-5.0,-1.6666666666666667,-5.0,50.0
335,50.0,115,-1.6666666666666667,115,-5.0,-1.6666666666666667,-5.0,50.0
338,50.0,116,-1.6666666666666667,116,-5.0,-1.6666666666666667,-5.0,50.0
341,50.0,117,3.3333333333333335,117,10.0,16.666666666666668,50.0,50.0
344,50.0,118,-1.6666666666666667,118,-5.0,-1.6666666666666667,-5.0,50.0
347,50.0,119,16.666666666666668,119,50.0,3.3333333333333335,10.0,50.0
350,50.0,120,-1.6666666666666667,120,-5.0,-1.6666666666666667,-5.0,50.0
353,50.0,121,-1.6666666666666667,121,-5.0,-1.6666666666666667,-5.0,50.0
356,50.0,122,-1.6666666666666667,122,-5.0,-1.6666666666666667,-5.0,50.0
359,50.0,123,-1.6666666666666667,123,-5.0,-1.6666666666666667,-5.0,50.0
362,50.0,124,-1.6666666666666667,124,-5.0,-1.6666666666666667,-5.0,50.0
365,50.0,125,-1.6666666666666667,125,-5.0,-1.6666666666666667,-5.0,50.0
368,50.0,126,-1.6666666666666667,126,-5.0,-1.6666666666666667,-5.0,50.0
371,50.0,127,-1.6666666666666667,127,-5.0,-1.6666666666666667,-5.0,50.0
374,50.0,128,-1.6666666666666667,128,-5.0,-1.6666666666666667,-5.0,50.0
377,50.0,129,16.666666666666668,129,50.0,3.3333333333333335,10.0,50.0
380,50.0,130,-1.6666666666666667,130,-5.0,-1.6666666666666667,-5.0,50.0
383,50.0,131,-1.6666666666666667,131,-5.0,-1.6666666666666667,-5.0,50.0
386,50.0,132,-1.6666666666666667,132,-5.0,-1.6666666666666667,-5.0,50.0
389,50.0,133,-1.6666666666666667,133,-5.0,-1.6666666666666667,-5.0,50.0
392,50.0,134,16.666666666666668,134,50.0,3.3333333333333335,10.0,50.0
395,50.0,135,-1.6666666666666667,135,-5.0,-1.6666666666666667,-5.0,50.0
398,50.0,136,-1.6666666666666667,136,-5.0,-1.6666666666666667,-5.0,50.0
401,50.0,137,-1.6666666666666667,137,-5.0,-1.6666666666666667,-5.0,50.0
404,50.0,138,-1.6666666666666667,138,-5.0,-1.6666666666666667,-5.0,50.0
407,50.0,139,-1.6666666666666667,139,-5.0,-1.6666666666666667,-5.0,50.0
410,50.0,140,-1.6666666666666667,140,-5.0,-1.6666666666666667,-5.0,50.0
412,50.0,141,5.0,141,10.0,25.0,50.0,50.0
415,50.0,142,-1.6666666666666667,142,-5.0,-1.6666666666666667,-5.0,50.0
418,50.0,143,16.666666666666668,143,50.0,3.3333333333333335,10.0,50.0
421,50.0,144,-1.6666666666666667,144,-5.0,-1.6666666666666667,-5.0,50.0
424,50.0,145,16.666666666666668,145,50.0,3.3333333333333335,10.0,50.0
427,50.0,146,-1.6666666666666667,146,-5.0,-1.6666666666666667,-5.0,50.0
430,50.0,147,-1.6666666666666667,147,-5.0,-1.6666666666666667,-5.0,50.0
433,50.0,148,-1.6666666666666667,148,-5.0,-1.6666666666666667,-5.0,50.0
436,50.0,149,16.666666666666668,149,50.0,3.3333333333333335,10.0,50.0
439,50.0,150,16.666666666666668,150,50.0,3.3333333333333335,10.0,50.0
442,50.0,151,-1.6666666666666667,151,-5.0,-1.6666666666666667,-5.0,50.0
445,50.0,152,-1.6666666666666667,152,-5.0,-1.6666666666666667,-5.0,50.0
448,50.0,153,-1.6666666666666667,153,-5.0,-1.6666666666666667,-5.0,50.0
451,50.0,154,16.666666666666668,154,50.0,3.3333333333333335,10.0,50.0
454,50.0,155,-1.6666666666666667,155,-5.0,-1.6666666666666667,-5.0,50.0
457,50.0,156,16.666666666666668,156,50.0,3.3333333333333335,10.0,50.0
460,50.0,157,3.3333333333333335,157,10.0,16.666666666666668,50.0,50.0
463,50.0,158,-1.6666666666666667,158,-5.0,-1.6666666666666667,-5.0,50.0
466,50.0,159,-1.6666666666666667,159,-5.0,-1.6666666666666667,-5.0,50.0
469,50.0,160,-1.6666666666666667,160,-5.0,-1.6666666666666667,-5.0,50.0
472,50.0,161,-1.6666666666666667,161,-5.0,-1.6666666666666667,-5.0,50.0
475,50.0,162,3.3333333333333335,162,10.0,16.666666666666668,50.0,50.0
478,50.0,163,-1.6666666666666667,163,-5.0,-1.6666666666666667,-5.0,50.0
480,50.0,164,-2.5,164,-5.0,-2.5,-5.0,50.0
483,50.0,165,-1.6666666666666667,165,-5.0,-1.6666666666666667,-5.0,50.0
486,50.0,166,-1.6666666666666667,166,-5.0,-1.6666666666666667,-5.0,50.0
489,50.0,167,16.666666666666668,167,50.0,3.3333333333333335,10.0,50.0
492,50.0,168,3.3333333333333335,168,10.0,16.666666666666668,50.0,50.0
495,50.0,169,-1.6666666666666667,169,-5.0,-1.6666666666666667,-5.0,50.0
498,50.0,170,3.3333333333333335,170,10.0,16.666666666666668,50.0,50.0
