mean-episode_cost_agent_1,max-path-return_agent_0,last-path-return_agent_1,episodes,mean-episode_cost_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_0,episode_reward,mean-path-return_agent_1,total-samples
16.666666666666668,50.0,-5.0,56,16.666666666666668,-5.0,50.0,-1.6666666666666667,56,-1.6666666666666667,160
0.0,50.0,50.0,57,0.0,10.0,50.0,3.3333333333333335,57,16.666666666666668,163
0.0,50.0,10.0,58,0.0,50.0,50.0,16.666666666666668,58,3.3333333333333335,166
16.666666666666668,50.0,-5.0,59,16.666666666666668,-5.0,50.0,-1.6666666666666667,59,-1.6666666666666667,169
0.0,50.0,50.0,60,0.0,10.0,50.0,3.3333333333333335,60,16.666666666666668,172
25.0,50.0,-5.0,61,25.0,-5.0,50.0,-2.5,61,-2.5,174
0.0,50.0,10.0,62,0.0,50.0,50.0,16.666666666666668,62,3.3333333333333335,177
16.666666666666668,50.0,-5.0,63,16.666666666666668,-5.0,50.0,-1.6666666666666667,63,-1.6666666666666667,180
0.0,50.0,50.0,64,0.0,10.0,50.0,3.3333333333333335,64,16.666666666666668,183
0.0,50.0,50.0,65,3.3333333333333335,10.0,50.0,3.3333333333333335,65,16.666666666666668,186
0.0,50.0,10.0,66,0.0,50.0,50.0,16.666666666666668,66,3.3333333333333335,189
25.0,50.0,-5.0,67,25.0,-5.0,50.0,-2.5,67,-2.5,191
0.0,50.0,50.0,68,0.0,10.0,50.0,3.3333333333333335,68,16.666666666666668,194
0.0,50.0,10.0,69,0.0,50.0,50.0,16.666666666666668,69,3.3333333333333335,197
6.666666666666667,50.0,10.0,70,0.0,50.0,50.0,16.666666666666668,70,3.3333333333333335,200
0.0,50.0,10.0,71,0.0,50.0,50.0,16.666666666666668,71,3.3333333333333335,203
25.0,50.0,-5.0,72,25.0,-5.0,50.0,-2.5,72,-2.5,205
0.0,50.0,50.0,73,0.0,10.0,50.0,3.3333333333333335,73,16.666666666666668,208
0.0,50.0,50.0,74,0.0,10.0,50.0,3.3333333333333335,74,16.666666666666668,211
0.0,50.0,10.0,75,0.0,50.0,50.0,16.666666666666668,75,3.3333333333333335,214
0.0,50.0,10.0,76,0.0,50.0,50.0,16.666666666666668,76,3.3333333333333335,217
0.0,50.0,50.0,77,0.0,10.0,50.0,3.3333333333333335,77,16.666666666666668,220
0.0,50.0,50.0,78,0.0,10.0,50.0,3.3333333333333335,78,16.666666666666668,223
0.0,50.0,50.0,79,0.0,10.0,50.0,3.3333333333333335,79,16.666666666666668,226
16.666666666666668,50.0,-5.0,80,16.666666666666668,-5.0,50.0,-1.6666666666666667,80,-1.6666666666666667,229
0.0,50.0,50.0,81,0.0,10.0,50.0,3.3333333333333335,81,16.666666666666668,232
3.3333333333333335,50.0,10.0,82,0.0,50.0,50.0,16.666666666666668,82,3.3333333333333335,235
0.0,50.0,50.0,83,0.0,10.0,50.0,3.3333333333333335,83,16.666666666666668,238
16.666666666666668,50.0,-5.0,84,16.666666666666668,-5.0,50.0,-1.6666666666666667,84,-1.6666666666666667,241
3.3333333333333335,50.0,10.0,85,0.0,50.0,50.0,16.666666666666668,85,3.3333333333333335,244
16.666666666666668,50.0,-5.0,86,16.666666666666668,-5.0,50.0,-1.6666666666666667,86,-1.6666666666666667,247
25.0,50.0,-5.0,87,25.0,-5.0,50.0,-2.5,87,-2.5,249
16.666666666666668,50.0,-5.0,88,16.666666666666668,-5.0,50.0,-1.6666666666666667,88,-1.6666666666666667,252
25.0,50.0,-5.0,89,25.0,-5.0,50.0,-2.5,89,-2.5,254
23.333333333333332,50.0,-5.0,90,23.333333333333332,-5.0,50.0,-1.6666666666666667,90,-1.6666666666666667,257
0.0,50.0,50.0,91,0.0,10.0,50.0,5.0,91,25.0,259
0.0,50.0,10.0,92,0.0,50.0,50.0,16.666666666666668,92,3.3333333333333335,262
