total-samples,episode_reward,max-path-return_agent_0,episodes,last-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_1,mean-path-return_agent_0,max-path-return_agent_1
3,1,10.0,1,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
6,2,10.0,2,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
9,3,10.0,3,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
12,4,50.0,4,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
15,5,50.0,5,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
17,6,50.0,6,-5.0,-5.0,-2.5,-2.5,50.0
20,7,50.0,7,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
23,8,50.0,8,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
26,9,50.0,9,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
29,10,50.0,10,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
32,11,50.0,11,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
35,12,50.0,12,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
38,13,50.0,13,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
41,14,50.0,14,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
43,15,50.0,15,10.0,50.0,5.0,25.0,50.0
46,16,50.0,16,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
49,17,50.0,17,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
51,18,50.0,18,50.0,10.0,25.0,5.0,50.0
54,19,50.0,19,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
57,20,50.0,20,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
59,21,50.0,21,-5.0,-5.0,-2.5,-2.5,50.0
62,22,50.0,22,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
64,23,50.0,23,10.0,50.0,5.0,25.0,50.0
67,24,50.0,24,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
70,25,50.0,25,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
72,26,50.0,26,10.0,50.0,5.0,25.0,50.0
75,27,50.0,27,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
77,28,50.0,28,50.0,10.0,25.0,5.0,50.0
80,29,50.0,29,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
83,30,50.0,30,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
86,31,50.0,31,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
89,32,50.0,32,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
91,33,50.0,33,-5.0,-5.0,-2.5,-2.5,50.0
93,34,50.0,34,-10.0,-10.0,-5.0,-5.0,50.0
95,35,50.0,35,50.0,10.0,25.0,5.0,50.0
98,36,50.0,36,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
101,37,50.0,37,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
104,38,50.0,38,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
107,39,50.0,39,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
110,40,50.0,40,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
112,41,50.0,41,-5.0,-5.0,-2.5,-2.5,50.0
114,42,50.0,42,50.0,10.0,25.0,5.0,50.0
117,43,50.0,43,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
120,44,50.0,44,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
123,45,50.0,45,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
126,46,50.0,46,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
129,47,50.0,47,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
