total-samples,episode_reward,max-path-return_agent_0,episodes,last-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_1,mean-path-return_agent_0,max-path-return_agent_1
132,48,50.0,48,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
135,49,50.0,49,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
138,50,50.0,50,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
140,51,50.0,51,-5.0,-5.0,-2.5,-2.5,50.0
143,52,50.0,52,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
146,53,50.0,53,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
149,54,50.0,54,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
152,55,50.0,55,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
155,56,50.0,56,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
157,57,50.0,57,-10.0,-10.0,-5.0,-5.0,50.0
160,58,50.0,58,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
163,59,50.0,59,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
166,60,50.0,60,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
169,61,50.0,61,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
172,62,50.0,62,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
174,63,50.0,63,-10.0,-10.0,-5.0,-5.0,50.0
176,64,50.0,64,50.0,10.0,25.0,5.0,50.0
178,65,50.0,65,-10.0,-10.0,-5.0,-5.0,50.0
181,66,50.0,66,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
184,67,50.0,67,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
187,68,50.0,68,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
190,69,50.0,69,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
193,70,50.0,70,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
196,71,50.0,71,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
199,72,50.0,72,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
202,73,50.0,73,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
205,74,50.0,74,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
208,75,50.0,75,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
211,76,50.0,76,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
214,77,50.0,77,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
217,78,50.0,78,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
220,79,50.0,79,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
222,80,50.0,80,10.0,50.0,5.0,25.0,50.0
225,81,50.0,81,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
228,82,50.0,82,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
231,83,50.0,83,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
234,84,50.0,84,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
237,85,50.0,85,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
240,86,50.0,86,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
243,87,50.0,87,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
245,88,50.0,88,10.0,50.0,5.0,25.0,50.0
248,89,50.0,89,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
251,90,50.0,90,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
254,91,50.0,91,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
257,92,50.0,92,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
260,93,50.0,93,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
263,94,50.0,94,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
266,95,50.0,95,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
268,96,50.0,96,-10.0,-10.0,-5.0,-5.0,50.0
271,97,50.0,97,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
274,98,50.0,98,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
277,99,50.0,99,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
281,100,50.0,100,50.0,10.0,12.5,2.5,50.0
284,101,50.0,101,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
286,102,50.0,102,10.0,50.0,5.0,25.0,50.0
289,103,50.0,103,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
292,104,50.0,104,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
294,105,50.0,105,-5.0,-5.0,-2.5,-2.5,50.0
296,106,50.0,106,-5.0,-5.0,-2.5,-2.5,50.0
298,107,50.0,107,50.0,10.0,25.0,5.0,50.0
301,108,50.0,108,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
304,109,50.0,109,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
306,110,50.0,110,-5.0,-5.0,-2.5,-2.5,50.0
309,111,50.0,111,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
312,112,50.0,112,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
314,113,50.0,113,-10.0,-10.0,-5.0,-5.0,50.0
317,114,50.0,114,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
320,115,50.0,115,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
323,116,50.0,116,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
326,117,50.0,117,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
329,118,50.0,118,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
332,119,50.0,119,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
335,120,50.0,120,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
338,121,50.0,121,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
341,122,50.0,122,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
344,123,50.0,123,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
347,124,50.0,124,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
349,125,50.0,125,50.0,10.0,25.0,5.0,50.0
352,126,50.0,126,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
355,127,50.0,127,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
358,128,50.0,128,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
361,129,50.0,129,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
363,130,50.0,130,-5.0,-5.0,-2.5,-2.5,50.0
366,131,50.0,131,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
368,132,50.0,132,-5.0,-5.0,-2.5,-2.5,50.0
370,133,50.0,133,10.0,50.0,5.0,25.0,50.0
373,134,50.0,134,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
376,135,50.0,135,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
379,136,50.0,136,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
382,137,50.0,137,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
385,138,50.0,138,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
387,139,50.0,139,-10.0,-10.0,-5.0,-5.0,50.0
390,140,50.0,140,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
393,141,50.0,141,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
396,142,50.0,142,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
399,143,50.0,143,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
402,144,50.0,144,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
404,145,50.0,145,-10.0,-10.0,-5.0,-5.0,50.0
407,146,50.0,146,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
410,147,50.0,147,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
413,148,50.0,148,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
415,149,50.0,149,-5.0,-5.0,-2.5,-2.5,50.0
418,150,50.0,150,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
421,151,50.0,151,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
424,152,50.0,152,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
427,153,50.0,153,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
430,154,50.0,154,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
433,155,50.0,155,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
435,156,50.0,156,-5.0,-5.0,-2.5,-2.5,50.0
438,157,50.0,157,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
441,158,50.0,158,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
444,159,50.0,159,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
447,160,50.0,160,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
450,161,50.0,161,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
453,162,50.0,162,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
456,163,50.0,163,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
458,164,50.0,164,-10.0,-10.0,-5.0,-5.0,50.0
461,165,50.0,165,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
464,166,50.0,166,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
466,167,50.0,167,-10.0,-10.0,-5.0,-5.0,50.0
469,168,50.0,168,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
472,169,50.0,169,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
475,170,50.0,170,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
478,171,50.0,171,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
481,172,50.0,172,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
483,173,50.0,173,-10.0,-10.0,-5.0,-5.0,50.0
486,174,50.0,174,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
489,175,50.0,175,50.0,10.0,16.666666666666668,3.3333333333333335,50.0
492,176,50.0,176,10.0,50.0,3.3333333333333335,16.666666666666668,50.0
495,177,50.0,177,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
497,178,50.0,178,-10.0,-10.0,-5.0,-5.0,50.0
500,179,50.0,179,-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50.0
