mean-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,mean-episode_cost_agent_0,total-samples,mean-path-return_agent_0,mean-episode_cost_agent_1,max-path-return_agent_1,episodes,episode_reward,max-path-return_agent_0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,3,-1.6666666666666667,16.666666666666668,-5.0,1,1,-5.0
3.3333333333333335,50.0,10.0,0.0,6,16.666666666666668,0.0,10.0,2,2,50.0
5.0,50.0,10.0,0.0,8,25.0,0.0,10.0,3,3,50.0
5.0,50.0,10.0,0.0,10,25.0,5.0,10.0,4,4,50.0
16.666666666666668,10.0,50.0,3.3333333333333335,13,3.3333333333333335,0.0,50.0,5,5,50.0
3.3333333333333335,50.0,10.0,0.0,16,16.666666666666668,0.0,50.0,6,6,50.0
3.3333333333333335,50.0,10.0,0.0,19,16.666666666666668,0.0,50.0,7,7,50.0
3.3333333333333335,50.0,10.0,0.0,22,16.666666666666668,0.0,50.0,8,8,50.0
16.666666666666668,10.0,50.0,6.666666666666667,25,3.3333333333333335,0.0,50.0,9,9,50.0
3.3333333333333335,50.0,10.0,0.0,28,16.666666666666668,0.0,50.0,10,10,50.0
3.3333333333333335,50.0,10.0,0.0,31,16.666666666666668,0.0,50.0,11,11,50.0
3.3333333333333335,50.0,10.0,0.0,34,16.666666666666668,0.0,50.0,12,12,50.0
3.3333333333333335,50.0,10.0,0.0,37,16.666666666666668,0.0,50.0,13,13,50.0
-2.5,-5.0,-5.0,25.0,39,-2.5,25.0,50.0,14,14,50.0
16.666666666666668,10.0,50.0,0.0,42,3.3333333333333335,0.0,50.0,15,15,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,45,-1.6666666666666667,16.666666666666668,50.0,16,16,50.0
-2.5,-5.0,-5.0,25.0,47,-2.5,25.0,50.0,17,17,50.0
16.666666666666668,10.0,50.0,0.0,50,3.3333333333333335,0.0,50.0,18,18,50.0
3.3333333333333335,50.0,10.0,0.0,53,16.666666666666668,0.0,50.0,19,19,50.0
-5.0,-10.0,-10.0,25.0,55,-5.0,25.0,50.0,20,20,50.0
16.666666666666668,10.0,50.0,6.666666666666667,58,3.3333333333333335,0.0,50.0,21,21,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,61,-1.6666666666666667,16.666666666666668,50.0,22,22,50.0
25.0,10.0,50.0,0.0,63,5.0,0.0,50.0,23,23,50.0
3.3333333333333335,50.0,10.0,0.0,66,16.666666666666668,0.0,50.0,24,24,50.0
16.666666666666668,10.0,50.0,0.0,69,3.3333333333333335,0.0,50.0,25,25,50.0
16.666666666666668,10.0,50.0,0.0,72,3.3333333333333335,0.0,50.0,26,26,50.0
-2.5,-5.0,-5.0,25.0,74,-2.5,25.0,50.0,27,27,50.0
-5.0,-10.0,-10.0,25.0,76,-5.0,25.0,50.0,28,28,50.0
16.666666666666668,10.0,50.0,0.0,79,3.3333333333333335,0.0,50.0,29,29,50.0
16.666666666666668,10.0,50.0,0.0,82,3.3333333333333335,0.0,50.0,30,30,50.0
-2.5,-5.0,-5.0,25.0,84,-2.5,25.0,50.0,31,31,50.0
16.666666666666668,10.0,50.0,3.3333333333333335,87,3.3333333333333335,0.0,50.0,32,32,50.0
3.3333333333333335,50.0,10.0,0.0,90,16.666666666666668,6.666666666666667,50.0,33,33,50.0
3.3333333333333335,50.0,10.0,0.0,93,16.666666666666668,0.0,50.0,34,34,50.0
16.666666666666668,10.0,50.0,0.0,96,3.3333333333333335,0.0,50.0,35,35,50.0
-5.0,-10.0,-10.0,25.0,98,-5.0,25.0,50.0,36,36,50.0
-5.0,-10.0,-10.0,25.0,100,-5.0,25.0,50.0,37,37,50.0
16.666666666666668,10.0,50.0,0.0,103,3.3333333333333335,3.3333333333333335,50.0,38,38,50.0
16.666666666666668,10.0,50.0,0.0,106,3.3333333333333335,0.0,50.0,39,39,50.0
3.3333333333333335,50.0,10.0,0.0,109,16.666666666666668,0.0,50.0,40,40,50.0
3.3333333333333335,50.0,10.0,0.0,112,16.666666666666668,0.0,50.0,41,41,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,115,-1.6666666666666667,16.666666666666668,50.0,42,42,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,118,-1.6666666666666667,16.666666666666668,50.0,43,43,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,121,-1.6666666666666667,16.666666666666668,50.0,44,44,50.0
-1.6666666666666667,-5.0,-5.0,20.0,124,-1.6666666666666667,20.0,50.0,45,45,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,127,-1.6666666666666667,16.666666666666668,50.0,46,46,50.0
16.666666666666668,10.0,50.0,0.0,130,3.3333333333333335,0.0,50.0,47,47,50.0
3.3333333333333335,50.0,10.0,0.0,133,16.666666666666668,0.0,50.0,48,48,50.0
3.3333333333333335,50.0,10.0,0.0,136,16.666666666666668,0.0,50.0,49,49,50.0
3.3333333333333335,50.0,10.0,0.0,139,16.666666666666668,0.0,50.0,50,50,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,142,-1.6666666666666667,16.666666666666668,50.0,51,51,50.0
-1.6666666666666667,-5.0,-5.0,16.666666666666668,145,-1.6666666666666667,16.666666666666668,50.0,52,52,50.0
3.3333333333333335,50.0,10.0,0.0,148,16.666666666666668,0.0,50.0,53,53,50.0
3.3333333333333335,50.0,10.0,0.0,151,16.666666666666668,0.0,50.0,54,54,50.0
-1.6666666666666667,-5.0,-5.0,20.0,154,-1.6666666666666667,20.0,50.0,55,55,50.0
