episode_reward,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_0,episodes,max-path-return_agent_1
82,50.0,-5.0,228,-1.6666666666666667,-5.0,-1.6666666666666667,82,50.0
83,50.0,50.0,231,3.3333333333333335,10.0,16.666666666666668,83,50.0
84,50.0,-10.0,233,-5.0,-10.0,-5.0,84,50.0
85,50.0,-5.0,235,-2.5,-5.0,-2.5,85,50.0
86,50.0,50.0,238,3.3333333333333335,10.0,16.666666666666668,86,50.0
87,50.0,50.0,241,3.3333333333333335,10.0,16.666666666666668,87,50.0
88,50.0,50.0,244,3.3333333333333335,10.0,16.666666666666668,88,50.0
89,50.0,-10.0,246,-5.0,-10.0,-5.0,89,50.0
90,50.0,10.0,249,16.666666666666668,50.0,3.3333333333333335,90,50.0
91,50.0,-5.0,252,-1.6666666666666667,-5.0,-1.6666666666666667,91,50.0
92,50.0,50.0,255,3.3333333333333335,10.0,16.666666666666668,92,50.0
93,50.0,10.0,258,16.666666666666668,50.0,3.3333333333333335,93,50.0
94,50.0,10.0,261,16.666666666666668,50.0,3.3333333333333335,94,50.0
95,50.0,10.0,264,16.666666666666668,50.0,3.3333333333333335,95,50.0
96,50.0,10.0,267,16.666666666666668,50.0,3.3333333333333335,96,50.0
97,50.0,10.0,270,16.666666666666668,50.0,3.3333333333333335,97,50.0
98,50.0,-5.0,273,-1.6666666666666667,-5.0,-1.6666666666666667,98,50.0
99,50.0,50.0,276,3.3333333333333335,10.0,16.666666666666668,99,50.0
100,50.0,-5.0,278,-2.5,-5.0,-2.5,100,50.0
101,50.0,50.0,281,3.3333333333333335,10.0,16.666666666666668,101,50.0
102,50.0,10.0,284,16.666666666666668,50.0,3.3333333333333335,102,50.0
103,50.0,10.0,287,16.666666666666668,50.0,3.3333333333333335,103,50.0
104,50.0,10.0,289,25.0,50.0,5.0,104,50.0
105,50.0,50.0,292,3.3333333333333335,10.0,16.666666666666668,105,50.0
106,50.0,50.0,295,3.3333333333333335,10.0,16.666666666666668,106,50.0
107,50.0,50.0,298,3.3333333333333335,10.0,16.666666666666668,107,50.0
108,50.0,-5.0,300,-2.5,-5.0,-2.5,108,50.0
109,50.0,50.0,303,3.3333333333333335,10.0,16.666666666666668,109,50.0
110,50.0,10.0,306,16.666666666666668,50.0,3.3333333333333335,110,50.0
111,50.0,10.0,309,16.666666666666668,50.0,3.3333333333333335,111,50.0
112,50.0,10.0,312,16.666666666666668,50.0,3.3333333333333335,112,50.0
113,50.0,10.0,315,16.666666666666668,50.0,3.3333333333333335,113,50.0
114,50.0,50.0,318,3.3333333333333335,10.0,16.666666666666668,114,50.0
115,50.0,50.0,321,3.3333333333333335,10.0,16.666666666666668,115,50.0
116,50.0,10.0,324,16.666666666666668,50.0,3.3333333333333335,116,50.0
117,50.0,-5.0,327,-1.6666666666666667,-5.0,-1.6666666666666667,117,50.0
118,50.0,10.0,329,25.0,50.0,5.0,118,50.0
119,50.0,50.0,332,3.3333333333333335,10.0,16.666666666666668,119,50.0
120,50.0,50.0,335,3.3333333333333335,10.0,16.666666666666668,120,50.0
121,50.0,-5.0,338,-1.6666666666666667,-5.0,-1.6666666666666667,121,50.0
122,50.0,50.0,340,5.0,10.0,25.0,122,50.0
123,50.0,-5.0,343,-1.6666666666666667,-5.0,-1.6666666666666667,123,50.0
124,50.0,-5.0,345,-2.5,-5.0,-2.5,124,50.0
125,50.0,-10.0,347,-5.0,-10.0,-5.0,125,50.0
126,50.0,50.0,350,3.3333333333333335,10.0,16.666666666666668,126,50.0
127,50.0,50.0,353,3.3333333333333335,10.0,16.666666666666668,127,50.0
128,50.0,-5.0,356,-1.6666666666666667,-5.0,-1.6666666666666667,128,50.0
129,50.0,50.0,359,3.3333333333333335,10.0,16.666666666666668,129,50.0
130,50.0,-10.0,361,-5.0,-10.0,-5.0,130,50.0
131,50.0,-5.0,363,-2.5,-5.0,-2.5,131,50.0
132,50.0,-5.0,365,-2.5,-5.0,-2.5,132,50.0
133,50.0,50.0,368,3.3333333333333335,10.0,16.666666666666668,133,50.0
134,50.0,50.0,371,3.3333333333333335,10.0,16.666666666666668,134,50.0
135,50.0,50.0,374,3.3333333333333335,10.0,16.666666666666668,135,50.0
136,50.0,-10.0,376,-5.0,-10.0,-5.0,136,50.0
137,50.0,10.0,379,16.666666666666668,50.0,3.3333333333333335,137,50.0
138,50.0,50.0,382,3.3333333333333335,10.0,16.666666666666668,138,50.0
139,50.0,50.0,386,2.5,10.0,12.5,139,50.0
140,50.0,50.0,389,3.3333333333333335,10.0,16.666666666666668,140,50.0
141,50.0,10.0,392,16.666666666666668,50.0,3.3333333333333335,141,50.0
142,50.0,10.0,395,16.666666666666668,50.0,3.3333333333333335,142,50.0
143,50.0,50.0,398,3.3333333333333335,10.0,16.666666666666668,143,50.0
144,50.0,-5.0,401,-1.6666666666666667,-5.0,-1.6666666666666667,144,50.0
145,50.0,50.0,404,3.3333333333333335,10.0,16.666666666666668,145,50.0
146,50.0,10.0,407,16.666666666666668,50.0,3.3333333333333335,146,50.0
147,50.0,50.0,410,3.3333333333333335,10.0,16.666666666666668,147,50.0
148,50.0,50.0,413,3.3333333333333335,10.0,16.666666666666668,148,50.0
149,50.0,-5.0,415,-2.5,-5.0,-2.5,149,50.0
150,50.0,10.0,418,16.666666666666668,50.0,3.3333333333333335,150,50.0
151,50.0,50.0,421,3.3333333333333335,10.0,16.666666666666668,151,50.0
152,50.0,-5.0,424,-1.6666666666666667,-5.0,-1.6666666666666667,152,50.0
153,50.0,-5.0,426,-2.5,-5.0,-2.5,153,50.0
154,50.0,-10.0,428,-5.0,-10.0,-5.0,154,50.0
155,50.0,10.0,431,16.666666666666668,50.0,3.3333333333333335,155,50.0
156,50.0,-5.0,434,-1.6666666666666667,-5.0,-1.6666666666666667,156,50.0
157,50.0,50.0,437,3.3333333333333335,10.0,16.666666666666668,157,50.0
158,50.0,50.0,440,3.3333333333333335,10.0,16.666666666666668,158,50.0
159,50.0,10.0,443,16.666666666666668,50.0,3.3333333333333335,159,50.0
160,50.0,50.0,446,3.3333333333333335,10.0,16.666666666666668,160,50.0
161,50.0,10.0,449,16.666666666666668,50.0,3.3333333333333335,161,50.0
162,50.0,10.0,452,16.666666666666668,50.0,3.3333333333333335,162,50.0
163,50.0,10.0,455,16.666666666666668,50.0,3.3333333333333335,163,50.0
164,50.0,-5.0,458,-1.6666666666666667,-5.0,-1.6666666666666667,164,50.0
165,50.0,10.0,461,16.666666666666668,50.0,3.3333333333333335,165,50.0
166,50.0,10.0,464,16.666666666666668,50.0,3.3333333333333335,166,50.0
167,50.0,50.0,467,3.3333333333333335,10.0,16.666666666666668,167,50.0
168,50.0,50.0,470,3.3333333333333335,10.0,16.666666666666668,168,50.0
169,50.0,-10.0,472,-5.0,-10.0,-5.0,169,50.0
170,50.0,-5.0,475,-1.6666666666666667,-5.0,-1.6666666666666667,170,50.0
171,50.0,10.0,478,16.666666666666668,50.0,3.3333333333333335,171,50.0
172,50.0,-5.0,481,-1.6666666666666667,-5.0,-1.6666666666666667,172,50.0
173,50.0,10.0,484,16.666666666666668,50.0,3.3333333333333335,173,50.0
174,50.0,50.0,487,3.3333333333333335,10.0,16.666666666666668,174,50.0
175,50.0,-5.0,490,-1.6666666666666667,-5.0,-1.6666666666666667,175,50.0
176,50.0,50.0,493,3.3333333333333335,10.0,16.666666666666668,176,50.0
177,50.0,10.0,496,16.666666666666668,50.0,3.3333333333333335,177,50.0
178,50.0,10.0,499,16.666666666666668,50.0,3.3333333333333335,178,50.0
179,50.0,-5.0,502,-1.6666666666666667,-5.0,-1.6666666666666667,179,50.0
