mean-path-return_agent_1,mean-episode_cost_agent_0,episodes,last-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_0,episode_reward,total-samples,max-path-return_agent_1,mean-episode_cost_agent_1,mean-path-return_agent_0
16.666666666666668,0.0,1,10.0,50.0,10.0,1,3,50.0,0.0,3.3333333333333335
3.3333333333333335,0.0,2,50.0,10.0,50.0,2,6,50.0,0.0,16.666666666666668
-1.6666666666666667,16.666666666666668,3,-5.0,-5.0,50.0,3,9,50.0,16.666666666666668,-1.6666666666666667
-1.6666666666666667,16.666666666666668,4,-5.0,-5.0,50.0,4,12,50.0,16.666666666666668,-1.6666666666666667
3.3333333333333335,0.0,5,50.0,10.0,50.0,5,15,50.0,3.3333333333333335,16.666666666666668
3.3333333333333335,0.0,6,50.0,10.0,50.0,6,18,50.0,0.0,16.666666666666668
5.0,0.0,7,50.0,10.0,50.0,7,20,50.0,0.0,25.0
-1.6666666666666667,16.666666666666668,8,-5.0,-5.0,50.0,8,23,50.0,16.666666666666668,-1.6666666666666667
16.666666666666668,3.3333333333333335,9,10.0,50.0,50.0,9,26,50.0,0.0,3.3333333333333335
16.666666666666668,3.3333333333333335,10,10.0,50.0,50.0,10,29,50.0,0.0,3.3333333333333335
16.666666666666668,0.0,11,10.0,50.0,50.0,11,32,50.0,0.0,3.3333333333333335
3.3333333333333335,0.0,12,50.0,10.0,50.0,12,35,50.0,0.0,16.666666666666668
5.0,0.0,13,50.0,10.0,50.0,13,37,50.0,0.0,25.0
-5.0,25.0,14,-10.0,-10.0,50.0,14,39,50.0,25.0,-5.0
3.3333333333333335,0.0,15,50.0,10.0,50.0,15,42,50.0,0.0,16.666666666666668
-5.0,25.0,16,-10.0,-10.0,50.0,16,44,50.0,25.0,-5.0
-1.6666666666666667,16.666666666666668,17,-5.0,-5.0,50.0,17,47,50.0,16.666666666666668,-1.6666666666666667
-2.5,25.0,18,-5.0,-5.0,50.0,18,49,50.0,25.0,-2.5
3.3333333333333335,0.0,19,50.0,10.0,50.0,19,52,50.0,0.0,16.666666666666668
-2.5,25.0,20,-5.0,-5.0,50.0,20,54,50.0,25.0,-2.5
16.666666666666668,6.666666666666667,21,10.0,50.0,50.0,21,57,50.0,0.0,3.3333333333333335
16.666666666666668,0.0,22,10.0,50.0,50.0,22,60,50.0,0.0,3.3333333333333335
16.666666666666668,0.0,23,10.0,50.0,50.0,23,63,50.0,0.0,3.3333333333333335
16.666666666666668,0.0,24,10.0,50.0,50.0,24,66,50.0,0.0,3.3333333333333335
-1.6666666666666667,16.666666666666668,25,-5.0,-5.0,50.0,25,69,50.0,16.666666666666668,-1.6666666666666667
5.0,0.0,26,50.0,10.0,50.0,26,71,50.0,0.0,25.0
2.5,0.0,27,50.0,10.0,50.0,27,75,50.0,7.5,12.5
25.0,0.0,28,10.0,50.0,50.0,28,77,50.0,0.0,5.0
3.3333333333333335,0.0,29,50.0,10.0,50.0,29,80,50.0,0.0,16.666666666666668
16.666666666666668,0.0,30,10.0,50.0,50.0,30,83,50.0,0.0,3.3333333333333335
16.666666666666668,0.0,31,10.0,50.0,50.0,31,86,50.0,0.0,3.3333333333333335
16.666666666666668,0.0,32,10.0,50.0,50.0,32,89,50.0,0.0,3.3333333333333335
-1.6666666666666667,16.666666666666668,33,-5.0,-5.0,50.0,33,92,50.0,16.666666666666668,-1.6666666666666667
3.3333333333333335,0.0,34,50.0,10.0,50.0,34,95,50.0,0.0,16.666666666666668
-5.0,25.0,35,-10.0,-10.0,50.0,35,97,50.0,25.0,-5.0
16.666666666666668,0.0,36,10.0,50.0,50.0,36,100,50.0,0.0,3.3333333333333335
-1.6666666666666667,20.0,37,-5.0,-5.0,50.0,37,103,50.0,20.0,-1.6666666666666667
3.3333333333333335,0.0,38,50.0,10.0,50.0,38,106,50.0,0.0,16.666666666666668
3.3333333333333335,0.0,39,50.0,10.0,50.0,39,109,50.0,0.0,16.666666666666668
-1.6666666666666667,16.666666666666668,40,-5.0,-5.0,50.0,40,112,50.0,16.666666666666668,-1.6666666666666667
16.666666666666668,0.0,41,10.0,50.0,50.0,41,115,50.0,0.0,3.3333333333333335
3.3333333333333335,0.0,42,50.0,10.0,50.0,42,118,50.0,0.0,16.666666666666668
-1.6666666666666667,16.666666666666668,43,-5.0,-5.0,50.0,43,121,50.0,16.666666666666668,-1.6666666666666667
3.3333333333333335,0.0,44,50.0,10.0,50.0,44,124,50.0,0.0,16.666666666666668
3.3333333333333335,0.0,45,50.0,10.0,50.0,45,127,50.0,0.0,16.666666666666668
16.666666666666668,0.0,46,10.0,50.0,50.0,46,130,50.0,0.0,3.3333333333333335
3.3333333333333335,0.0,47,50.0,10.0,50.0,47,133,50.0,0.0,16.666666666666668
-1.6666666666666667,20.0,48,-5.0,-5.0,50.0,48,136,50.0,20.0,-1.6666666666666667
3.3333333333333335,0.0,49,50.0,10.0,50.0,49,139,50.0,0.0,16.666666666666668
3.3333333333333335,0.0,50,50.0,10.0,50.0,50,142,50.0,6.666666666666667,16.666666666666668
3.3333333333333335,0.0,51,50.0,10.0,50.0,51,145,50.0,0.0,16.666666666666668
16.666666666666668,0.0,52,10.0,50.0,50.0,52,148,50.0,0.0,3.3333333333333335
16.666666666666668,6.666666666666667,53,10.0,50.0,50.0,53,151,50.0,0.0,3.3333333333333335
-1.6666666666666667,16.666666666666668,54,-5.0,-5.0,50.0,54,154,50.0,16.666666666666668,-1.6666666666666667
-2.5,25.0,55,-5.0,-5.0,50.0,55,156,50.0,25.0,-2.5
