mean-episode_cost_agent_0,last-path-return_agent_1,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-episode_cost_agent_1,mean-path-return_agent_1,episode_reward,max-path-return_agent_1,episodes,mean-path-return_agent_0
0.0,10.0,50.0,50.0,161,0.0,3.3333333333333335,57,50.0,57,16.666666666666668
0.0,50.0,50.0,10.0,164,0.0,16.666666666666668,58,50.0,58,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,167,0.0,16.666666666666668,59,50.0,59,3.3333333333333335
25.0,-5.0,50.0,-5.0,169,25.0,-2.5,60,50.0,60,-2.5
25.0,-10.0,50.0,-10.0,171,25.0,-5.0,61,50.0,61,-5.0
0.0,50.0,50.0,10.0,174,0.0,16.666666666666668,62,50.0,62,3.3333333333333335
0.0,10.0,50.0,50.0,177,0.0,3.3333333333333335,63,50.0,63,16.666666666666668
0.0,50.0,50.0,10.0,180,0.0,16.666666666666668,64,50.0,64,3.3333333333333335
0.0,10.0,50.0,50.0,183,0.0,3.3333333333333335,65,50.0,65,16.666666666666668
0.0,10.0,50.0,50.0,186,3.3333333333333335,3.3333333333333335,66,50.0,66,16.666666666666668
0.0,50.0,50.0,10.0,189,0.0,16.666666666666668,67,50.0,67,3.3333333333333335
25.0,-5.0,50.0,-5.0,191,25.0,-2.5,68,50.0,68,-2.5
16.666666666666668,-5.0,50.0,-5.0,194,16.666666666666668,-1.6666666666666667,69,50.0,69,-1.6666666666666667
16.666666666666668,-5.0,50.0,-5.0,197,16.666666666666668,-1.6666666666666667,70,50.0,70,-1.6666666666666667
0.0,50.0,50.0,10.0,200,0.0,16.666666666666668,71,50.0,71,3.3333333333333335
0.0,10.0,50.0,50.0,203,6.666666666666667,3.3333333333333335,72,50.0,72,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,206,16.666666666666668,-1.6666666666666667,73,50.0,73,-1.6666666666666667
0.0,10.0,50.0,50.0,209,6.666666666666667,3.3333333333333335,74,50.0,74,16.666666666666668
0.0,50.0,50.0,10.0,212,0.0,16.666666666666668,75,50.0,75,3.3333333333333335
0.0,50.0,50.0,10.0,215,0.0,16.666666666666668,76,50.0,76,3.3333333333333335
0.0,50.0,50.0,10.0,218,0.0,16.666666666666668,77,50.0,77,3.3333333333333335
16.666666666666668,-5.0,50.0,-5.0,221,16.666666666666668,-1.6666666666666667,78,50.0,78,-1.6666666666666667
0.0,50.0,50.0,10.0,224,0.0,16.666666666666668,79,50.0,79,3.3333333333333335
25.0,-5.0,50.0,-5.0,226,25.0,-2.5,80,50.0,80,-2.5
0.0,50.0,50.0,10.0,229,0.0,16.666666666666668,81,50.0,81,3.3333333333333335
25.0,-10.0,50.0,-10.0,231,25.0,-5.0,82,50.0,82,-5.0
0.0,50.0,50.0,10.0,234,0.0,16.666666666666668,83,50.0,83,3.3333333333333335
0.0,50.0,50.0,10.0,237,0.0,16.666666666666668,84,50.0,84,3.3333333333333335
25.0,-10.0,50.0,-10.0,239,25.0,-5.0,85,50.0,85,-5.0
20.0,-5.0,50.0,-5.0,242,20.0,-1.6666666666666667,86,50.0,86,-1.6666666666666667
16.666666666666668,-5.0,50.0,-5.0,245,16.666666666666668,-1.6666666666666667,87,50.0,87,-1.6666666666666667
16.666666666666668,-5.0,50.0,-5.0,248,16.666666666666668,-1.6666666666666667,88,50.0,88,-1.6666666666666667
0.0,50.0,50.0,10.0,251,0.0,16.666666666666668,89,50.0,89,3.3333333333333335
0.0,50.0,50.0,10.0,254,0.0,16.666666666666668,90,50.0,90,3.3333333333333335
0.0,10.0,50.0,50.0,257,0.0,3.3333333333333335,91,50.0,91,16.666666666666668
0.0,50.0,50.0,10.0,260,0.0,16.666666666666668,92,50.0,92,3.3333333333333335
0.0,50.0,50.0,10.0,263,0.0,16.666666666666668,93,50.0,93,3.3333333333333335
25.0,-10.0,50.0,-10.0,265,25.0,-5.0,94,50.0,94,-5.0
3.3333333333333335,50.0,50.0,10.0,268,0.0,16.666666666666668,95,50.0,95,3.3333333333333335
25.0,-10.0,50.0,-10.0,270,25.0,-5.0,96,50.0,96,-5.0
0.0,10.0,50.0,50.0,273,0.0,3.3333333333333335,97,50.0,97,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,276,16.666666666666668,-1.6666666666666667,98,50.0,98,-1.6666666666666667
0.0,10.0,50.0,50.0,279,0.0,3.3333333333333335,99,50.0,99,16.666666666666668
0.0,10.0,50.0,50.0,282,0.0,3.3333333333333335,100,50.0,100,16.666666666666668
0.0,10.0,50.0,50.0,285,0.0,3.3333333333333335,101,50.0,101,16.666666666666668
0.0,10.0,50.0,50.0,288,0.0,3.3333333333333335,102,50.0,102,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,291,16.666666666666668,-1.6666666666666667,103,50.0,103,-1.6666666666666667
0.0,50.0,50.0,10.0,294,0.0,16.666666666666668,104,50.0,104,3.3333333333333335
0.0,50.0,50.0,10.0,297,0.0,16.666666666666668,105,50.0,105,3.3333333333333335
