max-path-return_agent_1,episode_reward,total-samples,last-path-return_agent_1,mean-path-return_agent_0,last-path-return_agent_0,episodes,max-path-return_agent_0,mean-path-return_agent_1
50.0,74,208,-5.0,-2.5,-5.0,74,50.0,-2.5
50.0,75,211,10.0,16.666666666666668,50.0,75,50.0,3.3333333333333335
50.0,76,213,10.0,25.0,50.0,76,50.0,5.0
50.0,77,216,-5.0,-1.6666666666666667,-5.0,77,50.0,-1.6666666666666667
50.0,78,219,50.0,3.3333333333333335,10.0,78,50.0,16.666666666666668
50.0,79,222,-5.0,-1.6666666666666667,-5.0,79,50.0,-1.6666666666666667
50.0,80,225,50.0,3.3333333333333335,10.0,80,50.0,16.666666666666668
50.0,81,228,10.0,16.666666666666668,50.0,81,50.0,3.3333333333333335
50.0,82,230,10.0,25.0,50.0,82,50.0,5.0
50.0,83,233,10.0,16.666666666666668,50.0,83,50.0,3.3333333333333335
50.0,84,236,-5.0,-1.6666666666666667,-5.0,84,50.0,-1.6666666666666667
50.0,85,239,50.0,3.3333333333333335,10.0,85,50.0,16.666666666666668
50.0,86,242,10.0,16.666666666666668,50.0,86,50.0,3.3333333333333335
50.0,87,245,10.0,16.666666666666668,50.0,87,50.0,3.3333333333333335
50.0,88,248,50.0,3.3333333333333335,10.0,88,50.0,16.666666666666668
50.0,89,251,10.0,16.666666666666668,50.0,89,50.0,3.3333333333333335
50.0,90,254,10.0,16.666666666666668,50.0,90,50.0,3.3333333333333335
50.0,91,257,50.0,3.3333333333333335,10.0,91,50.0,16.666666666666668
50.0,92,260,50.0,3.3333333333333335,10.0,92,50.0,16.666666666666668
50.0,93,262,-5.0,-2.5,-5.0,93,50.0,-2.5
50.0,94,265,10.0,16.666666666666668,50.0,94,50.0,3.3333333333333335
50.0,95,268,10.0,16.666666666666668,50.0,95,50.0,3.3333333333333335
50.0,96,271,50.0,3.3333333333333335,10.0,96,50.0,16.666666666666668
50.0,97,274,-5.0,-1.6666666666666667,-5.0,97,50.0,-1.6666666666666667
50.0,98,277,10.0,16.666666666666668,50.0,98,50.0,3.3333333333333335
50.0,99,280,-5.0,-1.6666666666666667,-5.0,99,50.0,-1.6666666666666667
50.0,100,283,10.0,16.666666666666668,50.0,100,50.0,3.3333333333333335
50.0,101,286,10.0,16.666666666666668,50.0,101,50.0,3.3333333333333335
50.0,102,289,10.0,16.666666666666668,50.0,102,50.0,3.3333333333333335
50.0,103,292,-5.0,-1.6666666666666667,-5.0,103,50.0,-1.6666666666666667
50.0,104,295,50.0,3.3333333333333335,10.0,104,50.0,16.666666666666668
50.0,105,298,50.0,3.3333333333333335,10.0,105,50.0,16.666666666666668
50.0,106,301,10.0,16.666666666666668,50.0,106,50.0,3.3333333333333335
50.0,107,304,10.0,16.666666666666668,50.0,107,50.0,3.3333333333333335
50.0,108,307,10.0,16.666666666666668,50.0,108,50.0,3.3333333333333335
50.0,109,310,-5.0,-1.6666666666666667,-5.0,109,50.0,-1.6666666666666667
50.0,110,313,10.0,16.666666666666668,50.0,110,50.0,3.3333333333333335
50.0,111,316,10.0,16.666666666666668,50.0,111,50.0,3.3333333333333335
50.0,112,319,10.0,16.666666666666668,50.0,112,50.0,3.3333333333333335
50.0,113,322,10.0,16.666666666666668,50.0,113,50.0,3.3333333333333335
50.0,114,325,10.0,16.666666666666668,50.0,114,50.0,3.3333333333333335
50.0,115,327,-5.0,-2.5,-5.0,115,50.0,-2.5
50.0,116,330,10.0,16.666666666666668,50.0,116,50.0,3.3333333333333335
50.0,117,333,10.0,16.666666666666668,50.0,117,50.0,3.3333333333333335
50.0,118,336,10.0,16.666666666666668,50.0,118,50.0,3.3333333333333335
50.0,119,339,10.0,16.666666666666668,50.0,119,50.0,3.3333333333333335
50.0,120,342,10.0,16.666666666666668,50.0,120,50.0,3.3333333333333335
50.0,121,345,10.0,16.666666666666668,50.0,121,50.0,3.3333333333333335
50.0,122,348,10.0,16.666666666666668,50.0,122,50.0,3.3333333333333335
50.0,123,351,10.0,16.666666666666668,50.0,123,50.0,3.3333333333333335
50.0,124,354,10.0,16.666666666666668,50.0,124,50.0,3.3333333333333335
50.0,125,356,-5.0,-2.5,-5.0,125,50.0,-2.5
50.0,126,359,10.0,16.666666666666668,50.0,126,50.0,3.3333333333333335
50.0,127,362,10.0,16.666666666666668,50.0,127,50.0,3.3333333333333335
50.0,128,365,10.0,16.666666666666668,50.0,128,50.0,3.3333333333333335
50.0,129,368,10.0,16.666666666666668,50.0,129,50.0,3.3333333333333335
50.0,130,371,10.0,16.666666666666668,50.0,130,50.0,3.3333333333333335
50.0,131,374,10.0,16.666666666666668,50.0,131,50.0,3.3333333333333335
50.0,132,377,10.0,16.666666666666668,50.0,132,50.0,3.3333333333333335
50.0,133,380,10.0,16.666666666666668,50.0,133,50.0,3.3333333333333335
50.0,134,383,10.0,16.666666666666668,50.0,134,50.0,3.3333333333333335
50.0,135,386,10.0,16.666666666666668,50.0,135,50.0,3.3333333333333335
50.0,136,389,10.0,16.666666666666668,50.0,136,50.0,3.3333333333333335
50.0,137,392,10.0,16.666666666666668,50.0,137,50.0,3.3333333333333335
50.0,138,395,10.0,16.666666666666668,50.0,138,50.0,3.3333333333333335
50.0,139,398,10.0,16.666666666666668,50.0,139,50.0,3.3333333333333335
50.0,140,401,10.0,16.666666666666668,50.0,140,50.0,3.3333333333333335
50.0,141,404,10.0,16.666666666666668,50.0,141,50.0,3.3333333333333335
50.0,142,407,10.0,16.666666666666668,50.0,142,50.0,3.3333333333333335
50.0,143,410,10.0,16.666666666666668,50.0,143,50.0,3.3333333333333335
50.0,144,413,10.0,16.666666666666668,50.0,144,50.0,3.3333333333333335
50.0,145,416,10.0,16.666666666666668,50.0,145,50.0,3.3333333333333335
50.0,146,419,50.0,3.3333333333333335,10.0,146,50.0,16.666666666666668
50.0,147,422,10.0,16.666666666666668,50.0,147,50.0,3.3333333333333335
50.0,148,425,10.0,16.666666666666668,50.0,148,50.0,3.3333333333333335
50.0,149,428,10.0,16.666666666666668,50.0,149,50.0,3.3333333333333335
50.0,150,431,-5.0,-1.6666666666666667,-5.0,150,50.0,-1.6666666666666667
50.0,151,434,10.0,16.666666666666668,50.0,151,50.0,3.3333333333333335
50.0,152,437,10.0,16.666666666666668,50.0,152,50.0,3.3333333333333335
50.0,153,440,10.0,16.666666666666668,50.0,153,50.0,3.3333333333333335
50.0,154,443,10.0,16.666666666666668,50.0,154,50.0,3.3333333333333335
50.0,155,446,10.0,16.666666666666668,50.0,155,50.0,3.3333333333333335
50.0,156,449,10.0,16.666666666666668,50.0,156,50.0,3.3333333333333335
50.0,157,452,10.0,16.666666666666668,50.0,157,50.0,3.3333333333333335
50.0,158,455,10.0,16.666666666666668,50.0,158,50.0,3.3333333333333335
50.0,159,458,-5.0,-1.6666666666666667,-5.0,159,50.0,-1.6666666666666667
50.0,160,461,10.0,16.666666666666668,50.0,160,50.0,3.3333333333333335
50.0,161,464,50.0,3.3333333333333335,10.0,161,50.0,16.666666666666668
50.0,162,467,10.0,16.666666666666668,50.0,162,50.0,3.3333333333333335
50.0,163,470,10.0,16.666666666666668,50.0,163,50.0,3.3333333333333335
50.0,164,473,10.0,16.666666666666668,50.0,164,50.0,3.3333333333333335
50.0,165,476,10.0,16.666666666666668,50.0,165,50.0,3.3333333333333335
50.0,166,479,10.0,16.666666666666668,50.0,166,50.0,3.3333333333333335
50.0,167,482,10.0,16.666666666666668,50.0,167,50.0,3.3333333333333335
50.0,168,485,10.0,16.666666666666668,50.0,168,50.0,3.3333333333333335
50.0,169,488,10.0,16.666666666666668,50.0,169,50.0,3.3333333333333335
50.0,170,491,10.0,16.666666666666668,50.0,170,50.0,3.3333333333333335
50.0,171,494,10.0,16.666666666666668,50.0,171,50.0,3.3333333333333335
50.0,172,497,10.0,16.666666666666668,50.0,172,50.0,3.3333333333333335
50.0,173,500,10.0,16.666666666666668,50.0,173,50.0,3.3333333333333335
