episodes,total-samples,last-path-return_agent_0,mean-path-return_agent_1,mean-path-return_agent_0,episode_reward,max-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_1
81,231,10.0,16.666666666666668,3.3333333333333335,81,50.0,50.0,50.0
82,233,10.0,25.0,5.0,82,50.0,50.0,50.0
83,235,-5.0,-2.5,-2.5,83,50.0,50.0,-5.0
84,238,-5.0,-1.6666666666666667,-1.6666666666666667,84,50.0,50.0,-5.0
85,241,50.0,3.3333333333333335,16.666666666666668,85,50.0,50.0,10.0
86,244,50.0,3.3333333333333335,16.666666666666668,86,50.0,50.0,10.0
87,247,50.0,3.3333333333333335,16.666666666666668,87,50.0,50.0,10.0
88,250,50.0,3.3333333333333335,16.666666666666668,88,50.0,50.0,10.0
89,253,10.0,16.666666666666668,3.3333333333333335,89,50.0,50.0,50.0
90,256,10.0,16.666666666666668,3.3333333333333335,90,50.0,50.0,50.0
91,259,-5.0,-1.6666666666666667,-1.6666666666666667,91,50.0,50.0,-5.0
92,262,10.0,16.666666666666668,3.3333333333333335,92,50.0,50.0,50.0
93,265,50.0,3.3333333333333335,16.666666666666668,93,50.0,50.0,10.0
94,268,10.0,16.666666666666668,3.3333333333333335,94,50.0,50.0,50.0
95,271,50.0,3.3333333333333335,16.666666666666668,95,50.0,50.0,10.0
96,274,50.0,3.3333333333333335,16.666666666666668,96,50.0,50.0,10.0
97,277,10.0,16.666666666666668,3.3333333333333335,97,50.0,50.0,50.0
98,280,10.0,16.666666666666668,3.3333333333333335,98,50.0,50.0,50.0
99,283,50.0,3.3333333333333335,16.666666666666668,99,50.0,50.0,10.0
100,286,-5.0,-1.6666666666666667,-1.6666666666666667,100,50.0,50.0,-5.0
101,289,50.0,3.3333333333333335,16.666666666666668,101,50.0,50.0,10.0
102,291,50.0,5.0,25.0,102,50.0,50.0,10.0
103,294,-5.0,-1.6666666666666667,-1.6666666666666667,103,50.0,50.0,-5.0
104,297,50.0,3.3333333333333335,16.666666666666668,104,50.0,50.0,10.0
105,300,50.0,3.3333333333333335,16.666666666666668,105,50.0,50.0,10.0
106,303,10.0,16.666666666666668,3.3333333333333335,106,50.0,50.0,50.0
107,306,50.0,3.3333333333333335,16.666666666666668,107,50.0,50.0,10.0
108,309,50.0,3.3333333333333335,16.666666666666668,108,50.0,50.0,10.0
109,312,50.0,3.3333333333333335,16.666666666666668,109,50.0,50.0,10.0
110,315,10.0,16.666666666666668,3.3333333333333335,110,50.0,50.0,50.0
111,318,10.0,16.666666666666668,3.3333333333333335,111,50.0,50.0,50.0
112,321,50.0,3.3333333333333335,16.666666666666668,112,50.0,50.0,10.0
113,324,50.0,3.3333333333333335,16.666666666666668,113,50.0,50.0,10.0
114,327,50.0,3.3333333333333335,16.666666666666668,114,50.0,50.0,10.0
115,330,10.0,16.666666666666668,3.3333333333333335,115,50.0,50.0,50.0
116,333,50.0,3.3333333333333335,16.666666666666668,116,50.0,50.0,10.0
117,336,10.0,16.666666666666668,3.3333333333333335,117,50.0,50.0,50.0
118,338,-5.0,-2.5,-2.5,118,50.0,50.0,-5.0
119,341,10.0,16.666666666666668,3.3333333333333335,119,50.0,50.0,50.0
120,344,50.0,3.3333333333333335,16.666666666666668,120,50.0,50.0,10.0
121,347,50.0,3.3333333333333335,16.666666666666668,121,50.0,50.0,10.0
122,350,10.0,16.666666666666668,3.3333333333333335,122,50.0,50.0,50.0
123,353,50.0,3.3333333333333335,16.666666666666668,123,50.0,50.0,10.0
124,356,50.0,3.3333333333333335,16.666666666666668,124,50.0,50.0,10.0
125,359,50.0,3.3333333333333335,16.666666666666668,125,50.0,50.0,10.0
126,362,10.0,16.666666666666668,3.3333333333333335,126,50.0,50.0,50.0
127,364,-10.0,-5.0,-5.0,127,50.0,50.0,-10.0
128,367,50.0,3.3333333333333335,16.666666666666668,128,50.0,50.0,10.0
129,370,-5.0,-1.6666666666666667,-1.6666666666666667,129,50.0,50.0,-5.0
130,372,50.0,5.0,25.0,130,50.0,50.0,10.0
131,374,50.0,5.0,25.0,131,50.0,50.0,10.0
132,376,-5.0,-2.5,-2.5,132,50.0,50.0,-5.0
133,379,10.0,16.666666666666668,3.3333333333333335,133,50.0,50.0,50.0
134,382,10.0,16.666666666666668,3.3333333333333335,134,50.0,50.0,50.0
135,384,10.0,25.0,5.0,135,50.0,50.0,50.0
136,387,10.0,16.666666666666668,3.3333333333333335,136,50.0,50.0,50.0
137,389,50.0,5.0,25.0,137,50.0,50.0,10.0
138,391,10.0,25.0,5.0,138,50.0,50.0,50.0
139,394,10.0,16.666666666666668,3.3333333333333335,139,50.0,50.0,50.0
140,397,-5.0,-1.6666666666666667,-1.6666666666666667,140,50.0,50.0,-5.0
141,400,10.0,16.666666666666668,3.3333333333333335,141,50.0,50.0,50.0
142,403,10.0,16.666666666666668,3.3333333333333335,142,50.0,50.0,50.0
143,406,10.0,16.666666666666668,3.3333333333333335,143,50.0,50.0,50.0
144,408,-10.0,-5.0,-5.0,144,50.0,50.0,-10.0
145,411,50.0,3.3333333333333335,16.666666666666668,145,50.0,50.0,10.0
146,413,10.0,25.0,5.0,146,50.0,50.0,50.0
147,416,-5.0,-1.6666666666666667,-1.6666666666666667,147,50.0,50.0,-5.0
148,419,50.0,3.3333333333333335,16.666666666666668,148,50.0,50.0,10.0
149,422,10.0,16.666666666666668,3.3333333333333335,149,50.0,50.0,50.0
150,424,-5.0,-2.5,-2.5,150,50.0,50.0,-5.0
151,427,-5.0,-1.6666666666666667,-1.6666666666666667,151,50.0,50.0,-5.0
152,430,50.0,3.3333333333333335,16.666666666666668,152,50.0,50.0,10.0
153,433,10.0,16.666666666666668,3.3333333333333335,153,50.0,50.0,50.0
154,436,10.0,16.666666666666668,3.3333333333333335,154,50.0,50.0,50.0
155,439,50.0,3.3333333333333335,16.666666666666668,155,50.0,50.0,10.0
156,442,10.0,16.666666666666668,3.3333333333333335,156,50.0,50.0,50.0
157,445,50.0,3.3333333333333335,16.666666666666668,157,50.0,50.0,10.0
158,448,10.0,16.666666666666668,3.3333333333333335,158,50.0,50.0,50.0
159,451,-5.0,-1.6666666666666667,-1.6666666666666667,159,50.0,50.0,-5.0
160,453,-5.0,-2.5,-2.5,160,50.0,50.0,-5.0
161,455,-5.0,-2.5,-2.5,161,50.0,50.0,-5.0
162,457,-5.0,-2.5,-2.5,162,50.0,50.0,-5.0
163,459,50.0,5.0,25.0,163,50.0,50.0,10.0
164,462,10.0,16.666666666666668,3.3333333333333335,164,50.0,50.0,50.0
165,464,50.0,5.0,25.0,165,50.0,50.0,10.0
166,467,-5.0,-1.6666666666666667,-1.6666666666666667,166,50.0,50.0,-5.0
167,470,10.0,16.666666666666668,3.3333333333333335,167,50.0,50.0,50.0
168,473,-5.0,-1.6666666666666667,-1.6666666666666667,168,50.0,50.0,-5.0
169,475,-10.0,-5.0,-5.0,169,50.0,50.0,-10.0
170,478,50.0,3.3333333333333335,16.666666666666668,170,50.0,50.0,10.0
171,481,10.0,16.666666666666668,3.3333333333333335,171,50.0,50.0,50.0
172,484,50.0,3.3333333333333335,16.666666666666668,172,50.0,50.0,10.0
173,487,10.0,16.666666666666668,3.3333333333333335,173,50.0,50.0,50.0
174,490,50.0,3.3333333333333335,16.666666666666668,174,50.0,50.0,10.0
175,493,50.0,3.3333333333333335,16.666666666666668,175,50.0,50.0,10.0
176,495,-10.0,-5.0,-5.0,176,50.0,50.0,-10.0
177,498,10.0,16.666666666666668,3.3333333333333335,177,50.0,50.0,50.0
178,501,50.0,3.3333333333333335,16.666666666666668,178,50.0,50.0,10.0
179,504,10.0,16.666666666666668,3.3333333333333335,179,50.0,50.0,50.0
180,507,50.0,3.3333333333333335,16.666666666666668,180,50.0,50.0,10.0
181,509,50.0,5.0,25.0,181,50.0,50.0,10.0
182,512,-5.0,-1.6666666666666667,-1.6666666666666667,182,50.0,50.0,-5.0
183,515,10.0,16.666666666666668,3.3333333333333335,183,50.0,50.0,50.0
184,518,-5.0,-1.6666666666666667,-1.6666666666666667,184,50.0,50.0,-5.0
185,521,10.0,16.666666666666668,3.3333333333333335,185,50.0,50.0,50.0
186,524,-5.0,-1.6666666666666667,-1.6666666666666667,186,50.0,50.0,-5.0
187,527,50.0,3.3333333333333335,16.666666666666668,187,50.0,50.0,10.0
188,530,10.0,16.666666666666668,3.3333333333333335,188,50.0,50.0,50.0
189,533,10.0,16.666666666666668,3.3333333333333335,189,50.0,50.0,50.0
190,535,-5.0,-2.5,-2.5,190,50.0,50.0,-5.0
191,538,10.0,16.666666666666668,3.3333333333333335,191,50.0,50.0,50.0
192,541,10.0,16.666666666666668,3.3333333333333335,192,50.0,50.0,50.0
193,544,10.0,16.666666666666668,3.3333333333333335,193,50.0,50.0,50.0
194,547,50.0,3.3333333333333335,16.666666666666668,194,50.0,50.0,10.0
195,550,50.0,3.3333333333333335,16.666666666666668,195,50.0,50.0,10.0
196,553,10.0,16.666666666666668,3.3333333333333335,196,50.0,50.0,50.0
197,556,10.0,16.666666666666668,3.3333333333333335,197,50.0,50.0,50.0
198,559,-5.0,-1.6666666666666667,-1.6666666666666667,198,50.0,50.0,-5.0
199,562,10.0,16.666666666666668,3.3333333333333335,199,50.0,50.0,50.0
200,565,10.0,16.666666666666668,3.3333333333333335,200,50.0,50.0,50.0
201,568,-5.0,-1.6666666666666667,-1.6666666666666667,201,50.0,50.0,-5.0
202,571,50.0,3.3333333333333335,16.666666666666668,202,50.0,50.0,10.0
203,574,50.0,3.3333333333333335,16.666666666666668,203,50.0,50.0,10.0
204,577,50.0,3.3333333333333335,16.666666666666668,204,50.0,50.0,10.0
205,580,-5.0,-1.6666666666666667,-1.6666666666666667,205,50.0,50.0,-5.0
206,583,50.0,3.3333333333333335,16.666666666666668,206,50.0,50.0,10.0
207,586,50.0,3.3333333333333335,16.666666666666668,207,50.0,50.0,10.0
208,589,50.0,3.3333333333333335,16.666666666666668,208,50.0,50.0,10.0
209,592,50.0,3.3333333333333335,16.666666666666668,209,50.0,50.0,10.0
210,595,50.0,3.3333333333333335,16.666666666666668,210,50.0,50.0,10.0
211,598,50.0,3.3333333333333335,16.666666666666668,211,50.0,50.0,10.0
212,601,50.0,3.3333333333333335,16.666666666666668,212,50.0,50.0,10.0
213,604,50.0,3.3333333333333335,16.666666666666668,213,50.0,50.0,10.0
214,607,10.0,16.666666666666668,3.3333333333333335,214,50.0,50.0,50.0
215,610,50.0,3.3333333333333335,16.666666666666668,215,50.0,50.0,10.0
216,613,10.0,16.666666666666668,3.3333333333333335,216,50.0,50.0,50.0
217,616,10.0,16.666666666666668,3.3333333333333335,217,50.0,50.0,50.0
218,619,50.0,3.3333333333333335,16.666666666666668,218,50.0,50.0,10.0
219,622,50.0,3.3333333333333335,16.666666666666668,219,50.0,50.0,10.0
220,625,10.0,16.666666666666668,3.3333333333333335,220,50.0,50.0,50.0
221,628,50.0,3.3333333333333335,16.666666666666668,221,50.0,50.0,10.0
222,631,50.0,3.3333333333333335,16.666666666666668,222,50.0,50.0,10.0
223,634,50.0,3.3333333333333335,16.666666666666668,223,50.0,50.0,10.0
224,637,-5.0,-1.6666666666666667,-1.6666666666666667,224,50.0,50.0,-5.0
225,640,10.0,16.666666666666668,3.3333333333333335,225,50.0,50.0,50.0
226,643,10.0,16.666666666666668,3.3333333333333335,226,50.0,50.0,50.0
227,646,-5.0,-1.6666666666666667,-1.6666666666666667,227,50.0,50.0,-5.0
228,649,10.0,16.666666666666668,3.3333333333333335,228,50.0,50.0,50.0
229,652,50.0,3.3333333333333335,16.666666666666668,229,50.0,50.0,10.0
230,655,-5.0,-1.6666666666666667,-1.6666666666666667,230,50.0,50.0,-5.0
231,658,10.0,16.666666666666668,3.3333333333333335,231,50.0,50.0,50.0
232,661,50.0,3.3333333333333335,16.666666666666668,232,50.0,50.0,10.0
233,664,-5.0,-1.6666666666666667,-1.6666666666666667,233,50.0,50.0,-5.0
234,667,50.0,3.3333333333333335,16.666666666666668,234,50.0,50.0,10.0
235,670,50.0,3.3333333333333335,16.666666666666668,235,50.0,50.0,10.0
236,673,50.0,3.3333333333333335,16.666666666666668,236,50.0,50.0,10.0
237,676,50.0,3.3333333333333335,16.666666666666668,237,50.0,50.0,10.0
238,678,-5.0,-2.5,-2.5,238,50.0,50.0,-5.0
239,681,10.0,16.666666666666668,3.3333333333333335,239,50.0,50.0,50.0
240,683,-5.0,-2.5,-2.5,240,50.0,50.0,-5.0
241,686,50.0,3.3333333333333335,16.666666666666668,241,50.0,50.0,10.0
242,689,50.0,3.3333333333333335,16.666666666666668,242,50.0,50.0,10.0
243,692,50.0,3.3333333333333335,16.666666666666668,243,50.0,50.0,10.0
244,694,-5.0,-2.5,-2.5,244,50.0,50.0,-5.0
245,696,-10.0,-5.0,-5.0,245,50.0,50.0,-10.0
246,699,50.0,3.3333333333333335,16.666666666666668,246,50.0,50.0,10.0
247,702,10.0,16.666666666666668,3.3333333333333335,247,50.0,50.0,50.0
248,705,-5.0,-1.6666666666666667,-1.6666666666666667,248,50.0,50.0,-5.0
249,707,-5.0,-2.5,-2.5,249,50.0,50.0,-5.0
250,709,-5.0,-2.5,-2.5,250,50.0,50.0,-5.0
251,712,50.0,3.3333333333333335,16.666666666666668,251,50.0,50.0,10.0
252,715,10.0,16.666666666666668,3.3333333333333335,252,50.0,50.0,50.0
253,718,10.0,16.666666666666668,3.3333333333333335,253,50.0,50.0,50.0
254,721,10.0,16.666666666666668,3.3333333333333335,254,50.0,50.0,50.0
255,724,10.0,16.666666666666668,3.3333333333333335,255,50.0,50.0,50.0
256,726,-5.0,-2.5,-2.5,256,50.0,50.0,-5.0
257,729,10.0,16.666666666666668,3.3333333333333335,257,50.0,50.0,50.0
258,732,10.0,16.666666666666668,3.3333333333333335,258,50.0,50.0,50.0
259,735,10.0,16.666666666666668,3.3333333333333335,259,50.0,50.0,50.0
260,738,50.0,3.3333333333333335,16.666666666666668,260,50.0,50.0,10.0
261,741,10.0,16.666666666666668,3.3333333333333335,261,50.0,50.0,50.0
262,744,-5.0,-1.6666666666666667,-1.6666666666666667,262,50.0,50.0,-5.0
263,747,50.0,3.3333333333333335,16.666666666666668,263,50.0,50.0,10.0
264,750,-5.0,-1.6666666666666667,-1.6666666666666667,264,50.0,50.0,-5.0
265,753,10.0,16.666666666666668,3.3333333333333335,265,50.0,50.0,50.0
266,756,50.0,3.3333333333333335,16.666666666666668,266,50.0,50.0,10.0
267,759,50.0,3.3333333333333335,16.666666666666668,267,50.0,50.0,10.0
268,762,-5.0,-1.6666666666666667,-1.6666666666666667,268,50.0,50.0,-5.0
269,765,50.0,3.3333333333333335,16.666666666666668,269,50.0,50.0,10.0
270,767,10.0,25.0,5.0,270,50.0,50.0,50.0
271,769,50.0,5.0,25.0,271,50.0,50.0,10.0
272,772,10.0,16.666666666666668,3.3333333333333335,272,50.0,50.0,50.0
273,775,-5.0,-1.6666666666666667,-1.6666666666666667,273,50.0,50.0,-5.0
274,778,-5.0,-1.6666666666666667,-1.6666666666666667,274,50.0,50.0,-5.0
275,780,-5.0,-2.5,-2.5,275,50.0,50.0,-5.0
276,782,10.0,25.0,5.0,276,50.0,50.0,50.0
277,785,50.0,3.3333333333333335,16.666666666666668,277,50.0,50.0,10.0
278,788,10.0,16.666666666666668,3.3333333333333335,278,50.0,50.0,50.0
279,791,10.0,16.666666666666668,3.3333333333333335,279,50.0,50.0,50.0
280,794,10.0,16.666666666666668,3.3333333333333335,280,50.0,50.0,50.0
281,796,-5.0,-2.5,-2.5,281,50.0,50.0,-5.0
282,798,50.0,5.0,25.0,282,50.0,50.0,10.0
283,801,10.0,16.666666666666668,3.3333333333333335,283,50.0,50.0,50.0
284,804,-5.0,-1.6666666666666667,-1.6666666666666667,284,50.0,50.0,-5.0
285,806,50.0,5.0,25.0,285,50.0,50.0,10.0
286,808,-5.0,-2.5,-2.5,286,50.0,50.0,-5.0
287,810,-5.0,-2.5,-2.5,287,50.0,50.0,-5.0
288,813,50.0,3.3333333333333335,16.666666666666668,288,50.0,50.0,10.0
289,816,-5.0,-1.6666666666666667,-1.6666666666666667,289,50.0,50.0,-5.0
290,818,10.0,25.0,5.0,290,50.0,50.0,50.0
291,820,-5.0,-2.5,-2.5,291,50.0,50.0,-5.0
292,823,10.0,16.666666666666668,3.3333333333333335,292,50.0,50.0,50.0
293,825,-5.0,-2.5,-2.5,293,50.0,50.0,-5.0
294,827,-5.0,-2.5,-2.5,294,50.0,50.0,-5.0
295,829,-5.0,-2.5,-2.5,295,50.0,50.0,-5.0
296,831,50.0,5.0,25.0,296,50.0,50.0,10.0
297,833,-5.0,-2.5,-2.5,297,50.0,50.0,-5.0
298,835,10.0,25.0,5.0,298,50.0,50.0,50.0
299,837,-5.0,-2.5,-2.5,299,50.0,50.0,-5.0
300,839,-5.0,-2.5,-2.5,300,50.0,50.0,-5.0
301,841,-5.0,-2.5,-2.5,301,50.0,50.0,-5.0
302,844,50.0,3.3333333333333335,16.666666666666668,302,50.0,50.0,10.0
303,847,-5.0,-1.6666666666666667,-1.6666666666666667,303,50.0,50.0,-5.0
304,849,-5.0,-2.5,-2.5,304,50.0,50.0,-5.0
305,851,-5.0,-2.5,-2.5,305,50.0,50.0,-5.0
306,853,-5.0,-2.5,-2.5,306,50.0,50.0,-5.0
307,855,-5.0,-2.5,-2.5,307,50.0,50.0,-5.0
308,857,-5.0,-2.5,-2.5,308,50.0,50.0,-5.0
309,859,50.0,5.0,25.0,309,50.0,50.0,10.0
310,861,-5.0,-2.5,-2.5,310,50.0,50.0,-5.0
311,863,-5.0,-2.5,-2.5,311,50.0,50.0,-5.0
312,865,-5.0,-2.5,-2.5,312,50.0,50.0,-5.0
313,867,-5.0,-2.5,-2.5,313,50.0,50.0,-5.0
314,869,-5.0,-2.5,-2.5,314,50.0,50.0,-5.0
315,871,-5.0,-2.5,-2.5,315,50.0,50.0,-5.0
316,873,-5.0,-2.5,-2.5,316,50.0,50.0,-5.0
317,875,-5.0,-2.5,-2.5,317,50.0,50.0,-5.0
318,877,-5.0,-2.5,-2.5,318,50.0,50.0,-5.0
319,880,10.0,16.666666666666668,3.3333333333333335,319,50.0,50.0,50.0
320,883,-5.0,-1.6666666666666667,-1.6666666666666667,320,50.0,50.0,-5.0
321,885,10.0,25.0,5.0,321,50.0,50.0,50.0
322,888,10.0,16.666666666666668,3.3333333333333335,322,50.0,50.0,50.0
323,890,-5.0,-2.5,-2.5,323,50.0,50.0,-5.0
324,892,-5.0,-2.5,-2.5,324,50.0,50.0,-5.0
325,894,-5.0,-2.5,-2.5,325,50.0,50.0,-5.0
326,896,-5.0,-2.5,-2.5,326,50.0,50.0,-5.0
327,898,-5.0,-2.5,-2.5,327,50.0,50.0,-5.0
328,900,-5.0,-2.5,-2.5,328,50.0,50.0,-5.0
329,903,50.0,3.3333333333333335,16.666666666666668,329,50.0,50.0,10.0
330,905,10.0,25.0,5.0,330,50.0,50.0,50.0
331,907,-5.0,-2.5,-2.5,331,50.0,50.0,-5.0
332,909,-5.0,-2.5,-2.5,332,50.0,50.0,-5.0
333,911,-5.0,-2.5,-2.5,333,50.0,50.0,-5.0
334,913,-5.0,-2.5,-2.5,334,50.0,50.0,-5.0
335,916,50.0,3.3333333333333335,16.666666666666668,335,50.0,50.0,10.0
336,919,50.0,3.3333333333333335,16.666666666666668,336,50.0,50.0,10.0
337,921,10.0,25.0,5.0,337,50.0,50.0,50.0
338,923,-5.0,-2.5,-2.5,338,50.0,50.0,-5.0
339,925,-5.0,-2.5,-2.5,339,50.0,50.0,-5.0
340,927,-5.0,-2.5,-2.5,340,50.0,50.0,-5.0
341,930,-5.0,-1.6666666666666667,-1.6666666666666667,341,50.0,50.0,-5.0
342,932,-5.0,-2.5,-2.5,342,50.0,50.0,-5.0
343,934,10.0,25.0,5.0,343,50.0,50.0,50.0
344,936,10.0,25.0,5.0,344,50.0,50.0,50.0
345,938,10.0,25.0,5.0,345,50.0,50.0,50.0
346,940,-5.0,-2.5,-2.5,346,50.0,50.0,-5.0
347,942,-5.0,-2.5,-2.5,347,50.0,50.0,-5.0
348,945,10.0,16.666666666666668,3.3333333333333335,348,50.0,50.0,50.0
349,948,-5.0,-1.6666666666666667,-1.6666666666666667,349,50.0,50.0,-5.0
350,950,-5.0,-2.5,-2.5,350,50.0,50.0,-5.0
351,952,10.0,25.0,5.0,351,50.0,50.0,50.0
352,954,10.0,25.0,5.0,352,50.0,50.0,50.0
353,956,10.0,25.0,5.0,353,50.0,50.0,50.0
354,959,10.0,16.666666666666668,3.3333333333333335,354,50.0,50.0,50.0
355,961,-5.0,-2.5,-2.5,355,50.0,50.0,-5.0
356,963,10.0,25.0,5.0,356,50.0,50.0,50.0
357,966,10.0,16.666666666666668,3.3333333333333335,357,50.0,50.0,50.0
358,969,50.0,3.3333333333333335,16.666666666666668,358,50.0,50.0,10.0
359,971,-5.0,-2.5,-2.5,359,50.0,50.0,-5.0
360,973,-5.0,-2.5,-2.5,360,50.0,50.0,-5.0
361,976,10.0,16.666666666666668,3.3333333333333335,361,50.0,50.0,50.0
362,979,10.0,16.666666666666668,3.3333333333333335,362,50.0,50.0,50.0
363,981,-5.0,-2.5,-2.5,363,50.0,50.0,-5.0
364,984,10.0,16.666666666666668,3.3333333333333335,364,50.0,50.0,50.0
