mean-episode_cost_agent_0,total-samples,mean-episode_cost_agent_1,max-path-return_agent_0,episodes,max-path-return_agent_1,last-path-return_agent_1,episode_reward,last-path-return_agent_0,mean-path-return_agent_0,mean-path-return_agent_1
0.0,3,0.0,10.0,1,50.0,50.0,1,10.0,3.3333333333333335,16.666666666666668
16.666666666666668,6,16.666666666666668,10.0,2,50.0,-5.0,2,-5.0,-1.6666666666666667,-1.6666666666666667
6.666666666666667,9,0.0,10.0,3,50.0,50.0,3,10.0,3.3333333333333335,16.666666666666668
0.0,12,0.0,50.0,4,50.0,10.0,4,50.0,16.666666666666668,3.3333333333333335
0.0,15,0.0,50.0,5,50.0,10.0,5,50.0,16.666666666666668,3.3333333333333335
0.0,18,0.0,50.0,6,50.0,50.0,6,10.0,3.3333333333333335,16.666666666666668
16.666666666666668,21,16.666666666666668,50.0,7,50.0,-5.0,7,-5.0,-1.6666666666666667,-1.6666666666666667
6.666666666666667,24,0.0,50.0,8,50.0,50.0,8,10.0,3.3333333333333335,16.666666666666668
0.0,27,6.666666666666667,50.0,9,50.0,10.0,9,50.0,16.666666666666668,3.3333333333333335
0.0,30,0.0,50.0,10,50.0,50.0,10,10.0,3.3333333333333335,16.666666666666668
0.0,33,0.0,50.0,11,50.0,50.0,11,10.0,3.3333333333333335,16.666666666666668
0.0,36,0.0,50.0,12,50.0,50.0,12,10.0,3.3333333333333335,16.666666666666668
0.0,39,0.0,50.0,13,50.0,50.0,13,10.0,3.3333333333333335,16.666666666666668
0.0,42,0.0,50.0,14,50.0,50.0,14,10.0,3.3333333333333335,16.666666666666668
0.0,45,0.0,50.0,15,50.0,50.0,15,10.0,3.3333333333333335,16.666666666666668
25.0,47,25.0,50.0,16,50.0,-5.0,16,-5.0,-2.5,-2.5
3.3333333333333335,50,0.0,50.0,17,50.0,50.0,17,10.0,3.3333333333333335,16.666666666666668
0.0,52,0.0,50.0,18,50.0,50.0,18,10.0,5.0,25.0
0.0,54,0.0,50.0,19,50.0,50.0,19,10.0,5.0,25.0
0.0,57,0.0,50.0,20,50.0,10.0,20,50.0,16.666666666666668,3.3333333333333335
0.0,60,0.0,50.0,21,50.0,10.0,21,50.0,16.666666666666668,3.3333333333333335
0.0,63,0.0,50.0,22,50.0,50.0,22,10.0,3.3333333333333335,16.666666666666668
0.0,66,0.0,50.0,23,50.0,10.0,23,50.0,16.666666666666668,3.3333333333333335
6.666666666666667,69,0.0,50.0,24,50.0,50.0,24,10.0,3.3333333333333335,16.666666666666668
6.666666666666667,72,0.0,50.0,25,50.0,50.0,25,10.0,3.3333333333333335,16.666666666666668
0.0,75,0.0,50.0,26,50.0,10.0,26,50.0,16.666666666666668,3.3333333333333335
16.666666666666668,78,16.666666666666668,50.0,27,50.0,-5.0,27,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,81,0.0,50.0,28,50.0,50.0,28,10.0,3.3333333333333335,16.666666666666668
0.0,84,0.0,50.0,29,50.0,10.0,29,50.0,16.666666666666668,3.3333333333333335
0.0,87,0.0,50.0,30,50.0,10.0,30,50.0,16.666666666666668,3.3333333333333335
0.0,90,0.0,50.0,31,50.0,10.0,31,50.0,16.666666666666668,3.3333333333333335
0.0,93,0.0,50.0,32,50.0,10.0,32,50.0,16.666666666666668,3.3333333333333335
0.0,96,0.0,50.0,33,50.0,50.0,33,10.0,3.3333333333333335,16.666666666666668
16.666666666666668,99,16.666666666666668,50.0,34,50.0,-5.0,34,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,102,0.0,50.0,35,50.0,10.0,35,50.0,16.666666666666668,3.3333333333333335
16.666666666666668,105,16.666666666666668,50.0,36,50.0,-5.0,36,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,108,0.0,50.0,37,50.0,50.0,37,10.0,3.3333333333333335,16.666666666666668
23.333333333333332,111,23.333333333333332,50.0,38,50.0,-5.0,38,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,113,0.0,50.0,39,50.0,10.0,39,50.0,25.0,5.0
0.0,116,0.0,50.0,40,50.0,50.0,40,10.0,3.3333333333333335,16.666666666666668
6.666666666666667,119,0.0,50.0,41,50.0,50.0,41,10.0,3.3333333333333335,16.666666666666668
0.0,122,0.0,50.0,42,50.0,10.0,42,50.0,16.666666666666668,3.3333333333333335
16.666666666666668,125,16.666666666666668,50.0,43,50.0,-5.0,43,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,127,0.0,50.0,44,50.0,10.0,44,50.0,25.0,5.0
16.666666666666668,130,16.666666666666668,50.0,45,50.0,-5.0,45,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,133,0.0,50.0,46,50.0,10.0,46,50.0,16.666666666666668,3.3333333333333335
25.0,135,25.0,50.0,47,50.0,-5.0,47,-5.0,-2.5,-2.5
6.666666666666667,138,0.0,50.0,48,50.0,50.0,48,10.0,3.3333333333333335,16.666666666666668
0.0,141,0.0,50.0,49,50.0,50.0,49,10.0,3.3333333333333335,16.666666666666668
