total-samples,episodes,last-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,mean-path-return_agent_1,episode_reward,mean-path-return_agent_0,max-path-return_agent_0
314,108,-5.0,-5.0,50.0,-1.6666666666666667,108,-1.6666666666666667,50.0
316,109,10.0,50.0,50.0,25.0,109,5.0,50.0
319,110,10.0,50.0,50.0,16.666666666666668,110,3.3333333333333335,50.0
322,111,10.0,50.0,50.0,16.666666666666668,111,3.3333333333333335,50.0
325,112,50.0,10.0,50.0,3.3333333333333335,112,16.666666666666668,50.0
328,113,50.0,10.0,50.0,3.3333333333333335,113,16.666666666666668,50.0
331,114,50.0,10.0,50.0,3.3333333333333335,114,16.666666666666668,50.0
333,115,-5.0,-5.0,50.0,-2.5,115,-2.5,50.0
336,116,-5.0,-5.0,50.0,-1.6666666666666667,116,-1.6666666666666667,50.0
338,117,-10.0,-10.0,50.0,-5.0,117,-5.0,50.0
341,118,10.0,50.0,50.0,16.666666666666668,118,3.3333333333333335,50.0
344,119,10.0,50.0,50.0,16.666666666666668,119,3.3333333333333335,50.0
347,120,10.0,50.0,50.0,16.666666666666668,120,3.3333333333333335,50.0
350,121,50.0,10.0,50.0,3.3333333333333335,121,16.666666666666668,50.0
353,122,50.0,10.0,50.0,3.3333333333333335,122,16.666666666666668,50.0
355,123,10.0,50.0,50.0,25.0,123,5.0,50.0
357,124,50.0,10.0,50.0,5.0,124,25.0,50.0
360,125,10.0,50.0,50.0,16.666666666666668,125,3.3333333333333335,50.0
362,126,-10.0,-10.0,50.0,-5.0,126,-5.0,50.0
365,127,50.0,10.0,50.0,3.3333333333333335,127,16.666666666666668,50.0
368,128,50.0,10.0,50.0,3.3333333333333335,128,16.666666666666668,50.0
370,129,-5.0,-5.0,50.0,-2.5,129,-2.5,50.0
373,130,10.0,50.0,50.0,16.666666666666668,130,3.3333333333333335,50.0
376,131,10.0,50.0,50.0,16.666666666666668,131,3.3333333333333335,50.0
379,132,10.0,50.0,50.0,16.666666666666668,132,3.3333333333333335,50.0
382,133,10.0,50.0,50.0,16.666666666666668,133,3.3333333333333335,50.0
385,134,50.0,10.0,50.0,3.3333333333333335,134,16.666666666666668,50.0
387,135,-10.0,-10.0,50.0,-5.0,135,-5.0,50.0
390,136,10.0,50.0,50.0,16.666666666666668,136,3.3333333333333335,50.0
393,137,10.0,50.0,50.0,16.666666666666668,137,3.3333333333333335,50.0
396,138,50.0,10.0,50.0,3.3333333333333335,138,16.666666666666668,50.0
399,139,10.0,50.0,50.0,16.666666666666668,139,3.3333333333333335,50.0
402,140,10.0,50.0,50.0,16.666666666666668,140,3.3333333333333335,50.0
405,141,10.0,50.0,50.0,16.666666666666668,141,3.3333333333333335,50.0
408,142,50.0,10.0,50.0,3.3333333333333335,142,16.666666666666668,50.0
411,143,10.0,50.0,50.0,16.666666666666668,143,3.3333333333333335,50.0
413,144,10.0,50.0,50.0,25.0,144,5.0,50.0
415,145,-10.0,-10.0,50.0,-5.0,145,-5.0,50.0
418,146,-5.0,-5.0,50.0,-1.6666666666666667,146,-1.6666666666666667,50.0
421,147,-5.0,-5.0,50.0,-1.6666666666666667,147,-1.6666666666666667,50.0
424,148,50.0,10.0,50.0,3.3333333333333335,148,16.666666666666668,50.0
427,149,10.0,50.0,50.0,16.666666666666668,149,3.3333333333333335,50.0
430,150,10.0,50.0,50.0,16.666666666666668,150,3.3333333333333335,50.0
433,151,50.0,10.0,50.0,3.3333333333333335,151,16.666666666666668,50.0
436,152,50.0,10.0,50.0,3.3333333333333335,152,16.666666666666668,50.0
438,153,-10.0,-10.0,50.0,-5.0,153,-5.0,50.0
441,154,10.0,50.0,50.0,16.666666666666668,154,3.3333333333333335,50.0
443,155,10.0,50.0,50.0,25.0,155,5.0,50.0
446,156,50.0,10.0,50.0,3.3333333333333335,156,16.666666666666668,50.0
449,157,10.0,50.0,50.0,16.666666666666668,157,3.3333333333333335,50.0
452,158,10.0,50.0,50.0,16.666666666666668,158,3.3333333333333335,50.0
455,159,-5.0,-5.0,50.0,-1.6666666666666667,159,-1.6666666666666667,50.0
457,160,10.0,50.0,50.0,25.0,160,5.0,50.0
459,161,-5.0,-5.0,50.0,-2.5,161,-2.5,50.0
462,162,10.0,50.0,50.0,16.666666666666668,162,3.3333333333333335,50.0
465,163,-5.0,-5.0,50.0,-1.6666666666666667,163,-1.6666666666666667,50.0
468,164,50.0,10.0,50.0,3.3333333333333335,164,16.666666666666668,50.0
472,165,50.0,10.0,50.0,2.5,165,12.5,50.0
475,166,10.0,50.0,50.0,16.666666666666668,166,3.3333333333333335,50.0
478,167,-5.0,-5.0,50.0,-1.6666666666666667,167,-1.6666666666666667,50.0
481,168,50.0,10.0,50.0,3.3333333333333335,168,16.666666666666668,50.0
484,169,50.0,10.0,50.0,3.3333333333333335,169,16.666666666666668,50.0
486,170,-5.0,-5.0,50.0,-2.5,170,-2.5,50.0
489,171,50.0,10.0,50.0,3.3333333333333335,171,16.666666666666668,50.0
492,172,10.0,50.0,50.0,16.666666666666668,172,3.3333333333333335,50.0
494,173,-10.0,-10.0,50.0,-5.0,173,-5.0,50.0
497,174,50.0,10.0,50.0,3.3333333333333335,174,16.666666666666668,50.0
499,175,-10.0,-10.0,50.0,-5.0,175,-5.0,50.0
