mean-episode_cost_agent_1,episodes,mean-path-return_agent_0,mean-episode_cost_agent_0,last-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,max-path-return_agent_0,total-samples,episode_reward,mean-path-return_agent_1
16.666666666666668,1,-1.6666666666666667,16.666666666666668,-5.0,-5.0,-5.0,-5.0,3,1,-1.6666666666666667
0.0,2,3.3333333333333335,3.3333333333333335,10.0,50.0,50.0,10.0,6,2,16.666666666666668
16.666666666666668,3,-1.6666666666666667,16.666666666666668,-5.0,-5.0,50.0,10.0,9,3,-1.6666666666666667
0.0,4,3.3333333333333335,0.0,10.0,50.0,50.0,10.0,12,4,16.666666666666668
0.0,5,3.3333333333333335,6.666666666666667,10.0,50.0,50.0,10.0,15,5,16.666666666666668
16.666666666666668,6,-1.6666666666666667,16.666666666666668,-5.0,-5.0,50.0,10.0,18,6,-1.6666666666666667
0.0,7,3.3333333333333335,0.0,10.0,50.0,50.0,10.0,21,7,16.666666666666668
25.0,8,-5.0,25.0,-10.0,-10.0,50.0,10.0,23,8,-5.0
25.0,9,-2.5,25.0,-5.0,-5.0,50.0,10.0,25,9,-2.5
16.666666666666668,10,-1.6666666666666667,16.666666666666668,-5.0,-5.0,50.0,10.0,28,10,-1.6666666666666667
0.0,11,16.666666666666668,0.0,50.0,10.0,50.0,50.0,31,11,3.3333333333333335
16.666666666666668,12,-1.6666666666666667,16.666666666666668,-5.0,-5.0,50.0,50.0,34,12,-1.6666666666666667
20.0,13,-1.6666666666666667,20.0,-5.0,-5.0,50.0,50.0,37,13,-1.6666666666666667
0.0,14,3.3333333333333335,6.666666666666667,10.0,50.0,50.0,50.0,40,14,16.666666666666668
0.0,15,16.666666666666668,0.0,50.0,10.0,50.0,50.0,43,15,3.3333333333333335
0.0,16,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,46,16,16.666666666666668
0.0,17,16.666666666666668,0.0,50.0,10.0,50.0,50.0,49,17,3.3333333333333335
0.0,18,16.666666666666668,0.0,50.0,10.0,50.0,50.0,52,18,3.3333333333333335
0.0,19,16.666666666666668,0.0,50.0,10.0,50.0,50.0,55,19,3.3333333333333335
0.0,20,25.0,0.0,50.0,10.0,50.0,50.0,57,20,5.0
0.0,21,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,60,21,16.666666666666668
0.0,22,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,63,22,16.666666666666668
0.0,23,5.0,0.0,10.0,50.0,50.0,50.0,65,23,25.0
