episodes,mean-path-return_agent_1,max-path-return_agent_0,last-path-return_agent_0,last-path-return_agent_1,total-samples,max-path-return_agent_1,episode_reward,mean-path-return_agent_0
81,5.0,50.0,50.0,10.0,229,50.0,81,25.0
82,-1.6666666666666667,50.0,-5.0,-5.0,232,50.0,82,-1.6666666666666667
83,16.666666666666668,50.0,10.0,50.0,235,50.0,83,3.3333333333333335
84,16.666666666666668,50.0,10.0,50.0,238,50.0,84,3.3333333333333335
85,-1.6666666666666667,50.0,-5.0,-5.0,241,50.0,85,-1.6666666666666667
86,25.0,50.0,10.0,50.0,243,50.0,86,5.0
87,16.666666666666668,50.0,10.0,50.0,246,50.0,87,3.3333333333333335
88,5.0,50.0,50.0,10.0,248,50.0,88,25.0
89,3.3333333333333335,50.0,50.0,10.0,251,50.0,89,16.666666666666668
90,16.666666666666668,50.0,10.0,50.0,254,50.0,90,3.3333333333333335
91,16.666666666666668,50.0,10.0,50.0,257,50.0,91,3.3333333333333335
92,16.666666666666668,50.0,10.0,50.0,260,50.0,92,3.3333333333333335
93,16.666666666666668,50.0,10.0,50.0,263,50.0,93,3.3333333333333335
94,16.666666666666668,50.0,10.0,50.0,266,50.0,94,3.3333333333333335
95,25.0,50.0,10.0,50.0,268,50.0,95,5.0
96,25.0,50.0,10.0,50.0,270,50.0,96,5.0
97,16.666666666666668,50.0,10.0,50.0,273,50.0,97,3.3333333333333335
98,-1.6666666666666667,50.0,-5.0,-5.0,276,50.0,98,-1.6666666666666667
99,3.3333333333333335,50.0,50.0,10.0,279,50.0,99,16.666666666666668
100,3.3333333333333335,50.0,50.0,10.0,282,50.0,100,16.666666666666668
101,-1.6666666666666667,50.0,-5.0,-5.0,285,50.0,101,-1.6666666666666667
102,3.3333333333333335,50.0,50.0,10.0,288,50.0,102,16.666666666666668
103,-2.5,50.0,-5.0,-5.0,290,50.0,103,-2.5
104,3.3333333333333335,50.0,50.0,10.0,293,50.0,104,16.666666666666668
105,3.3333333333333335,50.0,50.0,10.0,296,50.0,105,16.666666666666668
106,16.666666666666668,50.0,10.0,50.0,299,50.0,106,3.3333333333333335
107,3.3333333333333335,50.0,50.0,10.0,302,50.0,107,16.666666666666668
108,-1.6666666666666667,50.0,-5.0,-5.0,305,50.0,108,-1.6666666666666667
109,5.0,50.0,50.0,10.0,307,50.0,109,25.0
110,3.3333333333333335,50.0,50.0,10.0,310,50.0,110,16.666666666666668
111,-5.0,50.0,-10.0,-10.0,312,50.0,111,-5.0
112,16.666666666666668,50.0,10.0,50.0,315,50.0,112,3.3333333333333335
113,3.3333333333333335,50.0,50.0,10.0,318,50.0,113,16.666666666666668
114,3.3333333333333335,50.0,50.0,10.0,321,50.0,114,16.666666666666668
115,16.666666666666668,50.0,10.0,50.0,324,50.0,115,3.3333333333333335
116,3.3333333333333335,50.0,50.0,10.0,327,50.0,116,16.666666666666668
117,16.666666666666668,50.0,10.0,50.0,330,50.0,117,3.3333333333333335
118,3.3333333333333335,50.0,50.0,10.0,333,50.0,118,16.666666666666668
119,3.3333333333333335,50.0,50.0,10.0,336,50.0,119,16.666666666666668
120,3.3333333333333335,50.0,50.0,10.0,339,50.0,120,16.666666666666668
121,-1.6666666666666667,50.0,-5.0,-5.0,342,50.0,121,-1.6666666666666667
122,16.666666666666668,50.0,10.0,50.0,345,50.0,122,3.3333333333333335
123,-2.5,50.0,-5.0,-5.0,347,50.0,123,-2.5
124,16.666666666666668,50.0,10.0,50.0,350,50.0,124,3.3333333333333335
125,25.0,50.0,10.0,50.0,352,50.0,125,5.0
126,3.3333333333333335,50.0,50.0,10.0,355,50.0,126,16.666666666666668
127,16.666666666666668,50.0,10.0,50.0,358,50.0,127,3.3333333333333335
128,-1.6666666666666667,50.0,-5.0,-5.0,361,50.0,128,-1.6666666666666667
129,3.3333333333333335,50.0,50.0,10.0,364,50.0,129,16.666666666666668
130,-2.5,50.0,-5.0,-5.0,366,50.0,130,-2.5
131,16.666666666666668,50.0,10.0,50.0,369,50.0,131,3.3333333333333335
132,3.3333333333333335,50.0,50.0,10.0,372,50.0,132,16.666666666666668
133,12.5,50.0,10.0,50.0,376,50.0,133,2.5
134,3.3333333333333335,50.0,50.0,10.0,379,50.0,134,16.666666666666668
135,3.3333333333333335,50.0,50.0,10.0,382,50.0,135,16.666666666666668
136,16.666666666666668,50.0,10.0,50.0,385,50.0,136,3.3333333333333335
137,-1.6666666666666667,50.0,-5.0,-5.0,388,50.0,137,-1.6666666666666667
138,12.5,50.0,10.0,50.0,392,50.0,138,2.5
139,3.3333333333333335,50.0,50.0,10.0,395,50.0,139,16.666666666666668
140,3.3333333333333335,50.0,50.0,10.0,398,50.0,140,16.666666666666668
141,-1.6666666666666667,50.0,-5.0,-5.0,401,50.0,141,-1.6666666666666667
142,25.0,50.0,10.0,50.0,403,50.0,142,5.0
143,-1.6666666666666667,50.0,-5.0,-5.0,406,50.0,143,-1.6666666666666667
144,3.3333333333333335,50.0,50.0,10.0,409,50.0,144,16.666666666666668
145,16.666666666666668,50.0,10.0,50.0,412,50.0,145,3.3333333333333335
146,3.3333333333333335,50.0,50.0,10.0,415,50.0,146,16.666666666666668
147,16.666666666666668,50.0,10.0,50.0,418,50.0,147,3.3333333333333335
148,25.0,50.0,10.0,50.0,420,50.0,148,5.0
149,16.666666666666668,50.0,10.0,50.0,423,50.0,149,3.3333333333333335
150,3.3333333333333335,50.0,50.0,10.0,426,50.0,150,16.666666666666668
151,16.666666666666668,50.0,10.0,50.0,429,50.0,151,3.3333333333333335
152,3.3333333333333335,50.0,50.0,10.0,432,50.0,152,16.666666666666668
153,3.3333333333333335,50.0,50.0,10.0,435,50.0,153,16.666666666666668
154,-1.6666666666666667,50.0,-5.0,-5.0,438,50.0,154,-1.6666666666666667
155,-1.6666666666666667,50.0,-5.0,-5.0,441,50.0,155,-1.6666666666666667
156,16.666666666666668,50.0,10.0,50.0,444,50.0,156,3.3333333333333335
157,16.666666666666668,50.0,10.0,50.0,447,50.0,157,3.3333333333333335
158,16.666666666666668,50.0,10.0,50.0,450,50.0,158,3.3333333333333335
159,3.3333333333333335,50.0,50.0,10.0,453,50.0,159,16.666666666666668
160,16.666666666666668,50.0,10.0,50.0,456,50.0,160,3.3333333333333335
161,25.0,50.0,10.0,50.0,458,50.0,161,5.0
162,-2.5,50.0,-5.0,-5.0,460,50.0,162,-2.5
163,16.666666666666668,50.0,10.0,50.0,463,50.0,163,3.3333333333333335
164,3.3333333333333335,50.0,50.0,10.0,466,50.0,164,16.666666666666668
165,16.666666666666668,50.0,10.0,50.0,469,50.0,165,3.3333333333333335
166,16.666666666666668,50.0,10.0,50.0,472,50.0,166,3.3333333333333335
167,16.666666666666668,50.0,10.0,50.0,475,50.0,167,3.3333333333333335
168,3.3333333333333335,50.0,50.0,10.0,478,50.0,168,16.666666666666668
169,3.3333333333333335,50.0,50.0,10.0,481,50.0,169,16.666666666666668
170,3.3333333333333335,50.0,50.0,10.0,484,50.0,170,16.666666666666668
171,3.3333333333333335,50.0,50.0,10.0,487,50.0,171,16.666666666666668
172,5.0,50.0,50.0,10.0,489,50.0,172,25.0
173,16.666666666666668,50.0,10.0,50.0,492,50.0,173,3.3333333333333335
174,-1.6666666666666667,50.0,-5.0,-5.0,495,50.0,174,-1.6666666666666667
175,3.3333333333333335,50.0,50.0,10.0,498,50.0,175,16.666666666666668
