last-path-return_agent_1,episode_reward,mean-path-return_agent_0,mean-episode_cost_agent_0,last-path-return_agent_0,max-path-return_agent_1,episodes,total-samples,max-path-return_agent_0,mean-episode_cost_agent_1,mean-path-return_agent_1
10.0,1,16.666666666666668,0.0,50.0,10.0,1,3,50.0,0.0,3.3333333333333335
-5.0,2,-1.6666666666666667,16.666666666666668,-5.0,10.0,2,6,50.0,16.666666666666668,-1.6666666666666667
10.0,3,16.666666666666668,0.0,50.0,10.0,3,9,50.0,0.0,3.3333333333333335
-5.0,4,-1.6666666666666667,16.666666666666668,-5.0,10.0,4,12,50.0,16.666666666666668,-1.6666666666666667
-5.0,5,-2.5,25.0,-5.0,10.0,5,14,50.0,25.0,-2.5
50.0,6,3.3333333333333335,0.0,10.0,50.0,6,17,50.0,0.0,16.666666666666668
50.0,7,3.3333333333333335,0.0,10.0,50.0,7,20,50.0,0.0,16.666666666666668
-5.0,8,-1.6666666666666667,16.666666666666668,-5.0,50.0,8,23,50.0,16.666666666666668,-1.6666666666666667
10.0,9,16.666666666666668,0.0,50.0,50.0,9,26,50.0,0.0,3.3333333333333335
50.0,10,3.3333333333333335,6.666666666666667,10.0,50.0,10,29,50.0,0.0,16.666666666666668
50.0,11,3.3333333333333335,0.0,10.0,50.0,11,32,50.0,0.0,16.666666666666668
-5.0,12,-1.6666666666666667,16.666666666666668,-5.0,50.0,12,35,50.0,16.666666666666668,-1.6666666666666667
-5.0,13,-1.6666666666666667,20.0,-5.0,50.0,13,38,50.0,20.0,-1.6666666666666667
10.0,14,16.666666666666668,0.0,50.0,50.0,14,41,50.0,0.0,3.3333333333333335
50.0,15,3.3333333333333335,0.0,10.0,50.0,15,44,50.0,0.0,16.666666666666668
-5.0,16,-1.6666666666666667,16.666666666666668,-5.0,50.0,16,47,50.0,16.666666666666668,-1.6666666666666667
10.0,17,16.666666666666668,0.0,50.0,50.0,17,50,50.0,0.0,3.3333333333333335
-10.0,18,-5.0,25.0,-10.0,50.0,18,52,50.0,25.0,-5.0
50.0,19,3.3333333333333335,0.0,10.0,50.0,19,55,50.0,0.0,16.666666666666668
10.0,20,16.666666666666668,0.0,50.0,50.0,20,58,50.0,0.0,3.3333333333333335
10.0,21,16.666666666666668,0.0,50.0,50.0,21,61,50.0,6.666666666666667,3.3333333333333335
10.0,22,16.666666666666668,0.0,50.0,50.0,22,64,50.0,0.0,3.3333333333333335
10.0,23,16.666666666666668,0.0,50.0,50.0,23,67,50.0,0.0,3.3333333333333335
-5.0,24,-1.6666666666666667,16.666666666666668,-5.0,50.0,24,70,50.0,16.666666666666668,-1.6666666666666667
10.0,25,16.666666666666668,0.0,50.0,50.0,25,73,50.0,0.0,3.3333333333333335
50.0,26,5.0,0.0,10.0,50.0,26,75,50.0,0.0,25.0
10.0,27,16.666666666666668,0.0,50.0,50.0,27,78,50.0,6.666666666666667,3.3333333333333335
10.0,28,16.666666666666668,0.0,50.0,50.0,28,81,50.0,0.0,3.3333333333333335
10.0,29,16.666666666666668,0.0,50.0,50.0,29,84,50.0,0.0,3.3333333333333335
-5.0,30,-1.6666666666666667,20.0,-5.0,50.0,30,87,50.0,20.0,-1.6666666666666667
50.0,31,3.3333333333333335,0.0,10.0,50.0,31,90,50.0,0.0,16.666666666666668
10.0,32,16.666666666666668,0.0,50.0,50.0,32,93,50.0,0.0,3.3333333333333335
10.0,33,25.0,0.0,50.0,50.0,33,95,50.0,0.0,5.0
10.0,34,16.666666666666668,0.0,50.0,50.0,34,98,50.0,0.0,3.3333333333333335
-5.0,35,-1.6666666666666667,16.666666666666668,-5.0,50.0,35,101,50.0,16.666666666666668,-1.6666666666666667
-5.0,36,-1.6666666666666667,16.666666666666668,-5.0,50.0,36,104,50.0,16.666666666666668,-1.6666666666666667
50.0,37,3.3333333333333335,0.0,10.0,50.0,37,107,50.0,0.0,16.666666666666668
10.0,38,16.666666666666668,0.0,50.0,50.0,38,110,50.0,0.0,3.3333333333333335
10.0,39,16.666666666666668,0.0,50.0,50.0,39,113,50.0,0.0,3.3333333333333335
-10.0,40,-5.0,25.0,-10.0,50.0,40,115,50.0,25.0,-5.0
-5.0,41,-1.6666666666666667,16.666666666666668,-5.0,50.0,41,118,50.0,16.666666666666668,-1.6666666666666667
10.0,42,16.666666666666668,0.0,50.0,50.0,42,121,50.0,6.666666666666667,3.3333333333333335
50.0,43,3.3333333333333335,0.0,10.0,50.0,43,124,50.0,0.0,16.666666666666668
50.0,44,3.3333333333333335,0.0,10.0,50.0,44,127,50.0,0.0,16.666666666666668
10.0,45,16.666666666666668,0.0,50.0,50.0,45,130,50.0,0.0,3.3333333333333335
-10.0,46,-5.0,25.0,-10.0,50.0,46,132,50.0,25.0,-5.0
10.0,47,16.666666666666668,0.0,50.0,50.0,47,135,50.0,0.0,3.3333333333333335
50.0,48,3.3333333333333335,0.0,10.0,50.0,48,138,50.0,0.0,16.666666666666668
50.0,49,3.3333333333333335,0.0,10.0,50.0,49,141,50.0,0.0,16.666666666666668
-5.0,50,-1.6666666666666667,16.666666666666668,-5.0,50.0,50,144,50.0,16.666666666666668,-1.6666666666666667
-5.0,51,-2.5,25.0,-5.0,50.0,51,146,50.0,25.0,-2.5
50.0,52,3.3333333333333335,0.0,10.0,50.0,52,149,50.0,0.0,16.666666666666668
