mean-path-return_agent_1,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_0,max-path-return_agent_1,episode_reward,last-path-return_agent_1,mean-episode_cost_agent_1,mean-episode_cost_agent_0,total-samples,episodes
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,56,-5.0,16.666666666666668,16.666666666666668,160,56
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,57,10.0,0.0,0.0,163,57
-2.5,-2.5,-5.0,50.0,50.0,58,-5.0,25.0,25.0,165,58
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,59,50.0,0.0,0.0,168,59
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,60,10.0,0.0,0.0,171,60
-2.5,-2.5,-5.0,50.0,50.0,61,-5.0,25.0,25.0,173,61
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,62,-5.0,16.666666666666668,16.666666666666668,176,62
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,63,10.0,0.0,0.0,179,63
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,64,10.0,0.0,0.0,182,64
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,65,-5.0,16.666666666666668,16.666666666666668,185,65
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,66,10.0,0.0,0.0,188,66
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,67,50.0,0.0,3.3333333333333335,191,67
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,68,50.0,0.0,3.3333333333333335,194,68
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,69,10.0,0.0,0.0,197,69
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,70,10.0,0.0,0.0,200,70
-2.5,-2.5,-5.0,50.0,50.0,71,-5.0,25.0,25.0,202,71
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,72,10.0,0.0,0.0,205,72
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,73,10.0,3.3333333333333335,0.0,208,73
12.5,2.5,10.0,50.0,50.0,74,50.0,0.0,7.5,212,74
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,75,50.0,3.3333333333333335,3.3333333333333335,215,75
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,76,10.0,0.0,0.0,218,76
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,77,-5.0,16.666666666666668,16.666666666666668,221,77
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,78,50.0,0.0,0.0,224,78
5.0,25.0,50.0,50.0,50.0,79,10.0,0.0,0.0,226,79
