mean-path-return_agent_1,episodes,episode_reward,mean-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,max-path-return_agent_0,total-samples,last-path-return_agent_0
25.0,1,1,5.0,50.0,50.0,10.0,2,10.0
3.3333333333333335,2,2,16.666666666666668,10.0,50.0,50.0,5,50.0
-1.6666666666666667,3,3,-1.6666666666666667,-5.0,50.0,50.0,8,-5.0
3.3333333333333335,4,4,16.666666666666668,10.0,50.0,50.0,11,50.0
-2.5,5,5,-2.5,-5.0,50.0,50.0,13,-5.0
25.0,6,6,5.0,50.0,50.0,50.0,15,10.0
25.0,7,7,5.0,50.0,50.0,50.0,17,10.0
3.3333333333333335,8,8,16.666666666666668,10.0,50.0,50.0,20,50.0
16.666666666666668,9,9,3.3333333333333335,50.0,50.0,50.0,23,10.0
16.666666666666668,10,10,3.3333333333333335,50.0,50.0,50.0,26,10.0
3.3333333333333335,11,11,16.666666666666668,10.0,50.0,50.0,29,50.0
-2.5,12,12,-2.5,-5.0,50.0,50.0,31,-5.0
3.3333333333333335,13,13,16.666666666666668,10.0,50.0,50.0,34,50.0
16.666666666666668,14,14,3.3333333333333335,50.0,50.0,50.0,37,10.0
3.3333333333333335,15,15,16.666666666666668,10.0,50.0,50.0,40,50.0
16.666666666666668,16,16,3.3333333333333335,50.0,50.0,50.0,43,10.0
3.3333333333333335,17,17,16.666666666666668,10.0,50.0,50.0,46,50.0
16.666666666666668,18,18,3.3333333333333335,50.0,50.0,50.0,49,10.0
16.666666666666668,19,19,3.3333333333333335,50.0,50.0,50.0,52,10.0
3.3333333333333335,20,20,16.666666666666668,10.0,50.0,50.0,55,50.0
16.666666666666668,21,21,3.3333333333333335,50.0,50.0,50.0,58,10.0
3.3333333333333335,22,22,16.666666666666668,10.0,50.0,50.0,61,50.0
16.666666666666668,23,23,3.3333333333333335,50.0,50.0,50.0,64,10.0
-1.6666666666666667,24,24,-1.6666666666666667,-5.0,50.0,50.0,67,-5.0
16.666666666666668,25,25,3.3333333333333335,50.0,50.0,50.0,70,10.0
3.3333333333333335,26,26,16.666666666666668,10.0,50.0,50.0,73,50.0
3.3333333333333335,27,27,16.666666666666668,10.0,50.0,50.0,76,50.0
16.666666666666668,28,28,3.3333333333333335,50.0,50.0,50.0,79,10.0
16.666666666666668,29,29,3.3333333333333335,50.0,50.0,50.0,82,10.0
-1.6666666666666667,30,30,-1.6666666666666667,-5.0,50.0,50.0,85,-5.0
-1.6666666666666667,31,31,-1.6666666666666667,-5.0,50.0,50.0,88,-5.0
16.666666666666668,32,32,3.3333333333333335,50.0,50.0,50.0,91,10.0
3.3333333333333335,33,33,16.666666666666668,10.0,50.0,50.0,94,50.0
3.3333333333333335,34,34,16.666666666666668,10.0,50.0,50.0,97,50.0
-2.5,35,35,-2.5,-5.0,50.0,50.0,99,-5.0
16.666666666666668,36,36,3.3333333333333335,50.0,50.0,50.0,102,10.0
3.3333333333333335,37,37,16.666666666666668,10.0,50.0,50.0,105,50.0
3.3333333333333335,38,38,16.666666666666668,10.0,50.0,50.0,108,50.0
25.0,39,39,5.0,50.0,50.0,50.0,110,10.0
3.3333333333333335,40,40,16.666666666666668,10.0,50.0,50.0,113,50.0
3.3333333333333335,41,41,16.666666666666668,10.0,50.0,50.0,116,50.0
-2.5,42,42,-2.5,-5.0,50.0,50.0,118,-5.0
5.0,43,43,25.0,10.0,50.0,50.0,120,50.0
25.0,44,44,5.0,50.0,50.0,50.0,122,10.0
25.0,45,45,5.0,50.0,50.0,50.0,124,10.0
3.3333333333333335,46,46,16.666666666666668,10.0,50.0,50.0,127,50.0
16.666666666666668,47,47,3.3333333333333335,50.0,50.0,50.0,130,10.0
3.3333333333333335,48,48,16.666666666666668,10.0,50.0,50.0,133,50.0
3.3333333333333335,49,49,16.666666666666668,10.0,50.0,50.0,136,50.0
3.3333333333333335,50,50,16.666666666666668,10.0,50.0,50.0,139,50.0
3.3333333333333335,51,51,16.666666666666668,10.0,50.0,50.0,142,50.0
16.666666666666668,52,52,3.3333333333333335,50.0,50.0,50.0,145,10.0
16.666666666666668,53,53,3.3333333333333335,50.0,50.0,50.0,148,10.0
3.3333333333333335,54,54,16.666666666666668,10.0,50.0,50.0,151,50.0
-2.5,55,55,-2.5,-5.0,50.0,50.0,153,-5.0
-1.6666666666666667,56,56,-1.6666666666666667,-5.0,50.0,50.0,156,-5.0
-1.6666666666666667,57,57,-1.6666666666666667,-5.0,50.0,50.0,159,-5.0
16.666666666666668,58,58,3.3333333333333335,50.0,50.0,50.0,162,10.0
25.0,59,59,5.0,50.0,50.0,50.0,164,10.0
3.3333333333333335,60,60,16.666666666666668,10.0,50.0,50.0,167,50.0
16.666666666666668,61,61,3.3333333333333335,50.0,50.0,50.0,170,10.0
3.3333333333333335,62,62,16.666666666666668,10.0,50.0,50.0,173,50.0
-1.6666666666666667,63,63,-1.6666666666666667,-5.0,50.0,50.0,176,-5.0
-1.6666666666666667,64,64,-1.6666666666666667,-5.0,50.0,50.0,179,-5.0
16.666666666666668,65,65,3.3333333333333335,50.0,50.0,50.0,182,10.0
5.0,66,66,25.0,10.0,50.0,50.0,184,50.0
16.666666666666668,67,67,3.3333333333333335,50.0,50.0,50.0,187,10.0
16.666666666666668,68,68,3.3333333333333335,50.0,50.0,50.0,190,10.0
16.666666666666668,69,69,3.3333333333333335,50.0,50.0,50.0,193,10.0
12.5,70,70,2.5,50.0,50.0,50.0,197,10.0
-2.5,71,71,-2.5,-5.0,50.0,50.0,199,-5.0
16.666666666666668,72,72,3.3333333333333335,50.0,50.0,50.0,202,10.0
3.3333333333333335,73,73,16.666666666666668,10.0,50.0,50.0,205,50.0
3.3333333333333335,74,74,16.666666666666668,10.0,50.0,50.0,208,50.0
3.3333333333333335,75,75,16.666666666666668,10.0,50.0,50.0,211,50.0
-1.6666666666666667,76,76,-1.6666666666666667,-5.0,50.0,50.0,214,-5.0
-1.25,77,77,-1.25,-5.0,50.0,50.0,218,-5.0
16.666666666666668,78,78,3.3333333333333335,50.0,50.0,50.0,221,10.0
-1.6666666666666667,79,79,-1.6666666666666667,-5.0,50.0,50.0,224,-5.0
25.0,80,80,5.0,50.0,50.0,50.0,226,10.0
16.666666666666668,81,81,3.3333333333333335,50.0,50.0,50.0,229,10.0
16.666666666666668,82,82,3.3333333333333335,50.0,50.0,50.0,232,10.0
5.0,83,83,25.0,10.0,50.0,50.0,234,50.0
-2.5,84,84,-2.5,-5.0,50.0,50.0,236,-5.0
3.3333333333333335,85,85,16.666666666666668,10.0,50.0,50.0,239,50.0
-1.6666666666666667,86,86,-1.6666666666666667,-5.0,50.0,50.0,242,-5.0
3.3333333333333335,87,87,16.666666666666668,10.0,50.0,50.0,245,50.0
16.666666666666668,88,88,3.3333333333333335,50.0,50.0,50.0,248,10.0
5.0,89,89,25.0,10.0,50.0,50.0,250,50.0
16.666666666666668,90,90,3.3333333333333335,50.0,50.0,50.0,253,10.0
16.666666666666668,91,91,3.3333333333333335,50.0,50.0,50.0,256,10.0
-1.6666666666666667,92,92,-1.6666666666666667,-5.0,50.0,50.0,259,-5.0
3.3333333333333335,93,93,16.666666666666668,10.0,50.0,50.0,262,50.0
-1.6666666666666667,94,94,-1.6666666666666667,-5.0,50.0,50.0,265,-5.0
16.666666666666668,95,95,3.3333333333333335,50.0,50.0,50.0,268,10.0
3.3333333333333335,96,96,16.666666666666668,10.0,50.0,50.0,271,50.0
3.3333333333333335,97,97,16.666666666666668,10.0,50.0,50.0,274,50.0
16.666666666666668,98,98,3.3333333333333335,50.0,50.0,50.0,277,10.0
-2.5,99,99,-2.5,-5.0,50.0,50.0,279,-5.0
3.3333333333333335,100,100,16.666666666666668,10.0,50.0,50.0,282,50.0
-1.6666666666666667,101,101,-1.6666666666666667,-5.0,50.0,50.0,285,-5.0
-1.6666666666666667,102,102,-1.6666666666666667,-5.0,50.0,50.0,288,-5.0
3.3333333333333335,103,103,16.666666666666668,10.0,50.0,50.0,291,50.0
16.666666666666668,104,104,3.3333333333333335,50.0,50.0,50.0,294,10.0
16.666666666666668,105,105,3.3333333333333335,50.0,50.0,50.0,297,10.0
16.666666666666668,106,106,3.3333333333333335,50.0,50.0,50.0,300,10.0
3.3333333333333335,107,107,16.666666666666668,10.0,50.0,50.0,303,50.0
16.666666666666668,108,108,3.3333333333333335,50.0,50.0,50.0,306,10.0
3.3333333333333335,109,109,16.666666666666668,10.0,50.0,50.0,309,50.0
16.666666666666668,110,110,3.3333333333333335,50.0,50.0,50.0,312,10.0
3.3333333333333335,111,111,16.666666666666668,10.0,50.0,50.0,315,50.0
3.3333333333333335,112,112,16.666666666666668,10.0,50.0,50.0,318,50.0
3.3333333333333335,113,113,16.666666666666668,10.0,50.0,50.0,321,50.0
-1.6666666666666667,114,114,-1.6666666666666667,-5.0,50.0,50.0,324,-5.0
-2.5,115,115,-2.5,-5.0,50.0,50.0,326,-5.0
-1.6666666666666667,116,116,-1.6666666666666667,-5.0,50.0,50.0,329,-5.0
16.666666666666668,117,117,3.3333333333333335,50.0,50.0,50.0,332,10.0
16.666666666666668,118,118,3.3333333333333335,50.0,50.0,50.0,335,10.0
3.3333333333333335,119,119,16.666666666666668,10.0,50.0,50.0,338,50.0
-1.6666666666666667,120,120,-1.6666666666666667,-5.0,50.0,50.0,341,-5.0
5.0,121,121,25.0,10.0,50.0,50.0,343,50.0
16.666666666666668,122,122,3.3333333333333335,50.0,50.0,50.0,346,10.0
16.666666666666668,123,123,3.3333333333333335,50.0,50.0,50.0,349,10.0
16.666666666666668,124,124,3.3333333333333335,50.0,50.0,50.0,352,10.0
3.3333333333333335,125,125,16.666666666666668,10.0,50.0,50.0,355,50.0
3.3333333333333335,126,126,16.666666666666668,10.0,50.0,50.0,358,50.0
25.0,127,127,5.0,50.0,50.0,50.0,360,10.0
-5.0,128,128,-5.0,-10.0,50.0,50.0,362,-10.0
3.3333333333333335,129,129,16.666666666666668,10.0,50.0,50.0,365,50.0
