mean-episode_cost_agent_1,last-path-return_agent_1,mean-episode_cost_agent_0,episodes,total-samples,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_1,episode_reward
0.0,50.0,0.0,56,161,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,56
0.0,10.0,0.0,57,164,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,57
0.0,50.0,0.0,58,167,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,58
0.0,50.0,0.0,59,169,10.0,50.0,5.0,50.0,25.0,59
0.0,10.0,0.0,60,171,50.0,50.0,25.0,50.0,5.0,60
0.0,50.0,0.0,61,173,10.0,50.0,5.0,50.0,25.0,61
0.0,50.0,0.0,62,176,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,62
25.0,-10.0,25.0,63,178,-10.0,50.0,-5.0,50.0,-5.0,63
0.0,10.0,0.0,64,181,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,64
25.0,-10.0,25.0,65,183,-10.0,50.0,-5.0,50.0,-5.0,65
0.0,10.0,0.0,66,186,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,66
0.0,10.0,0.0,67,188,50.0,50.0,25.0,50.0,5.0,67
0.0,10.0,0.0,68,191,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,68
0.0,50.0,6.666666666666667,69,194,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,69
0.0,50.0,0.0,70,197,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,70
16.666666666666668,-5.0,16.666666666666668,71,200,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,71
0.0,50.0,0.0,72,203,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,72
16.666666666666668,-5.0,16.666666666666668,73,206,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,73
0.0,10.0,3.3333333333333335,74,209,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,74
0.0,10.0,0.0,75,212,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,75
0.0,10.0,0.0,76,215,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,76
0.0,10.0,0.0,77,217,50.0,50.0,25.0,50.0,5.0,77
0.0,10.0,0.0,78,220,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,78
5.0,10.0,0.0,79,222,50.0,50.0,25.0,50.0,5.0,79
0.0,10.0,0.0,80,225,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,80
0.0,10.0,0.0,81,228,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,81
0.0,10.0,0.0,82,231,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,82
0.0,10.0,0.0,83,234,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,83
0.0,10.0,0.0,84,237,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,84
16.666666666666668,-5.0,16.666666666666668,85,240,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,85
16.666666666666668,-5.0,16.666666666666668,86,243,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,86
0.0,10.0,0.0,87,246,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,87
25.0,-10.0,25.0,88,248,-10.0,50.0,-5.0,50.0,-5.0,88
25.0,-5.0,25.0,89,250,-5.0,50.0,-2.5,50.0,-2.5,89
6.666666666666667,10.0,0.0,90,253,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,90
0.0,10.0,0.0,91,256,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,91
16.666666666666668,-5.0,16.666666666666668,92,259,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,92
0.0,10.0,0.0,93,262,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,93
0.0,10.0,0.0,94,265,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,94
0.0,10.0,0.0,95,267,50.0,50.0,25.0,50.0,5.0,95
0.0,50.0,3.3333333333333335,96,270,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,96
0.0,10.0,0.0,97,273,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,97
0.0,10.0,0.0,98,276,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,98
0.0,10.0,0.0,99,279,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,99
0.0,50.0,0.0,100,282,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,100
25.0,-5.0,25.0,101,284,-5.0,50.0,-2.5,50.0,-2.5,101
0.0,50.0,6.666666666666667,102,287,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,102
3.3333333333333335,10.0,0.0,103,290,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,103
0.0,10.0,0.0,104,293,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,104
16.666666666666668,-5.0,16.666666666666668,105,296,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,105
0.0,10.0,0.0,106,298,50.0,50.0,25.0,50.0,5.0,106
25.0,-5.0,25.0,107,300,-5.0,50.0,-2.5,50.0,-2.5,107
25.0,-5.0,25.0,108,302,-5.0,50.0,-2.5,50.0,-2.5,108
6.666666666666667,10.0,0.0,109,305,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,109
0.0,50.0,0.0,110,308,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,110
0.0,10.0,0.0,111,311,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,111
0.0,10.0,0.0,112,314,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,112
0.0,10.0,0.0,113,317,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,113
0.0,50.0,0.0,114,320,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,114
0.0,10.0,0.0,115,323,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,115
16.666666666666668,-5.0,16.666666666666668,116,326,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,116
0.0,10.0,0.0,117,329,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,117
3.3333333333333335,10.0,0.0,118,332,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,118
0.0,50.0,0.0,119,335,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,119
0.0,50.0,0.0,120,338,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,120
25.0,-5.0,25.0,121,340,-5.0,50.0,-2.5,50.0,-2.5,121
0.0,10.0,0.0,122,343,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,122
0.0,10.0,0.0,123,345,50.0,50.0,25.0,50.0,5.0,123
16.666666666666668,-5.0,16.666666666666668,124,348,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,124
0.0,10.0,0.0,125,350,50.0,50.0,25.0,50.0,5.0,125
0.0,50.0,0.0,126,353,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,126
0.0,50.0,0.0,127,356,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,127
0.0,50.0,0.0,128,359,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,128
0.0,50.0,0.0,129,362,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,129
0.0,50.0,3.3333333333333335,130,365,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,130
0.0,50.0,0.0,131,368,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,131
0.0,50.0,3.3333333333333335,132,371,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,132
0.0,10.0,0.0,133,374,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,133
16.666666666666668,-5.0,16.666666666666668,134,377,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,134
0.0,50.0,6.666666666666667,135,380,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,135
0.0,10.0,0.0,136,383,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,136
6.666666666666667,10.0,0.0,137,386,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,137
20.0,-5.0,20.0,138,389,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,138
25.0,-10.0,25.0,139,391,-10.0,50.0,-5.0,50.0,-5.0,139
0.0,10.0,0.0,140,394,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,140
0.0,10.0,0.0,141,397,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,141
25.0,-5.0,25.0,142,399,-5.0,50.0,-2.5,50.0,-2.5,142
0.0,50.0,0.0,143,402,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,143
0.0,50.0,6.666666666666667,144,405,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,144
0.0,10.0,0.0,145,408,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,145
0.0,10.0,0.0,146,411,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,146
0.0,50.0,0.0,147,414,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,147
25.0,-5.0,25.0,148,416,-5.0,50.0,-2.5,50.0,-2.5,148
0.0,50.0,5.0,149,418,10.0,50.0,5.0,50.0,25.0,149
0.0,10.0,0.0,150,421,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,150
0.0,50.0,6.666666666666667,151,424,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,151
0.0,10.0,0.0,152,427,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,152
0.0,50.0,6.666666666666667,153,430,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,153
0.0,10.0,0.0,154,433,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,154
0.0,10.0,0.0,155,436,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,155
0.0,50.0,6.666666666666667,156,439,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,156
6.666666666666667,10.0,0.0,157,442,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,157
0.0,10.0,0.0,158,445,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,158
0.0,10.0,0.0,159,448,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,159
16.666666666666668,-5.0,16.666666666666668,160,451,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,160
25.0,-10.0,25.0,161,453,-10.0,50.0,-5.0,50.0,-5.0,161
0.0,50.0,0.0,162,456,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,162
0.0,50.0,0.0,163,459,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,163
20.0,-5.0,20.0,164,462,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,164
25.0,-5.0,25.0,165,464,-5.0,50.0,-2.5,50.0,-2.5,165
0.0,50.0,0.0,166,467,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,166
3.3333333333333335,10.0,0.0,167,470,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,167
16.666666666666668,-5.0,16.666666666666668,168,473,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,168
0.0,50.0,0.0,169,476,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,169
16.666666666666668,-5.0,16.666666666666668,170,479,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,170
0.0,50.0,0.0,171,482,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,171
0.0,50.0,0.0,172,485,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,172
0.0,10.0,0.0,173,487,50.0,50.0,25.0,50.0,5.0,173
25.0,-10.0,25.0,174,489,-10.0,50.0,-5.0,50.0,-5.0,174
0.0,10.0,0.0,175,492,50.0,50.0,16.666666666666668,50.0,3.3333333333333335,175
0.0,50.0,0.0,176,495,10.0,50.0,3.3333333333333335,50.0,16.666666666666668,176
25.0,-10.0,25.0,177,497,-10.0,50.0,-5.0,50.0,-5.0,177
16.666666666666668,-5.0,16.666666666666668,178,500,-5.0,50.0,-1.6666666666666667,50.0,-1.6666666666666667,178
